DEG	LO2	NLO2	N2LO2	N3LO2	N4LO1	N4LO2	N4LO3	N4LO4	N4LO+2	AV18
0	3.027	4.372	4.929	5.062	4.799	4.95	5.092	5.198	4.941	5.088
1	3.028	4.373	4.93	5.063	4.8	4.951	5.093	5.199	4.942	5.088
2	3.033	4.376	4.933	5.065	4.803	4.954	5.096	5.202	4.944	5.091
3	3.042	4.381	4.937	5.07	4.807	4.958	5.1	5.206	4.949	5.095
4	3.053	4.389	4.944	5.076	4.814	4.965	5.106	5.212	4.956	5.101
5	3.068	4.398	4.953	5.084	4.822	4.973	5.114	5.22	4.964	5.109
6	3.086	4.41	4.963	5.094	4.833	4.983	5.124	5.23	4.974	5.118
7	3.107	4.424	4.975	5.106	4.845	4.995	5.136	5.241	4.986	5.129
8	3.131	4.439	4.989	5.119	4.858	5.008	5.149	5.254	4.999	5.142
9	3.158	4.456	5.005	5.134	4.874	5.023	5.163	5.268	5.014	5.156
10	3.188	4.476	5.022	5.15	4.891	5.04	5.179	5.284	5.031	5.171
11	3.22	4.497	5.041	5.168	4.91	5.058	5.197	5.301	5.049	5.188
12	3.256	4.519	5.061	5.187	4.93	5.077	5.216	5.319	5.068	5.206
13	3.294	4.543	5.083	5.207	4.951	5.098	5.236	5.339	5.089	5.226
14	3.334	4.569	5.106	5.229	4.974	5.12	5.257	5.36	5.111	5.246
15	3.377	4.596	5.13	5.252	4.997	5.143	5.28	5.382	5.134	5.268
16	3.422	4.624	5.155	5.276	5.022	5.167	5.303	5.405	5.159	5.29
17	3.469	4.653	5.182	5.301	5.048	5.192	5.328	5.429	5.184	5.314
18	3.519	4.684	5.209	5.326	5.075	5.218	5.353	5.454	5.21	5.338
19	3.569	4.715	5.237	5.353	5.103	5.245	5.379	5.479	5.237	5.362
20	3.622	4.747	5.266	5.38	5.131	5.272	5.405	5.505	5.264	5.388
21	3.676	4.78	5.295	5.407	5.16	5.3	5.432	5.531	5.292	5.413
22	3.731	4.813	5.324	5.435	5.189	5.328	5.46	5.558	5.321	5.439
23	3.788	4.847	5.354	5.463	5.219	5.357	5.487	5.585	5.349	5.466
24	3.845	4.88	5.384	5.492	5.249	5.385	5.515	5.612	5.378	5.492
25	3.903	4.914	5.415	5.52	5.279	5.414	5.543	5.639	5.407	5.518
26	3.962	4.948	5.445	5.548	5.309	5.443	5.571	5.666	5.436	5.544
27	4.022	4.982	5.475	5.577	5.338	5.471	5.598	5.693	5.465	5.57
28	4.081	5.016	5.505	5.605	5.368	5.5	5.626	5.719	5.493	5.596
29	4.141	5.049	5.534	5.632	5.397	5.527	5.653	5.745	5.521	5.621
30	4.201	5.082	5.563	5.659	5.426	5.555	5.679	5.771	5.548	5.646
31	4.261	5.114	5.591	5.686	5.454	5.582	5.705	5.796	5.575	5.67
32	4.321	5.145	5.619	5.712	5.481	5.608	5.73	5.82	5.601	5.693
33	4.38	5.176	5.646	5.737	5.508	5.633	5.754	5.843	5.626	5.715
34	4.438	5.206	5.671	5.761	5.534	5.657	5.777	5.865	5.651	5.737
35	4.496	5.234	5.696	5.784	5.558	5.681	5.799	5.886	5.674	5.757
36	4.552	5.261	5.72	5.806	5.582	5.703	5.82	5.907	5.696	5.776
37	4.608	5.287	5.742	5.827	5.605	5.724	5.84	5.926	5.717	5.794
38	4.663	5.312	5.763	5.846	5.626	5.744	5.859	5.943	5.737	5.811
39	4.716	5.335	5.783	5.865	5.646	5.762	5.876	5.96	5.755	5.826
40	4.768	5.357	5.801	5.882	5.664	5.779	5.892	5.974	5.772	5.84
41	4.818	5.377	5.818	5.897	5.681	5.795	5.906	5.988	5.788	5.852
42	4.866	5.395	5.833	5.911	5.697	5.809	5.919	6	5.801	5.863
43	4.913	5.412	5.847	5.923	5.71	5.821	5.93	6.01	5.814	5.872
44	4.958	5.426	5.859	5.934	5.723	5.832	5.94	6.019	5.824	5.88
45	5.001	5.439	5.869	5.943	5.733	5.841	5.947	6.026	5.833	5.886
46	5.042	5.45	5.877	5.951	5.742	5.848	5.954	6.031	5.84	5.89
47	5.081	5.459	5.884	5.956	5.749	5.854	5.958	6.034	5.846	5.892
48	5.117	5.466	5.888	5.96	5.754	5.858	5.961	6.036	5.849	5.893
49	5.152	5.471	5.891	5.962	5.758	5.86	5.961	6.036	5.851	5.892
50	5.184	5.474	5.892	5.963	5.759	5.86	5.96	6.034	5.851	5.889
51	5.213	5.475	5.891	5.961	5.759	5.858	5.958	6.03	5.849	5.884
52	5.241	5.474	5.888	5.958	5.757	5.855	5.953	6.025	5.845	5.878
53	5.266	5.471	5.884	5.953	5.753	5.849	5.946	6.017	5.839	5.869
54	5.288	5.466	5.877	5.946	5.747	5.842	5.938	6.008	5.831	5.859
55	5.308	5.459	5.868	5.937	5.74	5.833	5.928	5.997	5.822	5.847
56	5.325	5.45	5.858	5.927	5.73	5.822	5.916	5.984	5.811	5.834
57	5.34	5.439	5.846	5.914	5.719	5.81	5.903	5.97	5.798	5.818
58	5.353	5.426	5.832	5.9	5.706	5.795	5.887	5.954	5.783	5.801
59	5.363	5.411	5.816	5.885	5.691	5.779	5.87	5.936	5.766	5.782
60	5.37	5.394	5.798	5.867	5.674	5.762	5.851	5.916	5.748	5.762
61	5.375	5.375	5.779	5.848	5.656	5.742	5.831	5.895	5.728	5.74
62	5.377	5.354	5.757	5.828	5.636	5.721	5.809	5.872	5.707	5.716
