DEG	LO2	NLO2	N2LO2	N3LO2	N4LO1	N4LO2	N4LO3	N4LO4	N4LO+
0	2.247	3.415	3.998	4.159	3.858	4.029	4.185	4.307	4.014
1	2.248	3.416	3.998	4.159	3.858	4.029	4.185	4.307	4.015
2	2.25	3.417	3.999	4.159	3.859	4.03	4.186	4.307	4.015
3	2.254	3.418	4	4.16	3.86	4.031	4.186	4.308	4.016
4	2.259	3.42	4.001	4.161	3.861	4.032	4.187	4.309	4.017
5	2.266	3.423	4.003	4.163	3.863	4.034	4.189	4.31	4.019
6	2.274	3.426	4.005	4.164	3.865	4.035	4.19	4.311	4.021
7	2.284	3.43	4.007	4.166	3.868	4.038	4.192	4.313	4.023
8	2.296	3.435	4.01	4.168	3.871	4.04	4.194	4.314	4.026
9	2.308	3.439	4.013	4.171	3.874	4.043	4.196	4.316	4.029
10	2.322	3.445	4.016	4.173	3.878	4.045	4.199	4.318	4.032
11	2.337	3.45	4.02	4.176	3.882	4.049	4.201	4.32	4.035
12	2.353	3.456	4.023	4.179	3.886	4.052	4.204	4.322	4.038
13	2.371	3.463	4.027	4.182	3.89	4.055	4.206	4.324	4.042
14	2.389	3.469	4.031	4.184	3.894	4.058	4.209	4.326	4.046
15	2.409	3.476	4.035	4.187	3.898	4.062	4.211	4.328	4.049
16	2.429	3.483	4.039	4.19	3.903	4.065	4.214	4.33	4.053
17	2.451	3.49	4.043	4.193	3.907	4.068	4.216	4.332	4.056
18	2.473	3.497	4.047	4.196	3.912	4.071	4.219	4.334	4.06
19	2.496	3.504	4.051	4.198	3.916	4.074	4.221	4.335	4.063
20	2.519	3.511	4.054	4.201	3.92	4.077	4.223	4.336	4.066
21	2.543	3.518	4.057	4.203	3.924	4.08	4.224	4.337	4.069
22	2.567	3.524	4.06	4.204	3.927	4.082	4.225	4.337	4.072
23	2.591	3.531	4.063	4.206	3.931	4.084	4.226	4.337	4.074
24	2.616	3.537	4.065	4.206	3.934	4.085	4.227	4.337	4.076
25	2.641	3.542	4.067	4.207	3.936	4.086	4.226	4.336	4.077
26	2.666	3.547	4.068	4.207	3.938	4.087	4.226	4.334	4.078
27	2.691	3.552	4.069	4.206	3.94	4.087	4.225	4.332	4.078
28	2.716	3.556	4.069	4.205	3.941	4.086	4.223	4.329	4.078
29	2.741	3.559	4.069	4.204	3.941	4.085	4.22	4.326	4.077
30	2.765	3.562	4.068	4.201	3.941	4.083	4.217	4.322	4.075
31	2.789	3.564	4.066	4.198	3.94	4.081	4.213	4.317	4.073
32	2.813	3.565	4.063	4.194	3.938	4.077	4.209	4.311	4.069
33	2.836	3.565	4.06	4.19	3.936	4.073	4.203	4.305	4.065
34	2.858	3.565	4.056	4.184	3.933	4.069	4.197	4.298	4.061
35	2.88	3.563	4.051	4.178	3.929	4.063	4.19	4.289	4.055
36	2.901	3.561	4.045	4.171	3.924	4.056	4.182	4.28	4.049
37	2.921	3.557	4.038	4.163	3.918	4.049	4.174	4.271	4.041
38	2.94	3.553	4.03	4.155	3.911	4.041	4.164	4.26	4.033
39	2.958	3.547	4.022	4.145	3.904	4.031	4.153	4.248	4.024
40	2.976	3.541	4.012	4.135	3.895	4.021	4.142	4.235	4.013
41	2.992	3.533	4.001	4.123	3.886	4.01	4.129	4.222	4.002
42	3.007	3.524	3.99	4.111	3.876	3.998	4.116	4.207	3.99
43	3.021	3.514	3.977	4.097	3.864	3.985	4.101	4.192	3.977
44	3.034	3.503	3.963	4.083	3.852	3.971	4.086	4.175	3.963
45	3.046	3.491	3.949	4.068	3.839	3.956	4.07	4.158	3.947
46	3.056	3.478	3.933	4.052	3.824	3.94	4.053	4.14	3.931
47	3.066	3.464	3.917	4.035	3.809	3.923	4.034	4.12	3.914
48	3.073	3.448	3.899	4.017	3.793	3.906	4.015	4.1	3.896
49	3.08	3.432	3.881	3.999	3.776	3.887	3.995	4.079	3.877
50	3.085	3.414	3.861	3.979	3.758	3.868	3.975	4.057	3.857
51	3.089	3.396	3.841	3.958	3.739	3.847	3.953	4.035	3.836
52	3.092	3.376	3.82	3.937	3.719	3.826	3.93	4.011	3.815
53	3.093	3.355	3.797	3.915	3.698	3.804	3.907	3.987	3.792
54	3.093	3.334	3.774	3.892	3.677	3.781	3.883	3.961	3.769
55	3.092	3.311	3.751	3.869	3.655	3.757	3.858	3.936	3.744
56	3.089	3.288	3.726	3.844	3.631	3.733	3.833	3.909	3.719
57	3.085	3.263	3.701	3.819	3.608	3.708	3.806	3.882	3.694
58	3.08	3.238	3.675	3.794	3.583	3.682	3.779	3.854	3.667
59	3.074	3.212	3.648	3.767	3.558	3.656	3.752	3.825	3.64
60	3.066	3.185	3.62	3.741	3.532	3.629	3.724	3.796	3.612
61	3.057	3.158	3.592	3.713	3.505	3.601	3.695	3.767	3.584
62	3.047	3.13	3.564	3.685	3.478	3.573	3.666	3.737	3.555
63	3.036	3.101	3.535	3.657	3.451	3.545	3.636	3.706	3.526
64	3.023	3.072	3.505	3.628	3.423	3.516	3.606	3.676	3.496
65	3.01	3.042	3.475	3.599	3.394	3.486	3.576	3.644	3.466
66	2.995	3.011	3.445	3.57	3.365	3.457	3.545	3.613	3.435
67	2.979	2.981	3.414	3.54	3.336	3.427	3.515	3.581	3.405
