DEG	N4LO4_SNC	N4LO_Sieg
0	0.8384	4.029
1	0.839	4.029
2	0.8407	4.03
3	0.8437	4.031
4	0.8478	4.032
5	0.853	4.034
6	0.8593	4.035
7	0.8668	4.038
8	0.8753	4.04
9	0.8849	4.043
10	0.8954	4.045
11	0.9069	4.049
12	0.9194	4.052
13	0.9327	4.055
14	0.9468	4.058
15	0.9617	4.062
16	0.9772999999999999	4.065
17	0.9935	4.068
18	1.01	4.071
19	1.028	4.074
20	1.046	4.077
21	1.064	4.08
22	1.082	4.082
23	1.101	4.084
24	1.12	4.085
25	1.14	4.086
26	1.159	4.087
27	1.178	4.087
28	1.198	4.086
29	1.217	4.085
30	1.236	4.083
31	1.254	4.081
32	1.273	4.077
33	1.291	4.073
34	1.309	4.069
35	1.326	4.063
36	1.343	4.056
37	1.359	4.049
38	1.375	4.041
39	1.39	4.031
40	1.404	4.021
41	1.418	4.01
42	1.431	3.998
43	1.443	3.985
44	1.454	3.971
45	1.464	3.956
46	1.474	3.94
47	1.483	3.923
48	1.491	3.906
49	1.498	3.887
50	1.504	3.868
51	1.509	3.847
52	1.513	3.826
53	1.517	3.804
54	1.519	3.781
55	1.521	3.757
56	1.521	3.733
57	1.521	3.708
58	1.52	3.682
59	1.518	3.656
60	1.515	3.629
61	1.512	3.601
62	1.507	3.573
63	1.502	3.545
64	1.496	3.516
65	1.489	3.486
66	1.482	3.457
67	1.474	3.427
68	1.465	3.396
69	1.456	3.366
70	1.446	3.335
71	1.435	3.304
72	1.424	3.274
73	1.412	3.243
74	1.4	3.212
75	1.387	3.181
76	1.374	3.15
77	1.361	3.119
78	1.347	3.089
79	1.333	3.059
80	1.318	3.029
81	1.303	2.999
82	1.288	2.97
83	1.273	2.941
84	1.258	2.912
85	1.242	2.884
86	1.226	2.856
87	1.21	2.829
88	1.195	2.802
89	1.178	2.776
90	1.162	2.75
91	1.146	2.725
92	1.13	2.701
93	1.114	2.677
94	1.098	2.654
95	1.082	2.632
96	1.066	2.61
97	1.05	2.59
98	1.035	2.569
99	1.019	2.55
100	1.004	2.531
101	0.9886	2.514
102	0.9735	2.496
103	0.9586	2.48
104	0.9439	2.465
105	0.9294	2.45
106	0.9151	2.436
107	0.901	2.423
108	0.8872	2.411
109	0.8735000000000001	2.399
110	0.8602	2.389
111	0.8471	2.379
112	0.8342000000000001	2.37
113	0.8216	2.362
114	0.8092	2.354
115	0.7972	2.348
116	0.7853	2.342
117	0.7738	2.337
118	0.7625	2.332
119	0.7514999999999999	2.329
120	0.7408	2.326
121	0.7302999999999999	2.324
122	0.7202	2.322
123	0.7102000000000001	2.321
124	0.7006	2.321
125	0.6912	2.322
126	0.6821	2.323
127	0.6733	2.325
128	0.6647	2.327
129	0.6564	2.33
130	0.6484	2.333
131	0.6405999999999999	2.337
132	0.6331	2.342
133	0.6258	2.347
134	0.6187	2.352
135	0.6119	2.358
136	0.6054	2.364
137	0.599	2.371
138	0.5929	2.378
139	0.587	2.385
140	0.5814	2.392
141	0.5759	2.4
142	0.5707	2.408
143	0.5657	2.417
144	0.5608	2.425
145	0.5562	2.434
146	0.5518	2.442
147	0.5475	2.451
148	0.5434	2.46
149	0.5395	2.469
150	0.5358000000000001	2.478
151	0.5323	2.487
152	0.5289	2.496
153	0.5256999999999999	2.505
154	0.5226	2.514
155	0.5197000000000001	2.523
156	0.5169	2.532
157	0.5143	2.54
158	0.5118	2.548
159	0.5094	2.556
160	0.5072	2.564
161	0.5051	2.572
162	0.5031	2.579
163	0.5013	2.586
164	0.4996	2.593
165	0.498	2.6
166	0.4965	2.606
167	0.4951	2.612
168	0.4938	2.617
169	0.4927	2.622
170	0.4916	2.627
171	0.4907	2.631
172	0.4898	2.635
173	0.4891	2.638
174	0.4884	2.641
175	0.4879	2.644
176	0.4875	2.646
177	0.4871	2.647
178	0.4869	2.648
179	0.4867	2.649
180	0.4867	2.649
