DEG	LO2	NLO2	N2LO2	N3LO2	N4LO1	N4LO2	N4LO3	N4LO4	N4LO+2	AV18
0	0	0	0	0	0	0	0	0	0	0
1	-0.002951	-0.0025	-0.002207	-0.002147	-0.002219	-0.002193	-0.002156	-0.002125	-0.002181	-0.002194
2	-0.0117	-0.009920999999999999	-0.008765	-0.008529	-0.008813	-0.008708	-0.008562999999999999	-0.008441000000000001	-0.008663000000000001	-0.008713
3	-0.02592	-0.02203	-0.01949	-0.01897	-0.0196	-0.01937	-0.01905	-0.01878	-0.01927	-0.01938
4	-0.04512	-0.03846	-0.03409	-0.0332	-0.03428	-0.03388	-0.03333	-0.03287	-0.03371	-0.0339
5	-0.06866	-0.05874	-0.05219	-0.05085	-0.05247	-0.05187	-0.05104	-0.05035	-0.05161	-0.0519
6	-0.09582	-0.08230999999999999	-0.07334	-0.07149	-0.07371999999999999	-0.07290000000000001	-0.07176	-0.07081	-0.07255	-0.07294
7	-0.1258	-0.1086	-0.09705	-0.09467	-0.09754	-0.09649000000000001	-0.09501999999999999	-0.09378	-0.09603	-0.09653
8	-0.1579	-0.137	-0.1228	-0.1199	-0.1234	-0.1221	-0.1203	-0.1188	-0.1216	-0.1222
9	-0.1914	-0.1668	-0.1502	-0.1467	-0.1509	-0.1493	-0.1472	-0.1454	-0.1487	-0.1494
10	-0.2256	-0.1977	-0.1786	-0.1746	-0.1794	-0.1777	-0.1752	-0.1731	-0.1769	-0.1777
11	-0.26	-0.2291	-0.2077	-0.2032	-0.2086	-0.2067	-0.2039	-0.2016	-0.2058	-0.2067
12	-0.2941	-0.2605	-0.2371	-0.2321	-0.2381	-0.2359	-0.2329	-0.2303	-0.235	-0.236
13	-0.3275	-0.2916	-0.2664	-0.2611	-0.2675	-0.2652	-0.2619	-0.2591	-0.2641	-0.2653
14	-0.36	-0.3221	-0.2954	-0.2897	-0.2966	-0.2941	-0.2906	-0.2876	-0.293	-0.2942
15	-0.3913	-0.3518	-0.3238	-0.3178	-0.3251	-0.3224	-0.3188	-0.3156	-0.3213	-0.3226
16	-0.4212	-0.3805	-0.3515	-0.3452	-0.3528	-0.3501	-0.3462	-0.343	-0.3489	-0.3502
17	-0.4497	-0.4082	-0.3783	-0.3718	-0.3796	-0.3768	-0.3729	-0.3695	-0.3756	-0.377
18	-0.4768	-0.4346	-0.4041	-0.3975	-0.4055	-0.4026	-0.3985	-0.3951	-0.4013	-0.4027
19	-0.5023	-0.4598	-0.4288	-0.4221	-0.4303	-0.4273	-0.4232	-0.4197	-0.426	-0.4275
20	-0.5264	-0.4837	-0.4525	-0.4457	-0.4539	-0.451	-0.4468	-0.4432	-0.4496	-0.4511
21	-0.5491	-0.5063	-0.475	-0.4682	-0.4765	-0.4735	-0.4693	-0.4657	-0.4722	-0.4737
22	-0.5703	-0.5278	-0.4964	-0.4896	-0.4979	-0.4949	-0.4907	-0.4871	-0.4936	-0.4951
23	-0.5903	-0.548	-0.5167	-0.5099	-0.5183	-0.5153	-0.5111	-0.5074	-0.5139	-0.5155
24	-0.6089	-0.5669999999999999	-0.536	-0.5292	-0.5375	-0.5346	-0.5303	-0.5266999999999999	-0.5332	-0.5347
25	-0.6264	-0.585	-0.5542	-0.5474	-0.5557	-0.5528	-0.5486	-0.545	-0.5514	-0.5528999999999999
26	-0.6427	-0.6018	-0.5714	-0.5647	-0.5729	-0.57	-0.5658	-0.5623	-0.5686	-0.5702
27	-0.658	-0.6177	-0.5876	-0.581	-0.5891	-0.5863	-0.5821	-0.5786	-0.5849	-0.5864
28	-0.6723	-0.6326000000000001	-0.6029	-0.5964	-0.6044	-0.6016	-0.5975	-0.5941	-0.6002999999999999	-0.6018
29	-0.6856	-0.6466	-0.6173	-0.6109	-0.6189	-0.6161	-0.6121	-0.6086	-0.6147	-0.6162
30	-0.6981000000000001	-0.6597	-0.6309	-0.6246	-0.6325	-0.6297	-0.6258	-0.6224	-0.6284	-0.6299
31	-0.7098	-0.6721	-0.6438	-0.6375	-0.6453	-0.6425999999999999	-0.6387	-0.6353	-0.6413	-0.6427
32	-0.7208	-0.6837	-0.6558	-0.6497000000000001	-0.6573	-0.6546999999999999	-0.6508	-0.6476	-0.6534	-0.6548
33	-0.731	-0.6946	-0.6672	-0.6612	-0.6687	-0.6661	-0.6623	-0.6591	-0.6647999999999999	-0.6663
34	-0.7406	-0.7048	-0.6778999999999999	-0.672	-0.6794	-0.6768	-0.6731	-0.67	-0.6756	-0.677
35	-0.7496	-0.7144	-0.6879999999999999	-0.6822	-0.6895	-0.6870000000000001	-0.6833	-0.6802	-0.6857	-0.6871
36	-0.758	-0.7235	-0.6975	-0.6918	-0.699	-0.6965	-0.6929	-0.6899	-0.6953	-0.6967
37	-0.7659	-0.732	-0.7065	-0.7009	-0.708	-0.7055	-0.702	-0.699	-0.7043	-0.7057
38	-0.7733	-0.74	-0.715	-0.7094	-0.7164	-0.714	-0.7106	-0.7076	-0.7128	-0.7141999999999999
39	-0.7803	-0.7475000000000001	-0.7229	-0.7175	-0.7244	-0.722	-0.7186	-0.7157	-0.7208	-0.7222
40	-0.7868000000000001	-0.7546	-0.7305	-0.7251	-0.7319	-0.7296	-0.7262	-0.7233000000000001	-0.7284	-0.7297
41	-0.793	-0.7612	-0.7375	-0.7323	-0.739	-0.7367	-0.7334000000000001	-0.7306	-0.7355	-0.7369
42	-0.7988	-0.7675	-0.7442	-0.7391	-0.7456	-0.7433999999999999	-0.7402	-0.7374000000000001	-0.7423	-0.7436
43	-0.8042	-0.7734	-0.7504999999999999	-0.7455000000000001	-0.7519	-0.7498	-0.7466	-0.7438	-0.7486	-0.7499
44	-0.8093	-0.779	-0.7565	-0.7514999999999999	-0.7579	-0.7557	-0.7526	-0.7499	-0.7546	-0.7559
45	-0.8141	-0.7843	-0.7621	-0.7572	-0.7635	-0.7614	-0.7583	-0.7556	-0.7603	-0.7615
46	-0.8186	-0.7892	-0.7674	-0.7625999999999999	-0.7688	-0.7667	-0.7637	-0.7611	-0.7655999999999999	-0.7669
47	-0.8229	-0.7939000000000001	-0.7724	-0.7677	-0.7738	-0.7717000000000001	-0.7688	-0.7662	-0.7707000000000001	-0.7719
48	-0.8269	-0.7983	-0.7772	-0.7725	-0.7785	-0.7765	-0.7735	-0.771	-0.7754	-0.7766999999999999
49	-0.8307	-0.8024	-0.7816	-0.777	-0.7829	-0.781	-0.7781	-0.7756	-0.7799	-0.7811
50	-0.8343	-0.8063	-0.7858000000000001	-0.7813	-0.7872	-0.7852	-0.7824	-0.7799	-0.7842	-0.7854
51	-0.8376	-0.8100000000000001	-0.7897999999999999	-0.7853	-0.7911	-0.7892	-0.7864	-0.784	-0.7882	-0.7894
52	-0.8408	-0.8135	-0.7936	-0.7892	-0.7949000000000001	-0.793	-0.7902	-0.7877999999999999	-0.792	-0.7931
53	-0.8438	-0.8168	-0.7971	-0.7927999999999999	-0.7984	-0.7965	-0.7938	-0.7914	-0.7955	-0.7967
54	-0.8466	-0.8199	-0.8004	-0.7962	-0.8017	-0.7999000000000001	-0.7972	-0.7949000000000001	-0.7989000000000001	-0.8001
55	-0.8492	-0.8228	-0.8036	-0.7994	-0.8048999999999999	-0.8031	-0.8004	-0.7981	-0.8021	-0.8032
56	-0.8517	-0.8255	-0.8066	-0.8024	-0.8079	-0.8061	-0.8034	-0.8011	-0.8051	-0.8062
57	-0.854	-0.8280999999999999	-0.8094	-0.8052	-0.8106	-0.8089	-0.8063	-0.804	-0.8079	-0.8090000000000001
58	-0.8562	-0.8306	-0.8120000000000001	-0.8079	-0.8133	-0.8115	-0.8089	-0.8067	-0.8105	-0.8117
59	-0.8583	-0.8328	-0.8145	-0.8104	-0.8157	-0.8139999999999999	-0.8115	-0.8092	-0.8129999999999999	-0.8142
60	-0.8603	-0.835	-0.8168	-0.8128	-0.8181	-0.8164	-0.8138	-0.8116	-0.8154	-0.8165
61	-0.8621	-0.837	-0.819	-0.8149999999999999	-0.8203	-0.8186	-0.8161	-0.8139	-0.8176	-0.8187
62	-0.8638	-0.8389	-0.821	-0.8171	-0.8223	-0.8206	-0.8181	-0.8159999999999999	-0.8197	-0.8208
63	-0.8653999999999999	-0.8407	-0.823	-0.8191000000000001	-0.8242	-0.8226	-0.8201000000000001	-0.8179999999999999	-0.8216	-0.8227
64	-0.8669	-0.8423	-0.8248	-0.8209	-0.826	-0.8244	-0.8219	-0.8198	-0.8234	-0.8245
65	-0.8683	-0.8438	-0.8264	-0.8226	-0.8277	-0.8260999999999999	-0.8236	-0.8215	-0.8250999999999999	-0.8262
66	-0.8696	-0.8453000000000001	-0.828	-0.8242	-0.8292	-0.8276	-0.8252	-0.8231000000000001	-0.8267	-0.8278
67	-0.8709	-0.8466	-0.8295	-0.8257	-0.8307	-0.8290999999999999	-0.8267	-0.8246	-0.8282	-0.8292
68	-0.872	-0.8478	-0.8308	-0.827	-0.832	-0.8304	-0.8280999999999999	-0.826	-0.8295	-0.8306
69	-0.873	-0.849	-0.832	-0.8283	-0.8333	-0.8317	-0.8293	-0.8273	-0.8308	-0.8318
70	-0.874	-0.85	-0.8332000000000001	-0.8295	-0.8344	-0.8328	-0.8305	-0.8284	-0.8319	-0.833
71	-0.8749	-0.851	-0.8342000000000001	-0.8305	-0.8355	-0.8339	-0.8315	-0.8295	-0.833	-0.834
72	-0.8757	-0.8518	-0.8352000000000001	-0.8315	-0.8364	-0.8349	-0.8325	-0.8305	-0.8339	-0.835
73	-0.8764	-0.8526	-0.836	-0.8324	-0.8373	-0.8357	-0.8334	-0.8314	-0.8348	-0.8358
74	-0.877	-0.8532999999999999	-0.8368	-0.8331	-0.838	-0.8365	-0.8342000000000001	-0.8322000000000001	-0.8356	-0.8366
75	-0.8776	-0.854	-0.8375	-0.8338	-0.8387	-0.8372000000000001	-0.8349	-0.8329	-0.8363	-0.8373
76	-0.8782	-0.8545	-0.8381	-0.8345	-0.8393	-0.8378	-0.8355	-0.8335	-0.8369	-0.8379
77	-0.8786	-0.855	-0.8386	-0.835	-0.8398	-0.8383	-0.836	-0.834	-0.8374	-0.8384
78	-0.879	-0.8554	-0.839	-0.8354	-0.8403	-0.8388	-0.8365	-0.8345	-0.8378	-0.8389
79	-0.8793	-0.8557	-0.8394	-0.8358	-0.8406	-0.8391	-0.8368	-0.8348	-0.8381999999999999	-0.8391999999999999
80	-0.8796	-0.8559	-0.8397	-0.8361	-0.8409	-0.8394	-0.8371	-0.8351	-0.8385	-0.8395
81	-0.8798	-0.8561	-0.8399	-0.8363	-0.8411	-0.8396	-0.8373	-0.8353	-0.8387	-0.8397
82	-0.8799	-0.8562	-0.84	-0.8364	-0.8413	-0.8397	-0.8374	-0.8355	-0.8388	-0.8398
83	-0.88	-0.8563	-0.84	-0.8364	-0.8413	-0.8398	-0.8375	-0.8355	-0.8389	-0.8399
84	-0.88	-0.8562	-0.84	-0.8364	-0.8413	-0.8398	-0.8375	-0.8355	-0.8388	-0.8398
85	-0.8799	-0.8561	-0.8399	-0.8363	-0.8411999999999999	-0.8397	-0.8374	-0.8354	-0.8387	-0.8397
86	-0.8798	-0.856	-0.8397	-0.8361	-0.841	-0.8395	-0.8372000000000001	-0.8352000000000001	-0.8386	-0.8396
87	-0.8796	-0.8557	-0.8395	-0.8359	-0.8408	-0.8391999999999999	-0.8369	-0.835	-0.8383	-0.8393
88	-0.8794	-0.8554	-0.8391999999999999	-0.8356	-0.8405	-0.8389	-0.8366	-0.8346	-0.838	-0.839
89	-0.8791	-0.8551	-0.8388	-0.8352000000000001	-0.8401	-0.8385	-0.8362000000000001	-0.8342000000000001	-0.8376	-0.8386
90	-0.8788	-0.8546	-0.8383	-0.8347	-0.8396	-0.8381	-0.8357	-0.8337	-0.8371	-0.8381
91	-0.8783	-0.8541	-0.8378	-0.8341	-0.8391	-0.8375	-0.8352000000000001	-0.8332000000000001	-0.8366	-0.8376
92	-0.8779	-0.8536	-0.8372000000000001	-0.8335	-0.8385	-0.8369	-0.8346	-0.8326	-0.8359	-0.837
93	-0.8773	-0.8529	-0.8365	-0.8328	-0.8378	-0.8362000000000001	-0.8339	-0.8318	-0.8352000000000001	-0.8363
94	-0.8767	-0.8522	-0.8357	-0.832	-0.837	-0.8354	-0.8331	-0.8310999999999999	-0.8345	-0.8355
95	-0.8761	-0.8514	-0.8348	-0.8310999999999999	-0.8362000000000001	-0.8346	-0.8322000000000001	-0.8302	-0.8336	-0.8346
96	-0.8754	-0.8506	-0.8339	-0.8302	-0.8353	-0.8336	-0.8313	-0.8292	-0.8327	-0.8337
97	-0.8746	-0.8496	-0.8329	-0.8292	-0.8343	-0.8326	-0.8303	-0.8282	-0.8317	-0.8327
98	-0.8737	-0.8486	-0.8318	-0.8280999999999999	-0.8332000000000001	-0.8316	-0.8292	-0.8270999999999999	-0.8306	-0.8316
99	-0.8728	-0.8475	-0.8307	-0.8269	-0.832	-0.8304	-0.828	-0.8259	-0.8294	-0.8304
100	-0.8718	-0.8464	-0.8294	-0.8256	-0.8308	-0.8290999999999999	-0.8267	-0.8246	-0.8280999999999999	-0.8290999999999999
101	-0.8707	-0.8451	-0.8280999999999999	-0.8242	-0.8295	-0.8278	-0.8253	-0.8232	-0.8268	-0.8278
102	-0.8696	-0.8438	-0.8267	-0.8228	-0.828	-0.8263	-0.8239	-0.8218	-0.8254	-0.8264
103	-0.8683999999999999	-0.8424	-0.8250999999999999	-0.8212	-0.8265	-0.8248	-0.8223	-0.8202	-0.8238	-0.8248
104	-0.8671	-0.8409	-0.8235	-0.8196	-0.8249	-0.8232	-0.8207	-0.8186	-0.8222	-0.8232
105	-0.8657	-0.8393	-0.8218	-0.8179	-0.8232	-0.8215	-0.819	-0.8168	-0.8205	-0.8215
106	-0.8642	-0.8377	-0.82	-0.8159999999999999	-0.8214	-0.8197	-0.8171	-0.8149999999999999	-0.8187	-0.8197
107	-0.8627	-0.8359	-0.8181	-0.8141	-0.8196	-0.8178	-0.8152	-0.8129999999999999	-0.8168	-0.8177
108	-0.8611	-0.834	-0.8161	-0.8120000000000001	-0.8176	-0.8158	-0.8132	-0.8109	-0.8147	-0.8157
109	-0.8594000000000001	-0.832	-0.8139999999999999	-0.8099	-0.8154	-0.8136	-0.8110000000000001	-0.8088	-0.8126	-0.8136
110	-0.8575	-0.83	-0.8118	-0.8076	-0.8132	-0.8114	-0.8087	-0.8065	-0.8103	-0.8113
111	-0.8556	-0.8278	-0.8094	-0.8052	-0.8109	-0.8090000000000001	-0.8064	-0.8041	-0.8080000000000001	-0.8090000000000001
112	-0.8536	-0.8255	-0.8070000000000001	-0.8027	-0.8084	-0.8066	-0.8038999999999999	-0.8016	-0.8055	-0.8065
113	-0.8515	-0.8231000000000001	-0.8044	-0.8001	-0.8058999999999999	-0.804	-0.8012	-0.7989000000000001	-0.8028999999999999	-0.8038999999999999
114	-0.8492	-0.8206	-0.8017	-0.7973	-0.8032	-0.8012	-0.7985	-0.7961	-0.8001	-0.8011
115	-0.8469	-0.8179	-0.7988	-0.7944	-0.8003	-0.7984	-0.7956	-0.7932	-0.7973	-0.7982
116	-0.8444	-0.8151	-0.7958	-0.7914	-0.7973	-0.7953	-0.7925	-0.7901	-0.7943	-0.7952
117	-0.8418	-0.8122	-0.7927	-0.7882	-0.7942	-0.7922	-0.7893	-0.7869	-0.7911	-0.7921
118	-0.8391	-0.8091	-0.7894	-0.7848000000000001	-0.7909	-0.7889	-0.786	-0.7835	-0.7877999999999999	-0.7887
119	-0.8362000000000001	-0.8058999999999999	-0.7859	-0.7813	-0.7875	-0.7854	-0.7825	-0.78	-0.7843	-0.7853
120	-0.8332000000000001	-0.8025	-0.7823	-0.7776999999999999	-0.7839	-0.7818000000000001	-0.7788	-0.7763	-0.7806999999999999	-0.7816
121	-0.83	-0.7989000000000001	-0.7785	-0.7738	-0.7801	-0.778	-0.775	-0.7724	-0.7768	-0.7778
122	-0.8267	-0.7952	-0.7746	-0.7698	-0.7762	-0.774	-0.7709	-0.7683	-0.7728	-0.7738
123	-0.8232	-0.7913	-0.7704	-0.7655	-0.772	-0.7698	-0.7667	-0.7641	-0.7685999999999999	-0.7696
