DEG	LO2	NLO2	N2LO2	N3LO2	N4LO1	N4LO2	N4LO3	N4LO4	N4LO+2	AV18
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
1	0.001905	0.004985	0.004444	0.005067	0.004951	0.004925	0.004881	0.004848	0.004623	0.004451
2	0.0038	0.009953999999999999	0.008874	0.01012	0.009887	0.009834000000000001	0.009748	0.009682	0.009231	0.008888999999999999
3	0.005675	0.01489	0.01328	0.01514	0.01479	0.01471	0.01458	0.01449	0.01381	0.0133
4	0.00752	0.01977	0.01763	0.02011	0.01965	0.01954	0.01938	0.01925	0.01835	0.01767
5	0.009325999999999999	0.02459	0.02194	0.02502	0.02444	0.02432	0.02411	0.02395	0.02282	0.02198
6	0.01109	0.02932	0.02617	0.02985	0.02916	0.02901	0.02877	0.02858	0.02723	0.02623
7	0.01279	0.03396	0.03032	0.03459	0.03378	0.03362	0.03334	0.03312	0.03155	0.0304
8	0.01443	0.03849	0.03437	0.03923	0.0383	0.03812	0.03781	0.03757	0.03577	0.03448
9	0.016	0.04289	0.03832	0.04375	0.0427	0.04251	0.04217	0.04191	0.03989	0.03846
10	0.0175	0.04716	0.04216	0.04814	0.04698	0.04677	0.0464	0.04612	0.04388	0.04233
11	0.01891	0.05128	0.04586	0.05239	0.05111	0.0509	0.05051	0.05021	0.04774	0.04607
12	0.02025	0.05524	0.04943	0.05648	0.05509	0.05488	0.05446	0.05415	0.05147	0.04968
13	0.0215	0.05904	0.05286	0.06042	0.05891	0.0587	0.05827	0.05794	0.05504	0.05316
14	0.02265	0.06265999999999999	0.05613	0.06419	0.06257	0.06236	0.06191	0.06158	0.05846	0.05648
15	0.02372	0.06610000000000001	0.05925	0.06778000000000001	0.06605	0.06584	0.06539	0.06504	0.06172	0.05966
16	0.0247	0.06934999999999999	0.0622	0.07119	0.06934	0.06915	0.06869	0.06834	0.06481000000000001	0.06267
17	0.02559	0.07242	0.06498	0.07441	0.07246	0.07227	0.07181	0.07146	0.06772	0.06553
18	0.02638	0.07529	0.06759	0.07743999999999999	0.07538	0.07521	0.07475	0.07439999999999999	0.07045999999999999	0.06821000000000001
19	0.02709	0.07797	0.07003	0.08028	0.0781	0.07795000000000001	0.0775	0.07715	0.07301000000000001	0.07072000000000001
20	0.02771	0.08044999999999999	0.07228999999999999	0.08291	0.08064	0.0805	0.08006000000000001	0.07972	0.07538	0.07306
21	0.02825	0.08273	0.07436	0.08534	0.08297	0.08286	0.08241999999999999	0.08209	0.07757	0.07522
22	0.0287	0.08481	0.07625999999999999	0.08757	0.0851	0.08502	0.08459999999999999	0.08427999999999999	0.07957	0.07721
23	0.02907	0.08669	0.07797	0.08959	0.08704000000000001	0.08698	0.08656999999999999	0.08627	0.08137999999999999	0.07902000000000001
24	0.02936	0.08838	0.07951	0.09141000000000001	0.08877	0.08874	0.08835	0.08806	0.083	0.08064
25	0.02957	0.08988	0.08086	0.09303	0.09031	0.09031	0.08994000000000001	0.08967	0.08444	0.08209
26	0.02972	0.09118	0.08203000000000001	0.09444	0.09164	0.09168	0.09132999999999999	0.09107999999999999	0.08569	0.08337
27	0.02979	0.09229999999999999	0.08303000000000001	0.09565	0.09279	0.09285	0.09253	0.09229999999999999	0.08674999999999999	0.08445999999999999
28	0.0298	0.09322999999999999	0.08384999999999999	0.09666	0.09374	0.09383	0.09354	0.09333	0.08763	0.08538
29	0.02974	0.09397999999999999	0.08449	0.09748	0.0945	0.09463000000000001	0.09436	0.09417	0.08834	0.08613
30	0.02962	0.09455	0.08495999999999999	0.09810000000000001	0.09507	0.09523	0.095	0.09483	0.08885999999999999	0.0867
31	0.02944	0.09495000000000001	0.08527	0.09853000000000001	0.09546	0.09565	0.09544999999999999	0.0953	0.08921	0.0871
32	0.02921	0.09517	0.0854	0.09878000000000001	0.09566	0.09589	0.09572	0.0956	0.08939	0.08734
33	0.02892	0.09523	0.08538	0.09883	0.09569	0.09594999999999999	0.09581000000000001	0.09572	0.08939	0.08741
