DEG	LO	NLO	N2LO	N3LO	N4LO
0	4.45	6.401	6.167	6.075	6.098
1	4.463	6.414	6.18	6.089	6.112
2	4.502	6.454	6.221	6.131	6.153
3	4.566	6.521	6.289	6.2	6.222
4	4.657	6.614	6.384	6.297	6.319
5	4.773	6.734	6.505	6.421	6.443
6	4.914	6.879	6.653	6.572	6.593
7	5.081	7.05	6.827	6.75	6.771
8	5.272	7.247	7.027	6.954	6.975
9	5.487	7.469	7.253	7.185	7.204
10	5.726	7.715	7.503	7.441	7.46
11	5.989	7.986	7.778	7.722	7.74
12	6.275	8.279999999999999	8.077	8.026999999999999	8.044
13	6.583	8.597	8.398999999999999	8.356	8.372999999999999
14	6.913	8.936	8.744	8.709	8.724
15	7.263	9.297000000000001	9.111000000000001	9.084	9.099
16	7.635	9.679	9.499000000000001	9.481	9.494
17	8.025	10.08	9.907999999999999	9.898	9.911
18	8.435	10.5	10.34	10.34	10.35
19	8.863	10.94	10.78	10.79	10.8
20	9.308999999999999	11.4	11.25	11.27	11.28
21	9.77	11.88	11.73	11.76	11.77
22	10.25	12.37	12.23	12.27	12.28
23	10.74	12.87	12.75	12.8	12.8
24	11.25	13.39	13.27	13.34	13.34
25	11.76	13.92	13.82	13.89	13.89
26	12.3	14.47	14.37	14.46	14.46
27	12.84	15.02	14.93	15.04	15.04
28	13.39	15.59	15.51	15.63	15.62
29	13.95	16.16	16.09	16.22	16.22
30	14.52	16.75	16.69	16.83	16.82
31	15.09	17.34	17.29	17.44	17.44
32	15.67	17.93	17.89	18.06	18.05
33	16.26	18.53	18.5	18.69	18.68
34	16.85	19.14	19.12	19.32	19.3
35	17.44	19.74	19.73	19.95	19.93
36	18.03	20.35	20.35	20.58	20.56
37	18.63	20.96	20.97	21.21	21.19
38	19.22	21.57	21.59	21.85	21.83
39	19.82	22.17	22.2	22.48	22.46
40	20.41	22.78	22.82	23.11	23.08
41	20.99	23.38	23.43	23.73	23.71
42	21.58	23.97	24.03	24.35	24.33
43	22.16	24.56	24.63	24.97	24.94
44	22.73	25.14	25.23	25.58	25.55
45	23.29	25.72	25.81	26.18	26.15
46	23.85	26.29	26.39	26.77	26.74
47	24.4	26.85	26.96	27.35	27.32
48	24.94	27.4	27.52	27.93	27.89
49	25.47	27.93	28.07	28.49	28.45
50	25.99	28.46	28.6	29.04	29
51	26.5	28.97	29.13	29.57	29.53
52	26.99	29.47	29.64	30.1	30.06
53	27.47	29.96	30.13	30.61	30.56
54	27.94	30.43	30.61	31.1	31.06
55	28.4	30.89	31.08	31.58	31.53
56	28.83	31.33	31.53	32.05	32
57	29.26	31.76	31.96	32.49	32.44
58	29.66	32.17	32.38	32.92	32.87
59	30.05	32.56	32.78	33.33	33.28
60	30.43	32.94	33.16	33.73	33.67
61	30.78	33.29	33.53	34.1	34.04
62	31.12	33.63	33.87	34.46	34.4
63	31.44	33.95	34.2	34.79	34.73
64	31.75	34.25	34.5	35.11	35.05
65	32.03	34.53	34.79	35.41	35.35
66	32.3	34.79	35.06	35.68	35.62
67	32.54	35.04	35.3	35.94	35.87
68	32.77	35.26	35.53	36.17	36.11
69	32.97	35.46	35.74	36.39	36.32
70	33.16	35.64	35.92	36.58	36.51
71	33.33	35.8	36.09	36.75	36.69
72	33.48	35.94	36.23	36.9	36.84
73	33.61	36.06	36.35	37.03	36.96
74	33.72	36.16	36.46	37.14	37.07
75	33.8	36.24	36.54	37.23	37.16
76	33.87	36.3	36.6	37.3	37.23
77	33.92	36.34	36.64	37.34	37.27
78	33.95	36.36	36.66	37.37	37.3
79	33.96	36.36	36.67	37.37	37.3
80	33.96	36.34	36.65	37.35	37.28
81	33.93	36.3	36.61	37.32	37.25
82	33.88	36.24	36.55	37.26	37.19
83	33.82	36.17	36.47	37.19	37.11
84	33.74	36.07	36.38	37.09	37.02
85	33.64	35.96	36.26	36.98	36.9
86	33.52	35.82	36.13	36.84	36.77
87	33.38	35.67	35.98	36.69	36.62
88	33.23	35.51	35.81	36.52	36.45
89	33.06	35.32	35.62	36.33	36.26
90	32.88	35.12	35.42	36.13	36.06
91	32.67	34.9	35.2	35.9	35.83
92	32.46	34.67	34.96	35.66	35.6
93	32.23	34.42	34.71	35.41	35.34
94	31.98	34.16	34.44	35.14	35.07
95	31.72	33.88	34.16	34.85	34.79
96	31.44	33.59	33.87	34.55	34.49
97	31.15	33.28	33.56	34.24	34.17
98	30.85	32.96	33.23	33.91	33.84
99	30.53	32.63	32.9	33.57	33.5
100	30.21	32.29	32.55	33.21	33.15
101	29.87	31.93	32.19	32.84	32.78
102	29.52	31.57	31.82	32.47	32.4
103	29.16	31.19	31.44	32.08	32.01
104	28.79	30.8	31.04	31.67	31.61
105	28.41	30.4	30.64	31.26	31.2
106	28.02	30	30.23	30.84	30.78
107	27.62	29.58	29.81	30.41	30.35
108	27.21	29.16	29.38	29.97	29.92
109	26.8	28.73	28.94	29.53	29.47
110	26.38	28.29	28.49	29.07	29.02
111	25.95	27.84	28.04	28.61	28.56
112	25.52	27.39	27.58	28.14	28.09
113	25.07	26.94	27.12	27.67	27.62
114	24.63	26.48	26.65	27.19	27.14
115	24.18	26.01	26.18	26.7	26.66
116	23.72	25.54	25.7	26.21	26.17
117	23.27	25.07	25.22	25.72	25.68
118	22.8	24.59	24.74	25.23	25.18
119	22.34	24.11	24.25	24.73	24.68
120	21.87	23.63	23.76	24.22	24.18
121	21.4	23.14	23.27	23.72	23.68
122	20.93	22.66	22.77	23.22	23.18
123	20.46	22.17	22.28	22.71	22.67
124	19.99	21.69	21.79	22.2	22.17
125	19.51	21.2	21.29	21.7	21.66
126	19.04	20.71	20.8	21.19	21.16
127	18.57	20.23	20.31	20.69	20.66
128	18.1	19.75	19.82	20.18	20.15
129	17.63	19.27	19.33	19.68	19.65
130	17.17	18.79	18.84	19.18	19.16
131	16.7	18.31	18.36	18.68	18.66
132	16.24	17.84	17.88	18.19	18.17
133	15.78	17.37	17.4	17.7	17.68
134	15.33	16.9	16.93	17.21	17.19
135	14.88	16.44	16.46	16.73	16.71
136	14.43	15.99	15.99	16.26	16.24
137	13.99	15.54	15.53	15.78	15.77
138	13.55	15.09	15.08	15.32	15.3
139	13.12	14.65	14.63	14.86	14.85
140	12.7	14.22	14.19	14.4	14.39
141	12.28	13.79	13.75	13.96	13.95
142	11.87	13.37	13.33	13.52	13.51
143	11.46	12.95	12.9	13.08	13.08
144	11.06	12.55	12.49	12.66	12.65
145	10.67	12.15	12.08	12.24	12.24
146	10.29	11.76	11.69	11.83	11.83
147	9.91	11.37	11.3	11.43	11.43
148	9.542999999999999	11	10.91	11.04	11.04
149	9.183999999999999	10.63	10.54	10.66	10.66
150	8.834	10.28	10.18	10.28	10.28
151	8.492000000000001	9.928000000000001	9.826000000000001	9.917999999999999	9.920999999999999
152	8.16	9.59	9.481999999999999	9.564	9.568
153	7.838	9.262	9.148	9.221	9.226000000000001
154	7.525	8.944000000000001	8.824	8.888	8.893000000000001
155	7.223	8.635999999999999	8.510999999999999	8.565	8.571999999999999
156	6.93	8.339	8.208	8.253	8.260999999999999
157	6.648	8.052	7.916	7.953	7.962
158	6.376	7.776	7.635	7.663	7.673
159	6.115	7.511	7.365	7.386	7.396
160	5.866	7.257	7.106	7.119	7.131
161	5.627	7.014	6.859	6.865	6.877
162	5.399	6.783	6.623	6.623	6.636
163	5.183	6.563	6.4	6.393	6.406
164	4.978	6.356	6.188	6.175	6.189
165	4.786	6.16	5.989	5.969	5.985
166	4.605	5.976	5.802	5.777	5.793
167	4.436	5.805	5.627	5.597	5.613
168	4.279	5.645	5.465	5.43	5.447
169	4.134	5.498	5.315	5.276	5.293
170	4.001	5.364	5.178	5.134	5.152
171	3.881	5.242	5.054	5.007	5.025
172	3.773	5.132	4.942	4.892	4.911
173	3.678	5.036	4.844	4.79	4.81
174	3.595	4.952	4.759	4.703	4.722
175	3.525	4.881	4.686	4.628	4.648
176	3.468	4.823	4.627	4.567	4.587
177	3.423	4.777	4.581	4.519	4.539
178	3.391	4.745	4.548	4.485	4.505
179	3.372	4.726	4.528	4.465	4.485
180	3.366	4.719	4.521	4.458	4.478
