DEG	LO	NLO	N2LO	N3LO	N4LO	r0.8	r0.9	r1.0	r1.1	r1.2
0	2.887	5.314	5.009	5.068	5.06	5.012	5.06	5.225	5.572	6.062
1.0027	2.889	5.315	5.01	5.069	5.061	5.013	5.061	5.226	5.573	6.063
1.9996	2.894	5.318	5.013	5.072	5.064	5.016	5.064	5.229	5.576	6.067
3.0023	2.902	5.322	5.018	5.078	5.07	5.022	5.07	5.235	5.582	6.072
3.9992	2.913	5.327	5.025	5.087	5.078	5.03	5.078	5.244	5.59	6.079
5.0019	2.927	5.334	5.034	5.097	5.089	5.04	5.089	5.254	5.6	6.089
5.9989	2.945	5.343	5.044	5.11	5.101	5.052	5.101	5.267	5.613	6.101
7.0015	2.965	5.353	5.057	5.126	5.116	5.066	5.116	5.282	5.628	6.114
7.9985	2.988	5.364	5.071	5.143	5.133	5.082	5.133	5.299	5.644	6.13
9.0012	3.015	5.377	5.087	5.163	5.152	5.1	5.152	5.319	5.663	6.147
9.9981	3.044	5.391	5.105	5.184	5.172	5.12	5.172	5.34	5.684	6.166
11.001	3.075	5.406	5.124	5.208	5.195	5.141	5.195	5.363	5.706	6.187
11.998	3.11	5.422	5.145	5.233	5.22	5.165	5.22	5.388	5.731	6.209
13	3.147	5.44	5.167	5.26	5.246	5.19	5.246	5.415	5.757	6.233
13.997	3.186	5.458	5.191	5.289	5.274	5.216	5.274	5.444	5.784	6.259
15	3.228	5.478	5.215	5.32	5.303	5.244	5.303	5.474	5.814	6.285
16.003	3.271	5.498	5.241	5.351	5.334	5.274	5.334	5.505	5.844	6.313
17	3.317	5.518	5.268	5.385	5.366	5.304	5.366	5.538	5.876	6.342
18.002	3.365	5.54	5.296	5.419	5.399	5.336	5.399	5.572	5.908	6.372
18.999	3.414	5.562	5.325	5.455	5.433	5.369	5.433	5.607	5.942	6.402
20.002	3.465	5.584	5.354	5.491	5.468	5.402	5.468	5.643	5.977	6.434
20.999	3.517	5.607	5.384	5.528	5.504	5.436	5.504	5.68	6.012	6.465
22.002	3.571	5.629	5.415	5.566	5.541	5.471	5.541	5.717	6.048	6.498
22.999	3.626	5.652	5.446	5.605	5.578	5.506	5.578	5.755	6.084	6.53
24.001	3.681	5.675	5.477	5.644	5.615	5.542	5.615	5.793	6.121	6.563
24.998	3.738	5.697	5.508	5.683	5.653	5.578	5.653	5.831	6.157	6.596
26.001	3.795	5.72	5.539	5.722	5.69	5.614	5.69	5.87	6.194	6.628
26.998	3.853	5.742	5.57	5.761	5.728	5.65	5.728	5.908	6.231	6.661
28	3.911	5.763	5.601	5.801	5.765	5.685	5.765	5.947	6.267	6.692
28.997	3.969	5.784	5.632	5.839	5.803	5.72	5.803	5.985	6.303	6.724
30	4.027	5.804	5.662	5.878	5.839	5.755	5.839	6.022	6.338	6.754
31.003	4.085	5.823	5.691	5.916	5.876	5.79	5.876	6.059	6.373	6.784
32	4.143	5.841	5.72	5.953	5.911	5.823	5.911	6.095	6.406	6.813
33.002	4.2	5.859	5.748	5.99	5.946	5.856	5.946	6.13	6.439	6.841
33.999	4.257	5.875	5.775	6.025	5.979	5.888	5.979	6.165	6.471	6.868
35.002	4.313	5.89	5.801	6.059	6.012	5.919	6.012	6.198	6.502	6.893
35.999	4.368	5.904	5.826	6.093	6.044	5.949	6.044	6.23	6.531	6.917
37.002	4.422	5.916	5.85	6.125	6.074	5.977	6.074	6.26	6.559	6.94
37.999	4.475	5.927	5.872	6.155	6.103	6.004	6.103	6.29	6.585	6.961
39.001	4.526	5.937	5.893	6.185	6.13	6.03	6.13	6.317	6.61	6.98
39.998	4.577	5.945	5.913	6.212	6.156	6.054	6.156	6.344	6.633	6.998
41.001	4.625	5.951	5.931	6.238	6.18	6.077	6.18	6.368	6.655	7.013
41.998	4.672	5.956	5.948	6.262	6.203	6.098	6.203	6.391	6.674	7.027
43	4.718	5.959	5.963	6.285	6.224	6.117	6.224	6.411	6.692	7.039
43.997	4.761	5.96	5.976	6.306	6.243	6.135	6.243	6.43	6.708	7.049
45	4.803	5.96	5.988	6.324	6.26	6.15	6.26	6.447	6.721	7.057
46.003	4.843	5.957	5.997	6.341	6.275	6.164	6.275	6.462	6.733	7.062
47	4.88	5.953	6.005	6.355	6.288	6.176	6.288	6.475	6.742	7.066
48.002	4.916	5.947	6.011	6.368	6.299	6.186	6.299	6.486	6.75	7.067
48.999	4.949	5.939	6.016	6.378	6.308	6.194	6.308	6.494	6.755	7.066
50.002	4.98	5.93	6.018	6.387	6.315	6.199	6.315	6.501	6.757	7.063
50.999	5.009	5.918	6.019	6.393	6.319	6.203	6.319	6.505	6.758	7.058
52.002	5.036	5.905	6.017	6.397	6.322	6.205	6.322	6.507	6.756	7.05
52.999	5.06	5.889	6.014	6.399	6.322	6.204	6.322	6.506	6.753	7.04
54.001	5.082	5.872	6.009	6.398	6.321	6.202	6.321	6.504	6.747	7.028
54.998	5.101	5.854	6.002	6.396	6.317	6.197	6.317	6.499	6.738	7.014
56.001	5.118	5.833	5.993	6.391	6.311	6.191	6.311	6.493	6.728	6.998
56.998	5.132	5.811	5.982	6.384	6.303	6.182	6.303	6.484	6.715	6.979
58.001	5.144	5.787	5.969	6.375	6.293	6.171	6.293	6.472	6.7	6.958
58.997	5.154	5.761	5.954	6.364	6.28	6.159	6.28	6.459	6.683	6.936
60	5.161	5.733	5.938	6.35	6.266	6.144	6.266	6.444	6.664	6.911
61.003	5.166	5.705	5.92	6.335	6.25	6.128	6.25	6.426	6.643	6.884
62	5.168	5.674	5.9	6.318	6.232	6.109	6.232	6.407	6.62	6.856
63.002	5.168	5.642	5.879	6.298	6.211	6.089	6.211	6.385	6.594	6.825
63.999	5.166	5.609	5.856	6.277	6.189	6.067	6.189	6.362	6.567	6.793
65.002	5.161	5.574	5.831	6.254	6.166	6.043	6.166	6.337	6.539	6.759
65.999	5.154	5.539	5.805	6.229	6.14	6.018	6.14	6.309	6.508	6.723
67.002	5.145	5.501	5.777	6.202	6.113	5.991	6.113	6.281	6.476	6.685
67.999	5.134	5.463	5.748	6.174	6.084	5.962	6.084	6.25	6.442	6.647
69.001	5.12	5.424	5.718	6.144	6.053	5.932	6.053	6.218	6.406	6.606
69.998	5.105	5.384	5.686	6.112	6.021	5.9	6.021	6.184	6.369	6.565
71.001	5.087	5.343	5.653	6.079	5.988	5.867	5.988	6.149	6.331	6.522
71.998	5.067	5.301	5.619	6.044	5.953	5.833	5.953	6.113	6.291	6.477
73.001	5.046	5.258	5.584	6.008	5.917	5.797	5.917	6.075	6.25	6.432
73.998	5.023	5.214	5.548	5.971	5.879	5.76	5.879	6.036	6.208	6.386
75	4.997	5.17	5.511	5.933	5.841	5.722	5.841	5.996	6.164	6.338
76.003	4.97	5.126	5.473	5.893	5.801	5.684	5.801	5.954	6.12	6.29
77	4.942	5.081	5.434	5.852	5.761	5.644	5.761	5.912	6.075	6.241
78.003	4.912	5.035	5.394	5.811	5.719	5.603	5.719	5.869	6.029	6.192
78.999	4.88	4.989	5.354	5.768	5.677	5.561	5.677	5.824	5.982	6.141
80.002	4.847	4.943	5.313	5.725	5.634	5.519	5.634	5.78	5.934	6.091
80.999	4.813	4.897	5.272	5.681	5.59	5.476	5.59	5.734	5.886	6.039
82.002	4.777	4.851	5.23	5.636	5.545	5.433	5.545	5.688	5.837	5.988
82.999	4.74	4.805	5.188	5.591	5.5	5.389	5.5	5.641	5.788	5.936
84.001	4.702	4.758	5.145	5.545	5.455	5.344	5.455	5.594	5.739	5.884
84.998	4.662	4.712	5.102	5.498	5.409	5.299	5.409	5.546	5.689	5.832
86.001	4.622	4.666	5.059	5.452	5.362	5.254	5.362	5.498	5.639	5.78
86.998	4.581	4.621	5.016	5.404	5.316	5.209	5.316	5.45	5.589	5.728
88.001	4.539	4.575	4.972	5.357	5.269	5.163	5.269	5.402	5.539	5.676
88.998	4.496	4.53	4.929	5.31	5.222	5.118	5.222	5.353	5.488	5.624
90	4.453	4.486	4.885	5.262	5.175	5.072	5.175	5.305	5.438	5.572
90.997	4.408	4.442	4.842	5.215	5.129	5.026	5.129	5.256	5.388	5.521
92	4.364	4.399	4.799	5.167	5.082	4.981	5.082	5.208	5.339	5.47
93.003	4.318	4.356	4.756	5.12	5.035	4.935	5.035	5.16	5.289	5.42
93.999	4.273	4.314	4.713	5.072	4.989	4.89	4.989	5.112	5.24	5.37
95.002	4.226	4.272	4.671	5.025	4.942	4.845	4.942	5.064	5.192	5.321
95.999	4.18	4.231	4.629	4.979	4.897	4.8	4.897	5.017	5.144	5.272
97.002	4.133	4.192	4.587	4.932	4.851	4.756	4.851	4.97	5.096	5.224
97.999	4.086	4.152	4.546	4.886	4.806	4.712	4.806	4.924	5.049	5.177
99.001	4.039	4.114	4.505	4.84	4.761	4.669	4.761	4.878	5.003	5.131
99.998	3.992	4.077	4.465	4.795	4.717	4.626	4.717	4.833	4.957	5.085
101	3.945	4.041	4.425	4.751	4.674	4.584	4.674	4.788	4.912	5.041
102	3.898	4.005	4.386	4.707	4.631	4.542	4.631	4.744	4.868	4.997
103	3.851	3.971	4.348	4.663	4.588	4.501	4.588	4.701	4.825	4.954
