DEG	LO	NLO	N2LO	N3LO	N4LO
0	0	0	0	0	0
1	-0.002916	-0.002083	-0.002193	-0.002277	-0.002263
2	-0.01156	-0.008276	-0.008711	-0.009039999999999999	-0.008985999999999999
3	-0.02561	-0.01842	-0.01937	-0.0201	-0.01998
4	-0.04459	-0.03224	-0.03389	-0.03514	-0.03493
5	-0.06788	-0.0494	-0.05189	-0.05376	-0.05345
6	-0.09476	-0.06951	-0.07292	-0.07549	-0.07507999999999999
7	-0.1245	-0.09211	-0.09651	-0.09983	-0.09929
8	-0.1563	-0.1167	-0.1222	-0.1262	-0.1256
9	-0.1895	-0.143	-0.1494	-0.1542	-0.1534
10	-0.2235	-0.1703	-0.1777	-0.1833	-0.1824
11	-0.2577	-0.1984	-0.2067	-0.2129	-0.2119
12	-0.2916	-0.2269	-0.2359	-0.2428	-0.2417
13	-0.3249	-0.2554	-0.2652	-0.2726	-0.2714
14	-0.3572	-0.2836	-0.2941	-0.302	-0.3008
15	-0.3884	-0.3114	-0.3224	-0.3308	-0.3295
16	-0.4183	-0.3386	-0.35	-0.3588	-0.3574
17	-0.4467	-0.365	-0.3768	-0.3858	-0.3844
18	-0.4738	-0.3905	-0.4025	-0.4118	-0.4103
19	-0.4993	-0.415	-0.4272	-0.4367	-0.4352
20	-0.5234	-0.4385	-0.4509	-0.4604	-0.459
21	-0.5461	-0.4609	-0.4734	-0.483	-0.4816
22	-0.5674	-0.4823	-0.4948	-0.5044999999999999	-0.503
23	-0.5873	-0.5027	-0.5151	-0.5248	-0.5234
24	-0.606	-0.522	-0.5343	-0.544	-0.5426
25	-0.6236	-0.5403	-0.5525	-0.5622	-0.5608
26	-0.64	-0.5577	-0.5697	-0.5794	-0.5779
27	-0.6553	-0.5741000000000001	-0.586	-0.5955	-0.5941
28	-0.6696	-0.5896	-0.6012999999999999	-0.6108	-0.6094000000000001
29	-0.6831	-0.6042	-0.6157	-0.6251	-0.6238
30	-0.6956	-0.618	-0.6294	-0.6385999999999999	-0.6373
31	-0.7074	-0.6311	-0.6422	-0.6513	-0.6501
32	-0.7184	-0.6434	-0.6543	-0.6633	-0.6621
33	-0.7287	-0.655	-0.6657	-0.6746	-0.6734
34	-0.7383	-0.666	-0.6764	-0.6852	-0.6840000000000001
35	-0.7474	-0.6763	-0.6865	-0.6952	-0.694
36	-0.7558	-0.6860000000000001	-0.6961000000000001	-0.7047	-0.7035
37	-0.7638	-0.6953	-0.7050999999999999	-0.7135	-0.7124
38	-0.7713	-0.7039	-0.7135	-0.7219	-0.7208
39	-0.7783	-0.7121	-0.7215	-0.7298	-0.7287
40	-0.7849	-0.7199	-0.7291	-0.7372	-0.7361
41	-0.791	-0.7272	-0.7362	-0.7442	-0.7431
42	-0.7969000000000001	-0.7341	-0.7429	-0.7508	-0.7498
43	-0.8023	-0.7406	-0.7492	-0.757	-0.756
44	-0.8075	-0.7467	-0.7552	-0.7629	-0.7619
45	-0.8123	-0.7524999999999999	-0.7608	-0.7684	-0.7675
46	-0.8169	-0.758	-0.7661	-0.7737000000000001	-0.7727000000000001
47	-0.8212	-0.7632	-0.7711	-0.7786	-0.7776999999999999
48	-0.8252	-0.7681	-0.7759	-0.7833	-0.7824
49	-0.8290999999999999	-0.7727000000000001	-0.7804	-0.7877	-0.7868000000000001
50	-0.8326	-0.7771	-0.7846	-0.7917999999999999	-0.7909
51	-0.836	-0.7812	-0.7886	-0.7957	-0.7949000000000001
52	-0.8391999999999999	-0.7851	-0.7923	-0.7994	-0.7986
53	-0.8421999999999999	-0.7887999999999999	-0.7959000000000001	-0.8028999999999999	-0.8021
54	-0.8451	-0.7922	-0.7992	-0.8062	-0.8054
55	-0.8477	-0.7955	-0.8024	-0.8093	-0.8085
56	-0.8502	-0.7986	-0.8054	-0.8122	-0.8115
57	-0.8526	-0.8015	-0.8082	-0.8149999999999999	-0.8142
58	-0.8548	-0.8043	-0.8108	-0.8176	-0.8168
59	-0.8569	-0.8068	-0.8133	-0.82	-0.8193
60	-0.8589	-0.8093	-0.8157	-0.8223	-0.8216
61	-0.8607	-0.8115	-0.8178	-0.8245	-0.8238
62	-0.8625	-0.8137	-0.8199	-0.8265	-0.8258
63	-0.8641	-0.8157	-0.8218	-0.8284	-0.8277
64	-0.8656	-0.8176	-0.8236	-0.8302	-0.8295
65	-0.867	-0.8193	-0.8253	-0.8318	-0.8310999999999999
66	-0.8683	-0.8209	-0.8269	-0.8334	-0.8327
67	-0.8696	-0.8225	-0.8283	-0.8348	-0.8341
68	-0.8707	-0.8239	-0.8297	-0.8362000000000001	-0.8355
69	-0.8718	-0.8252	-0.8309	-0.8374	-0.8367
70	-0.8727	-0.8263	-0.8321	-0.8385	-0.8378
71	-0.8736	-0.8274	-0.8331	-0.8395	-0.8389
72	-0.8744	-0.8284	-0.8341	-0.8405	-0.8398
73	-0.8752	-0.8293	-0.8349	-0.8413	-0.8407
74	-0.8758	-0.8300999999999999	-0.8357	-0.8421	-0.8415
75	-0.8764	-0.8309	-0.8364	-0.8428	-0.8421
76	-0.8769	-0.8315	-0.837	-0.8434	-0.8428
77	-0.8774	-0.832	-0.8375	-0.8439	-0.8433
78	-0.8778	-0.8325	-0.838	-0.8444	-0.8437
79	-0.8781	-0.8329	-0.8383	-0.8447	-0.8441
80	-0.8784	-0.8332000000000001	-0.8386	-0.845	-0.8444
81	-0.8786	-0.8334	-0.8388	-0.8452	-0.8446
82	-0.8787	-0.8335	-0.8389	-0.8454	-0.8447
83	-0.8788	-0.8336	-0.839	-0.8454	-0.8448
84	-0.8788	-0.8335	-0.839	-0.8454	-0.8448
85	-0.8787	-0.8334	-0.8389	-0.8454	-0.8447
86	-0.8786	-0.8332000000000001	-0.8387	-0.8452	-0.8446
87	-0.8784	-0.833	-0.8384	-0.845	-0.8443000000000001
88	-0.8782	-0.8327	-0.8381	-0.8447	-0.844
89	-0.8779	-0.8323	-0.8377	-0.8443000000000001	-0.8437
90	-0.8776	-0.8318	-0.8373	-0.8439	-0.8431999999999999
91	-0.8771	-0.8312	-0.8367	-0.8434	-0.8427
92	-0.8767	-0.8306	-0.8361	-0.8428	-0.8421
93	-0.8761	-0.8298	-0.8354	-0.8421	-0.8415
94	-0.8754999999999999	-0.829	-0.8346	-0.8414	-0.8407
95	-0.8748	-0.8282	-0.8338	-0.8406	-0.8399
96	-0.8741	-0.8272	-0.8329	-0.8397	-0.839
97	-0.8733	-0.8262	-0.8319	-0.8387	-0.8381
98	-0.8725000000000001	-0.825	-0.8308	-0.8377	-0.837
99	-0.8715000000000001	-0.8238	-0.8296	-0.8366	-0.8359
100	-0.8705000000000001	-0.8225	-0.8283	-0.8354	-0.8347
101	-0.8694	-0.8211000000000001	-0.827	-0.8341	-0.8334
102	-0.8683	-0.8196	-0.8256	-0.8327	-0.832
103	-0.8671	-0.8179999999999999	-0.8241000000000001	-0.8313	-0.8305
104	-0.8658	-0.8164	-0.8225	-0.8297	-0.829
105	-0.8643999999999999	-0.8146	-0.8207	-0.8280999999999999	-0.8273
106	-0.8629	-0.8127	-0.8189	-0.8263	-0.8256
107	-0.8613	-0.8107	-0.8169999999999999	-0.8245	-0.8237
108	-0.8597	-0.8086	-0.8149999999999999	-0.8225	-0.8218
109	-0.858	-0.8064	-0.8129	-0.8205	-0.8197
110	-0.8561	-0.8041	-0.8107	-0.8183	-0.8175
111	-0.8542	-0.8017	-0.8083	-0.8161	-0.8153
112	-0.8522	-0.7991	-0.8058999999999999	-0.8137	-0.8129
113	-0.85	-0.7964	-0.8033	-0.8112	-0.8103
