DEG	LO	NLO	N2LO	N3LO	N4LO
0	-0	-0	-0	-0	-0
1	0.001675	0.003866	0.004508	0.005845	0.00549
2	0.003341	0.007721	0.009001	0.01167	0.01096
3	0.004989	0.01155	0.01347	0.01746	0.0164
4	0.00661	0.01535	0.01789	0.02319	0.02178
5	0.008196999999999999	0.01911	0.02225	0.02884	0.02708
6	0.009742000000000001	0.02281	0.02654	0.03439	0.0323
7	0.01124	0.02645	0.03075	0.03984	0.03742
8	0.01268	0.03001	0.03486	0.04516	0.04241
9	0.01406	0.03349	0.03886	0.05033	0.04727
10	0.01537	0.03688	0.04274	0.05535	0.05198
11	0.01661	0.04017	0.0465	0.06019	0.05653
12	0.01778	0.04335	0.05011	0.06486	0.06091
13	0.01887	0.04642	0.05358	0.06933	0.06510000000000001
14	0.01988	0.04937	0.05689	0.0736	0.06911
15	0.02081	0.05219	0.06004	0.07766000000000001	0.07292
16	0.02166	0.05488	0.06303	0.08151	0.07652
17	0.02243	0.05744	0.06584	0.08513	0.07992
18	0.02312	0.05986	0.06848	0.08853	0.08309999999999999
19	0.02374	0.06214	0.07093000000000001	0.0917	0.08606
20	0.02427	0.06426999999999999	0.0732	0.09464	0.08881
21	0.02473	0.06626	0.07529	0.09735000000000001	0.09132999999999999
22	0.02512	0.06809999999999999	0.0772	0.09982000000000001	0.09363
23	0.02543	0.06979	0.07892	0.1021	0.09572
24	0.02568	0.07133	0.08044999999999999	0.1041	0.09758
25	0.02585	0.07272000000000001	0.0818	0.1059	0.09923
26	0.02597	0.07396	0.08297	0.1074	0.1007
27	0.02602	0.07506	0.08396000000000001	0.1088	0.1019
28	0.02601	0.07600999999999999	0.08476	0.1099	0.1029
29	0.02595	0.07681	0.08538999999999999	0.1108	0.1037
30	0.02583	0.07746	0.08584	0.1115	0.1043
31	0.02566	0.07797	0.08612	0.112	0.1047
32	0.02544	0.07834000000000001	0.08622	0.1123	0.1049
33	0.02518	0.07857	0.08616	0.1124	0.105
34	0.02487	0.07865999999999999	0.08594	0.1123	0.1048
35	0.02451	0.07861	0.08555	0.112	0.1045
36	0.02412	0.07843	0.08501	0.1115	0.104
37	0.02368	0.07811	0.08431	0.1109	0.1033
38	0.02321	0.07766000000000001	0.08346000000000001	0.1101	0.1024
39	0.0227	0.07708	0.08246000000000001	0.1091	0.1014
40	0.02215	0.07638	0.08130999999999999	0.108	0.1002
41	0.02157	0.07555000000000001	0.08001999999999999	0.1067	0.0989
42	0.02095	0.07459	0.07858999999999999	0.1052	0.09742000000000001
43	0.02031	0.07351000000000001	0.07702000000000001	0.1036	0.09579
44	0.01963	0.07232	0.07531	0.1019	0.09402000000000001
45	0.01892	0.07099999999999999	0.07346999999999999	0.09997	0.09211
46	0.01819	0.06956	0.07149999999999999	0.09793	0.09006
47	0.01742	0.06801	0.0694	0.09576	0.08787
48	0.01662	0.06634	0.06716999999999999	0.09345000000000001	0.08556
49	0.0158	0.06455	0.06482	0.09102	0.08311
50	0.01495	0.06265999999999999	0.06234	0.08845	0.08054
51	0.01407	0.06064	0.05974	0.08576	0.07784000000000001
52	0.01316	0.05852	0.05702	0.08295	0.07503
53	0.01222	0.05629	0.05418	0.08001	0.07209
54	0.01126	0.05394	0.05123	0.07696	0.06902999999999999
55	0.01027	0.05148	0.04815	0.07378999999999999	0.06585000000000001
56	0.009249	0.04892	0.04497	0.07049999999999999	0.06256
57	0.008203	0.04624	0.04166	0.06710000000000001	0.05916
58	0.007128	0.04346	0.03825	0.06358	0.05564
59	0.006026	0.04056	0.03472	0.05996	0.05201
60	0.004895	0.03756	0.03108	0.05622	0.04827
61	0.003736	0.03445	0.02733	0.05237	0.04442
62	0.002547	0.03123	0.02347	0.04842	0.04047
63	0.00133	0.0279	0.0195	0.04436	0.0364
64	8.307e-05	0.02446	0.01542	0.0402	0.03224
65	-0.001194	0.02092	0.01123	0.03593	0.02796
66	-0.002501	0.01726	0.006942	0.03155	0.02358
67	-0.003839	0.0135	0.002543	0.02708	0.0191
68	-0.005208	0.009634999999999999	-0.001961	0.0225	0.01452
69	-0.006608	0.00566	-0.006569	0.01782	0.009832
70	-0.008041	0.001579	-0.01128	0.01304	0.005047
71	-0.009506000000000001	-0.002608	-0.01609	0.008167000000000001	0.0001625
72	-0.011	-0.0069	-0.02101	0.003193	-0.00482
73	-0.01253	-0.0113	-0.02602	-0.001878	-0.009899
74	-0.0141	-0.0158	-0.03114	-0.007043	-0.01507
75	-0.0157	-0.0204	-0.03635	-0.0123	-0.02034
76	-0.01733	-0.0251	-0.04165	-0.01765	-0.0257
77	-0.019	-0.0299	-0.04705	-0.02309	-0.03115
78	-0.0207	-0.0348	-0.05254	-0.02863	-0.03669
79	-0.02244	-0.0398	-0.05812	-0.03424	-0.04232
80	-0.02422	-0.04489	-0.06378	-0.03994	-0.04803
81	-0.02603	-0.05006	-0.06952999999999999	-0.04573	-0.05383
82	-0.02788	-0.05533	-0.07537000000000001	-0.05159	-0.0597
