THCM,CROSS,CROSS2,P1,P2,PHIP,angle,CUTOFF,FORCE,WAVE,T11D,T20D,T21D,T22D,T11D2,T20D2,T21D2,T22D2,AX,AY,AZ,AX2,AY2,AZ2,POLNOUT(y),POLNOUT2(y),CROSSCAP,CROSSCAP2,AYN1CAP,AYN1CAP2,Energy
0.0175,6.135,6.285,160.8,160.8,0.0,1.0,550,N4LO,SIEGERT,-0.0,-0.6759,-0.01581,0.0005198,0.005632,-0.8877,-0.02503,0.0006858,-0.002343,0.0,1.163e-17,-0.002125,-1.2900000000000001e-20,4.163e-17,-0.0,0.005382,0.3103,0.3179,0.0,-0.005382,30
0.0349,6.18,6.325,160.8,160.8,0.0,2.0,550,N4LO,SIEGERT,-0.0,-0.675,-0.03119,0.00206,0.01118,-0.8869,-0.04951,0.002721,-0.0093,0.0,-6.61e-18,-0.008441,0.0,-3.178e-18,-0.0,0.01068,0.3126,0.3199,-0.0,-0.01068,30
0.0524,6.254,6.392,160.8,160.8,0.0,3.0,550,N4LO,SIEGERT,0.0,-0.6736,-0.04573,0.004564,0.01658,-0.8855,-0.07292,0.006041,-0.02066,0.0,-7.465e-18,-0.01878,1.014e-19,1.948e-17,-0.0,0.01582,0.3164,0.3233,0.0,-0.01582,30
0.0698,6.359,6.485,160.8,160.8,0.0,4.0,550,N4LO,SIEGERT,0.0,-0.6716,-0.05906,0.007942,0.02175,-0.8836,-0.09478,0.01054,-0.03608,0.0,-9.667e-17,-0.03287,0.0,2.8e-18,-0.0,0.02072,0.3216,0.328,-0.0,-0.02072,30
0.0873,6.492,6.604,160.8,160.8,0.0,5.0,550,N4LO,SIEGERT,0.0,-0.669,-0.07087,0.01208,0.02663,-0.8812,-0.1147,0.01609,-0.05513,0.0,8.789e-18,-0.05035,0.0,-2.985e-17,-0.0,0.02532,0.3284,0.3341,0.0,-0.02532,30
0.1047,6.655,6.75,160.8,160.8,0.0,6.0,550,N4LO,SIEGERT,-0.0,-0.6659,-0.08092,0.01684,0.03118,-0.8782,-0.1323,0.02253,-0.07731,0.0,-4.677e-18,-0.07081,0.0,1.844e-17,-0.0,0.02957,0.3366,0.3414,-0.0,-0.02957,30
0.1222,6.847,6.921,160.8,160.8,0.0,7.0,550,N4LO,SIEGERT,-0.0,-0.6622,-0.08906,0.02208,0.03536,-0.8746,-0.1475,0.02969,-0.1021,0.0,-7.576e-18,-0.09378,-3.747e-19,1.199e-17,-0.0,0.03344,0.3463,0.3501,-0.0,-0.03344,30
0.1396,7.067,7.118,160.8,160.8,0.0,8.0,550,N4LO,SIEGERT,-0.0,-0.658,-0.09518,0.02765,0.03914,-0.8705,-0.1599,0.03738,-0.1288,0.0,-8.808e-18,-0.1188,0.0,-1.02e-17,-0.0,0.03689,0.3575,0.3601,0.0,-0.03689,30
0.1571,7.315,7.34,160.8,160.8,0.0,9.0,550,N4LO,SIEGERT,0.0,-0.6533,-0.09927,0.03342,0.04252,-0.8658,-0.1696,0.04544,-0.1571,0.0,0.0,-0.1454,7.067e-19,-5.654e-18,-0.0,0.03992,0.37,0.3713,0.0,-0.03992,30
0.1745,7.591,7.587,160.8,160.8,0.0,10.0,550,N4LO,SIEGERT,-0.0,-0.6481,-0.1014,0.03923,0.04548,-0.8606,-0.1766,0.05369,-0.1863,0.0,-5.467e-18,-0.1731,0.0,-5.47e-18,-0.0,0.04253,0.384,0.3838,-0.0,-0.04253,30
