E,TOTCROSS,ERR,fname
20.8,582.0,44.0,Bosman.csv
23.4,511.0,35.0,Bosman.csv
25.9,385.0,16.0,Bosman.csv
28.5,367.0,19.0,Bosman.csv
31.0,306.0,21.0,Bosman.csv
33.5,264.0,20.0,Bosman.csv
38.6,234.0,18.0,Bosman.csv
5.97,2162.0,99.0,Birenbaum.csv
7.25,1882.0,11.0,Birenbaum.csv
7.6,1803.0,16.0,Birenbaum.csv
7.64,1810.0,28.0,Birenbaum.csv
8.8,1586.0,11.0,Birenbaum.csv
9.0,1570.0,36.0,Birenbaum.csv
11.39,1257.0,36.0,Birenbaum.csv
2.754,1456.0,45.0,Moreh.csv
14.7,925.0,20.0,Bernabei.csv
19.3,617.0,9.0,Bernabei.csv
28.9,361.0,6.0,Bernabei.csv
38.2,249.0,3.0,Bernabei.csv
47.5,177.0,3.0,Bernabei.csv
57.5,139.0,3.0,Bernabei.csv
74.0,97.6,5.3,Bernabei.csv
200.8426311741751,52.91916401737814,,data_arends1984.csv
208.95619933063392,54.746675943867615,,data_arends1984.csv
211.10815656298868,54.72451289686978,,data_arends1984.csv
218.5605743956885,57.36602592867382,,data_arends1984.csv
220.55015986785693,59.92386236819891,,data_arends1984.csv
227.8335450466634,59.71650597712284,,data_arends1984.csv
229.8204754673489,60.1103795788199,,data_arends1984.csv
237.7682966035244,61.76693212535298,,data_arends1984.csv
240.0831747210946,59.6123263205655,,data_arends1984.csv
247.21957684178932,62.26196754113323,,data_arends1984.csv
249.85214362019195,61.46274725543083,,data_arends1984.csv
256.931694991194,63.77203616648029,,data_arends1984.csv
259.952016469484,63.17414198772354,,data_arends1984.csv
265.91293181153844,64.45689247192502,,data_arends1984.csv
269.7199187305073,64.15521437382671,,data_arends1984.csv
275.67671143175187,62.0778637211456,,data_arends1984.csv
279.6523704267192,64.33117104046016,,data_arends1984.csv
284.616002612158,62.3052206376841,,data_arends1984.csv
289.91206121410227,61.38110905492778,,data_arends1984.csv
294.54322290607297,58.21739551595738,,data_arends1984.csv
301.50683939607103,56.84633258097597,,data_arends1984.csv
303.64780241109963,58.24185828288182,,data_arends1984.csv
311.5864638860521,52.43295615892549,,data_arends1984.csv
314.2314776760434,49.51315002203745,,data_arends1984.csv
321.51281162778446,47.63396949872623,,data_arends1984.csv
323.82652531140434,44.530307974427615,,data_arends1984.csv
331.4413839297092,44.64807972860291,,data_arends1984.csv
333.7554671301932,41.84558779257003,,data_arends1984.csv
341.3668976833636,39.16936266797279,,data_arends1984.csv
343.5187609677429,39.07062862825183,,data_arends1984.csv
350.6307058315888,34.05207209908258,,data_arends1984.csv
352.9457903150335,32.06566193426539,,data_arends1984.csv
359.5646844818916,29.949525135364183,,data_arends1984.csv
362.09844297177017,26.29853016005609,,data_arends1984.csv
368.9112597754034,24.831023058484107,,data_arends1984.csv
371.6406737893376,23.24102349221795,,data_arends1984.csv
377.6229896159248,22.69182059815216,,data_arends1984.csv
380.9063399408145,19.638072669772956,,data_arends1984.csv
387.5527649492037,20.686444825583635,,data_arends1984.csv
391.1667730770403,17.293051798763656,,data_arends1984.csv
402.08833623194914,14.117480452242148,,data_arends1984.csv
411.6883182079731,13.156304233842036,,data_arends1984.csv
420.7896332095445,10.520078796982771,,data_arends1984.csv
424.97909583423206,7.139268405164557,,data_arends1984.csv
426.4133593812025,6.81917404746082,,data_arends1984.csv
434.0271040026554,6.028998138709767,,data_arends1984.csv
441.68794870462966,5.078846559460999,,data_arends1984.csv
444.2869315385095,3.1903910953263903,,data_arends1984.csv
448.4280171124296,5.353486538384061,,data_arends1984.csv
17.0,730.0,42.0,Skopik.csv
18.0,640.0,31.0,Skopik.csv
19.0,637.0,31.0,Skopik.csv
20.0,604.0,29.0,Skopik.csv
21.0,554.0,26.0,Skopik.csv
22.0,496.0,24.0,Skopik.csv
23.0,460.0,23.0,Skopik.csv
24.0,465.0,23.0,Skopik.csv
25.0,445.0,22.0,Skopik.csv
26.0,430.0,21.0,Skopik.csv
27.0,377.0,20.0,Skopik.csv
28.0,400.0,29.0,Skopik.csv
