THCM,CROSS,CROSS2,P1,P2,PHIP,angle,CUTOFF,FORCE,WAVE,T11D,T20D,T21D,T22D,T11D2,T20D2,T21D2,T22D2,AX,AY,AZ,AX2,AY2,AZ2,POLNOUT(y),POLNOUT2(y),CROSSCAP,CROSSCAP2,AYN1CAP,AYN1CAP2,Energy
0.0,0.1651,0.5372,298.84,298.84,0.0,0.0,450,N4LO+,1NC,-0.0,-0.415,0.0,0.0,-0.0,-0.7825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.444e-18,-0.0,-0.0,0.025,0.08132,-0.0,-5.992000000000001e-34,100
0.0175,0.1657,0.5374,298.84,298.84,0.0,1.0,450,N4LO+,1NC,-0.0,-0.4159,0.06496,-0.001056,-0.003475,-0.7822,0.02462,-0.0003008,-0.0003299,0.0,-1.912e-16,-0.0002368,-2.634e-21,-1.569e-16,-0.0,-0.002375,0.02508,0.08134,0.0,0.002375,100
0.0349,0.1672,0.5379,298.84,298.84,0.0,2.0,450,N4LO+,1NC,0.0,-0.4185,0.129,-0.004187,-0.006933,-0.7812,0.04922,-0.001203,-0.001309,0.0,-6.048e-17,-0.0009462,1.0530000000000001e-20,-8.148e-17,-0.0,-0.004735,0.02531,0.08142,0.0,0.004735,100
0.0524,0.1698,0.5387,298.84,298.84,0.0,3.0,450,N4LO+,1NC,-0.0,-0.4226,0.1912,-0.009294,-0.01036,-0.7796,0.07377,-0.002703,-0.002904,0.0,7.336e-18,-0.002125,0.0,9.081e-18,-0.0,-0.007066,0.0257,0.08155,0.0,0.007066,100
0.0698,0.1734,0.5399,298.84,298.84,0.0,4.0,450,N4LO+,1NC,0.0,-0.4281,0.2509,-0.01622,-0.01373,-0.7773,0.09825,-0.0048,-0.005065,0.0,-1.459e-16,-0.003769,7.132e-19,-2.014e-18,-0.0,-0.009355,0.02625,0.08172,-0.0,0.009355,100
0.0873,0.1781,0.5414,298.84,298.84,0.0,5.0,450,N4LO+,1NC,-0.0,-0.4347,0.3074,-0.02475,-0.01703,-0.7744,0.1226,-0.007488,-0.007728,0.0,-1.028e-16,-0.005871,7.53e-19,-1.355e-16,-0.0,-0.01159,0.02695,0.08195,0.0,0.01159,100
0.1047,0.1837,0.5432,298.84,298.84,0.0,6.0,450,N4LO+,1NC,0.0,-0.442,0.3603,-0.03466,-0.02025,-0.7708,0.1469,-0.01076,-0.01082,0.0,-3.748e-17,-0.008422,3.336e-19,9.339e-18,-0.0,-0.01375,0.02781,0.08223,0.0,0.01375,100
0.1222,0.1904,0.5454,298.84,298.84,0.0,7.0,450,N4LO+,1NC,-0.0,-0.4498,0.4092,-0.04572,-0.02338,-0.7665,0.171,-0.01461,-0.01426,0.0,-1.649e-16,-0.01141,4.983e-19,-2.027e-17,-0.0,-0.01583,0.02882,0.08256,0.0,0.01583,100
0.1396,0.1981,0.5479,298.84,298.84,0.0,8.0,450,N4LO+,1NC,-0.0,-0.4577,0.4541,-0.05768,-0.02638,-0.7616,0.1949,-0.01904,-0.01798,0.0,1.098e-17,-0.01483,8.267e-19,-6.614e-18,-0.0,-0.01782,0.02998,0.08294,0.0,0.01782,100
0.1571,0.2067,0.5508,298.84,298.84,0.0,9.0,450,N4LO+,1NC,0.0,-0.4655,0.4949,-0.07031,-0.02927,-0.756,0.2187,-0.02402,-0.02191,0.0,-1.578e-17,-0.01866,1.645e-18,-2.829e-17,-0.0,-0.0197,0.03129,0.08337,0.0,0.0197,100
0.1745,0.2164,0.554,298.84,298.84,0.0,10.0,450,N4LO+,1NC,0.0,-0.4729,0.5318,-0.08341,-0.03201,-0.7497,0.2422,-0.02956,-0.02598,0.0,-1.172e-16,-0.02289,1.308e-18,-2.093e-17,-0.0,-0.02147,0.03276,0.08386,0.0,0.02147,100
0.192,0.227,0.5575,298.84,298.84,0.0,11.0,450,N4LO+,1NC,0.0,-0.4796,0.565,-0.09682,-0.03459,-0.7428,0.2655,-0.03563,-0.03014,0.0,-7.662e-17,-0.02751,9.75e-19,2.6e-18,-0.0,-0.02311,0.03437,0.08439,0.0,0.02311,100
0.2094,0.2386,0.5614,298.84,298.84,0.0,12.0,450,N4LO+,1NC,0.0,-0.4856,0.5947,-0.1104,-0.03702,-0.7351,0.2885,-0.04223,-0.03434,0.0,2.62e-17,-0.03248,1.291e-18,1.033e-17,-0.0,-0.02463,0.03612,0.08498,-0.0,0.02463,100
0.2269,0.2512,0.5656,298.84,298.84,0.0,13.0,450,N4LO+,1NC,0.0,-0.4905,0.6212,-0.124,-0.03927,-0.7267,0.3111,-0.04935,-0.03855,0.0,-7.358e-17,-0.03781,6.407e-19,-2.819e-17,-0.0,-0.02601,0.03802,0.08562,0.0,0.02601,100
