THCM,CROSS,CROSS2,P1,P2,PHIP,angle,CUTOFF,FORCE,WAVE,T11D,T20D,T21D,T22D,T11D2,T20D2,T21D2,T22D2,AX,AY,AZ,AX2,AY2,AZ2,POLNOUT(y),POLNOUT2(y),CROSSCAP,CROSSCAP2,AYN1CAP,AYN1CAP2,Energy
0.0,7.869,21.84,23.03,23.03,0.0,0.0,450,NLO,SIEGERT,-0.0,0.7019,0.0,0.0,-0.0,0.6981,0.0,0.0,0.0,0.0,-1.648e-17,0.0,0.0,-4.749e-17,-0.0,-0.0,0.1678,0.4657,0.0,1.318e-33,2.75
0.0175,7.912,21.88,23.03,23.03,0.0,1.0,450,NLO,SIEGERT,0.0,0.6978,-0.01177,0.0001902,-0.0001158,0.6966,-0.003252,5.732e-05,-0.005533,0.0,-2.855e-17,-0.001997,1.808e-22,-4.004e-17,-0.0,-0.03363,0.1687,0.4666,-0.0,0.03363,2.75
0.0349,8.044,22.01,23.03,23.03,0.0,2.0,450,NLO,SIEGERT,-0.0,0.6857,-0.02312,0.000748,-0.0002302,0.6922,-0.006458,0.0002278,-0.02176,0.0,0.0,-0.00794,0.0,-7.914e-18,-0.0,-0.06684,0.1715,0.4694,-0.0,0.06684,2.75
0.0524,8.263,22.23,23.03,23.03,0.0,3.0,450,NLO,SIEGERT,0.0,0.6664,-0.03371,0.001637,-0.0003417,0.6851,-0.009574,0.0005071,-0.04765,0.0,-5.884e-18,-0.01768,0.0,6.196e-18,-0.0,-0.09926,0.1762,0.4741,0.0,0.09926,2.75
0.0698,8.569,22.54,23.03,23.03,0.0,4.0,450,NLO,SIEGERT,-0.0,0.6411,-0.04325,0.002803,-0.0004489,0.6754,-0.01256,0.0008882,-0.08163,0.0,1.324e-17,-0.03099,0.0,5.249e-17,-0.0,-0.1305,0.1827,0.4806,-0.0,0.1305,2.75
0.0873,8.963,22.93,23.03,23.03,0.0,5.0,450,NLO,SIEGERT,-0.0,0.6111,-0.05154,0.004181,-0.0005508,0.6632,-0.01539,0.001362,-0.1218,0.0,7.233e-18,-0.04755,2.071e-21,3.11e-17,-0.0,-0.1603,0.1911,0.489,-0.0,0.1603,2.75
0.1047,9.442,23.41,23.03,23.03,0.0,6.0,450,NLO,SIEGERT,0.0,0.5779,-0.05851,0.005705,-0.0006464,0.649,-0.01801,0.001917,-0.1664,0.0,0.0,-0.067,-8.113e-21,-4.015e-17,-0.0,-0.1883,0.2013,0.4992,0.0,0.1883,2.75
0.1222,10.01,23.97,23.03,23.03,0.0,7.0,450,NLO,SIEGERT,0.0,0.5429,-0.06414,0.007311,-0.0007349,0.6329,-0.02043,0.002543,-0.2134,0.0,2.591e-17,-0.08893,0.0,1.082e-17,-0.0,-0.2144,0.2134,0.5112,0.0,0.2144,2.75
0.1396,10.66,24.62,23.03,23.03,0.0,8.0,450,NLO,SIEGERT,-0.0,0.5072,-0.06851,0.008944,-0.0008159,0.6153,-0.02261,0.003225,-0.2613,0.0,-6.082e-18,-0.1129,-1.543e-20,-6.055e-17,-0.0,-0.2384,0.2273,0.5251,-0.0,0.2384,2.75
0.1571,11.39,25.36,23.03,23.03,0.0,9.0,450,NLO,SIEGERT,0.0,0.4718,-0.07171,0.01056,-0.000889,0.5965,-0.02456,0.003952,-0.3089,0.0,-1.707e-17,-0.1386,4.993e-21,-2.045e-17,-0.0,-0.2602,0.243,0.5407,0.0,0.2602,2.75
0.1745,12.21,26.18,23.03,23.03,0.0,10.0,450,NLO,SIEGERT,-0.0,0.4374,-0.07389,0.01212,-0.0009542,0.5769,-0.02626,0.004712,-0.3551,0.0,0.0,-0.1654,4.837e-21,9.907e-18,-0.0,-0.2798,0.2604,0.5581,0.0,0.2798,2.75
0.192,13.12,27.08,23.03,23.03,0.0,11.0,450,NLO,SIEGERT,0.0,0.4045,-0.0752,0.01362,-0.001012,0.5566,-0.02772,0.005492,-0.3993,0.0,9.885e-18,-0.1931,-4.676e-21,-4.789e-18,-0.0,-0.2973,0.2797,0.5773,-0.0,0.2973,2.75
