DEG	Chiral	Cutoff	Chiral(smoothed)	Cutoff(smoothed)	N3LO-N4LO	N3LO-N4LO(smoothed)
0	0.2975768493	0.03655564582	0.2974434938	0.03825790524	0.091	0.09137974284
1	0.2970606992	0.03663775634	0.2971337642	0.03743240499	0.092	0.0912502937
2	0.2949828733	0.03623771944	0.2951759758	0.03655085382	0.091	0.09096401957
3	0.2916168687	0.03585086042	0.2917833325	0.03562003602	0.09	0.09052787946
4	0.287034703	0.03516897594	0.2871566931	0.03464646045	0.09	0.08994901158
5	0.2816824072	0.03436452595	0.281484571	0.03363636065	0.089	0.08922729419
6	0.2750670241	0.03345640871	0.2749431294	0.03259569477	0.088	0.08835758019
7	0.2679675475	0.0323172971	0.267696172	0.03153014561	0.088	0.08733099719
8	0.2600774311	0.0312633833	0.2598951252	0.0304451207	0.086	0.08614041302
9	0.2518601919	0.0301625735	0.2516790184	0.02934575237	0.085	0.08479245396
10	0.2431800468	0.02903107127	0.2431744693	0.02823689794	0.084	0.08330726323
11	0.2344378994	0.02762627078	0.2344956935	0.02712314007	0.082	0.08172083258
12	0.2256082898	0.02636324069	0.2257445573	0.02600878725	0.08	0.08008353044
13	0.2168174092	0.02512036843	0.217010703	0.02489787451	0.078	0.07844593539
14	0.2081371484	0.02390667203	0.2083717683	0.0237941645	0.076	0.07683955364
15	0.1996375834	0.02262006565	0.1998937213	0.02270114889	0.075	0.07525906729
16	0.1914870053	0.02138414715	0.1916313254	0.02162205028	0.073	0.07365275461
17	0.1833954664	0.02020355847	0.1836287348	0.02055982456	0.07	0.07192829557
18	0.1760259727	0.01849598442	0.1759202126	0.01951716392	0.07	0.06996332496
19	0.16875971	0.01773628938	0.1685309542	0.01849650054	0.07	0.06762794757
20	0.1619963753	0.01700604162	0.1614779858	0.01750001098	0.07	0.06484259052
21	0.1549414853	0.01630901288	0.1547711087	0.01652962131	0.06	0.06163518338
22	0.1483586756	0.01482091396	0.1484138554	0.0155870131	0.06	0.05815486923
23	0.1422149571	0.01343873518	0.1424044299	0.01467363027	0.05	0.05459120329
24	0.13638145	0.01290812453	0.1367366128	0.01379068666	0.05	0.05112331714
25	0.1316119328	0.01239970824	0.1314006141	0.01293917457	0.05	0.04783527002
26	0.12641464	0.01192773198	0.1263838656	0.01211987398	0.04	0.04471553632
27	0.1222080778	0.01147679325	0.121671741	0.01133336264	0.04	0.04167707862
28	0.116913484	0.01040481223	0.1172481992	0.01058002676	0.04	0.03853775076
29	0.1131954122	0.01002820432	0.1130963455	0.009860072414	0.04	0.03508711577
30	0.1090796405	0.009067553272	0.1091989125	0.00917353744	0.03	0.03118399717
31	0.1052212037	0.008755289654	0.1055386654	0.008520303807	0.03	0.0268272338
32	0.1021645022	0.007896221094	0.1020987389	0.007900110329	0.02	0.02213640323
33	0.09873558944	0.00709123142	0.09886291145	0.007312565621	0.02	0.01735424265
34	0.09603452927	0.006863780359	0.09581582273	0.006757161174	0.01	0.01279092704
35	0.09296657382	0.006138892441	0.09294313656	0.00623328444	0.01	0.008807498075
36	0.09008097166	0.005953119186	0.09023165026	0.005740231807	0.01	0.005750808145
37	0.08788151542	0.005778259299	0.08766935164	0.005277221345	0	0.003939609567
38	0.08531935176	0.005144995323	0.08524542555	0.004843405221	0	0.003628790596
39	0.08290875405	0.004548038658	0.08295021365	0.004437881655	0	0.004895742622
40	0.08064273915	0.004426737494	0.08077513261	0.004059706336	0.01	0.007598922893
41	0.07894159784	0.003880564838	0.07871255846	0.003707903189	0.01	0.01140291685
42	0.07691759846	0.003782704634	0.07675568714	0.003381474423	0.02	0.01589321765
43	0.07502083912	0.003691171947	0.07489838242	0.003079409774	0.02	0.02064700461
44	0.07281849617	0.003204165415	0.07313502341	0.002800694902	0.03	0.02532963091
45	0.0711352497	0.003131421861	0.07146036436	0.002544318881	0.03	0.0297158522
46	0.06955057635	0.002680451848	0.06986941966	0.002309280758	0.03	0.03372291197
47	0.06844540212	0.002249086309	0.06835738376	0.00209459516	0.04	0.03735803974
48	0.06703910615	0.002203654394	0.06691959016	0.00189929696	0.04	0.04066074215
49	0.06570941835	0.002160799496	0.06555150607	0.001722444993	0.04	0.04371331848
50	0.06446221798	0.00176709666	0.06424875389	0.00156312487	0.05	0.04660296074
51	0.06293583358	0.001735357918	0.06300714794	0.001420450918	0.05	0.04939596222
52	0.06183430249	0.001364489169	0.0618227352	0.001293567302	0.05	0.05217997475
53	0.06080507275	0.001006626961	0.0606918313	0.001181648394	0.06	0.05504401322
54	0.05950192211	0.00132122213	0.05961104598	0.001083898455	0.05	0.05804739082
55	0.05860082305	0.0009760858956	0.05857729484	0.0009995507209	0.06	0.06122860355
56	0.05774533658	0.0006414368185	0.05758779686	0.0009278659711	0.07	0.0645233935
57	0.05630798763	0.0006327612117	0.05664005897	0.0008681306737	0.07	0.06783028503
58	0.0558888538	0.0006246583899	0.0557318506	0.0008196548004	0.07	0.07109863576
59	0.05488850772	0.0006170458928	0.05486117198	0.0007817694045	0.07	0.07431632579
60	0.05393466201	0.0003049942814	0.05402622048	0.0007538240549	0.08	0.07745768561
61	0.05334010668	0.0003016818765	0.05322535867	0.0007351842136	0.08	0.08045155716
62	0.05248604897	0.0002986188876	0.05245708747	0.0007252286429	0.08	0.08322845394
63	0.05168293169	0.0002958142287	0.05172002755	0.0007233469184	0.09	0.0857211318
64	0.05092272772	0.0005863812944	0.0510129114	0.0007289371197	0.09	0.08787343479
65	0.05020551967	0.0005816066885	0.05033458777	0.0007414037596	0.09	0.08970830418
66	0.04951937081	0.0002885794676	0.04968403905	0.0007601560053	0.09	0.09131737485
67	0.04916847433	0.0005731480155	0.04906040996	0.0007846062345	0.09	0.09281160123
68	0.04856554433	0.0005695571693	0.04846304357	0.0008141689595	0.09	0.09426653775
69	0.04799314384	0.0008493170076	0.04789151767	0.0008482601427	0.1	0.09569176084
70	0.04717249219	0.0008450109147	0.04734567334	0.0008862969189	0.1	0.09705181519
71	0.04695234055	0.0008412197687	0.04682562781	0.0009276977276	0.1	0.0983653466
72	0.04647887324	0.0008379303121	0.04633176567	0.000971882852	0.1	0.09972528398
73	0.04603724151	0.001113430759	0.04586470483	0.001018275354	0.1	0.1012649943
74	0.04534216541	0.001110340042	0.04542523636	0.001066302386	0.1	0.1030944813
75	0.04495741611	0.001107879795	0.0450142406	0.001115396853	0.1	0.1052315506
76	0.04459723126	0.0011059653	0.0446325859	0.001164999397	0.11	0.1075561556
77	0.04426708737	0.00138102472	0.04428101941	0.001214560671	0.11	0.109821452
78	0.04396012057	0.00138026225	0.04396006045	0.001263543853	0.11	0.1117607235
79	0.04367784115	0.00138026225	0.04366990652	0.001311427376	0.12	0.1131495224
80	0.04314143898	0.00138102472	0.04341036094	0.001357707812	0.12	0.1138645383
81	0.04318350669	0.001658947951	0.04318078896	0.001401902882	0.11	0.1139747329
82	0.04297274672	0.001661704632	0.04298010627	0.00144355454	0.11	0.1137069363
83	0.04278124709	0.001387732445	0.04280680093	0.001482232077	0.11	0.1132990075
84	0.04261283992	0.001669565217	0.04265898521	0.001517535228	0.12	0.1129258338
85	0.04274666042	0.001675158791	0.04253447123	0.001549097207	0.11	0.1126932621
86	0.04261924922	0.001681260946	0.04243086244	0.001576587661	0.11	0.1126924864
87	0.04223156502	0.001688357369	0.04234565228	0.001599715486	0.11	0.112924797
88	0.04242999525	0.00169647275	0.04227632257	0.001618231475	0.11	0.1132756854
89	0.04208015267	0.001705150977	0.04222043618	0.001631930778	0.12	0.1135382908
90	0.04203253203	0.001429286072	0.04217572163	0.001640655126	0.12	0.1134904445
91	0.04229432213	0.001725749622	0.04214014893	0.001644294811	0.11	0.1130317435
92	0.04199883337	0.001448016218	0.04211199695	0.001642790397	0.11	0.1122022095
93	0.04230317274	0.001458576429	0.04208991297	0.001636134133	0.11	0.111081657
94	0.04203878226	0.001763798045	0.04207296452	0.001624371067	0.11	0.1097446193
95	0.04178688688	0.001778436458	0.04206068365	0.001607599845	0.11	0.1082556314
96	0.04215386159	0.001793856043	0.04205310366	0.001585973181	0.11	0.1066843354
97	0.041934667	0.001508750754	0.04205078841	0.001559697996	0.1	0.1051159047
98	0.0420374348	0.001523461304	0.04205485294	0.001529035235	0.1	0.1036295032
99	0.04215529266	0.001538935057	0.04206697226	0.001494299342	0.1	0.1022159815
100	0.04198214192	0.001555451859	0.0420893742	0.001455857427	0.11	0.1007893265
101	0.04213972646	0.001572821642	0.04212481108	0.001414128111	0.1	0.09926462206
102	0.04231447347	0.001591343094	0.04217650553	0.001369580081	0.1	0.09767662031
103	0.04250486697	0.001610695015	0.0422480672	0.001322730365	0.09	0.09612952101
104	0.04238773275	0.001304844234	0.04234337912	0.001274142352	0.09	0.09473327535
105	0.04261458218	0.001321986284	0.04246645601	0.001224423574	0.1	0.09349731237
106	0.04252686055	0.001340145741	0.0426212814	0.001174223296	0.09	0.09233659226
107	0.04278868097	0.001019281407	0.04281163544	0.00112422993	0.09	0.09116439952
108	0.04272069465	0.001034126163	0.04304092867	0.001075168312	0.09	0.08986597082
109	0.04337094499	0.001399702563	0.04331205853	0.001027796886	0.09	0.08831494218
110	0.04369366681	0.001066098081	0.0436273044	0.0009829048108	0.09	0.08641113439
111	0.04367341987	0.00108332581	0.04398827315	0.0009413090566	0.08	0.08411588236
112	0.04440333025	0.001101220519	0.04439590194	0.0009038514974	0.08	0.08145648471
113	0.04479297365	0.0007466865783	0.04485051968	0.0008713960556	0.08	0.07846488556
114	0.04519918284	0.0003799031247	0.04535196283	0.0008448259218	0.08	0.07519178204
115	0.04602483261	0.0003868097863	0.04589973546	0.0008250408811	0.07	0.07174742272
116	0.04648698762	0.000393972225	0.04649319823	0.0008129547717	0.07	0.06831427425
117	0.04737801174	0.0004014854963	0.04713176832	0.0008094930946	0.06	0.06507157468
118	0.04790419162	0.0004093746802	0.04781511045	0.0008155907872	0.06	0.06215190933
119	0.04887640449	0.0004175801232	0.04854330121	0.0008321901641	0.06	0.05956689474
120	0.04903225806	0.0004261212315	0.04931695209	0.000860239024	0.06	0.0572258021
121	0.05007320644	0.0008703220191	0.05013728266	0.0009006889087	0.05	0.05499361558
122	0.05117079375	0.0004445432318	0.0510061413	0.0009544934933	0.06	0.05274115376
123	0.05185468451	0.0009087810974	0.05192597686	0.001022607081	0.05	0.05034435235
124	0.05303919268	0.0009292600767	0.05289976778	0.001105983163	0.05	0.04777505769
125	0.05380304243	0.001426194438	0.05393091824	0.001205573003	0.04	0.04505879787
126	0.0550864825	0.0009733544227	0.05502313312	0.001322324197	0.04	0.0422388643
127	0.05594288114	0.001495327103	0.05618028541	0.001457179151	0.04	0.03929961996
128	0.05733471074	0.001531980084	0.05740628973	0.001611073427	0.04	0.03618251296
129	0.05880794702	0.002094514989	0.05870499482	0.001784933892	0.03	0.03284311846
130	0.06034795216	0.002148516181	0.06008010576	0.001979676619	0.03	0.02929534583
131	0.06138963817	0.002755959763	0.06153514312	0.002196204469	0.03	0.02558568821
132	0.06306134149	0.002264044149	0.06307344354	0.002435404319	0.02	0.02181957372
133	0.06423099588	0.002907822041	0.06469820394	0.002698143872	0.02	0.01817480361
134	0.06664647077	0.003586907787	0.06641256951	0.002985267998	0.01	0.0148340956
135	0.06795511222	0.003688335639	0.06821976215	0.003297594594	0.01	0.01195097201
136	0.07059578565	0.003795666614	0.07012324126	0.003635909903	0.01	0.00958220003
137	0.07205817541	0.003906885886	0.072126884	0.004000963292	0.01	0.00770881962
138	0.0742506812	0.004694048617	0.07423516935	0.004393461474	0.01	0.006292923929
139	0.07586045423	0.00552963539	0.07645334935	0.004814062161	0	0.005326783366
140	0.07897596909	0.005699020481	0.0787875916	0.005263367173	0.01	0.004839982498
141	0.08151564253	0.005879110784	0.08124507866	0.005741915018	0	0.004838622729
142	0.08418071824	0.006827233074	0.08383405054	0.006250172964	0.01	0.005342141238
143	0.08700279367	0.007046388726	0.08656377741	0.006788528658	0	0.006325569727
144	0.08909665888	0.00728008089	0.08944445471	0.007357281331	0.01	0.007750463627
145	0.09215017065	0.008361204013	0.0924870203	0.00795663265	0.01	0.009510473446
146	0.09623307828	0.008643042351	0.09570290187	0.008586677293	0.01	0.0114928357
147	0.09870525514	0.008938547486	0.09910370972	0.009247393305	0.02	0.01359863984
148	0.1028982535	0.0101734104	0.1027008924	0.00993863233	0.01	0.01575412432
149	0.1063162024	0.01053135472	0.1065053728	0.01066010978	0.02	0.01794932974
150	0.1100964064	0.01090728805	0.1105271818	0.01141139507	0.02	0.02015944347
151	0.1146691493	0.01201417056	0.1147751053	0.01219190188	0.022	0.02237159183
152	0.1192588679	0.01276595745	0.1192563535	0.01300087877	0.024	0.0245740526
153	0.1240667587	0.01344982499	0.1239762576	0.01383739989	0.027	0.02674838936
154	0.1290967932	0.01439670932	0.1289379901	0.01470035616	0.029	0.02886839557
155	0.1342235431	0.01527802452	0.134142302	0.01558844681	0.031	0.03090955834
156	0.1397029305	0.01608299316	0.1395872659	0.0165001714	0.033	0.03285391144
157	0.1454074919	0.01705322771	0.1452680175	0.01743382238	0.035	0.03469247648
