DEG	Chiral	Cutoff	Chiral(smoothed)	Cutoff(smoothed)	N3LO-N4LO	N3LO-N4LO(smoothed)
0	0.5199674351	0.1949426312	0.5199639013	0.19499811	0.008	0.008019729276
1.0026765	0.5196196025	0.1949064449	0.5196339018	0.1949403346	0.008	0.007959382221
1.9996234	0.518813407	0.1949762541	0.5187989964	0.1947897856	0.008	0.007997112114
3.0022999	0.5173150919	0.1945813721	0.5173012167	0.1945453483	0.008	0.008133716571
3.9992468	0.5151515152	0.1941082861	0.5151888442	0.194210792	0.009	0.008367975876
5.0019233	0.5125420553	0.1937426123	0.5125090403	0.1937836072	0.008	0.008702469652
5.9988703	0.5092808903	0.1932999189	0.5093140486	0.1932703373	0.009	0.009134807053
7.0015468	0.505568023	0.1926045725	0.5055479337	0.1926670797	0.01	0.009663330996
7.9984937	0.5012869741	0.1920257989	0.5012466852	0.1919830165	0.01	0.01027071954
9.0011702	0.496343616	0.1911909718	0.4964020416	0.1912128827	0.011	0.01095361493
9.9981171	0.4910863743	0.1903063824	0.4911201259	0.1903683326	0.012	0.01169462224
11.000794	0.4854631789	0.189547695	0.4853481437	0.1894427922	0.013	0.01249783125
11.997741	0.479071695	0.1883592538	0.479159353	0.188450189	0.013	0.01335856592
13.000417	0.4725886232	0.1873136741	0.472545755	0.1873827089	0.014	0.01429835079
13.997364	0.4656119354	0.1864031168	0.4656449139	0.1862563136	0.015	0.01531399873
15.00004	0.4583604954	0.1850995733	0.4583875068	0.1850620199	0.017	0.01641626049
16.002717	0.4509009921	0.1837637071	0.4507829057	0.18381024	0.017	0.01759099679
16.999664	0.4427858695	0.1825793288	0.4428862021	0.1825128106	0.019	0.01882157994
18.00234	0.4346696511	0.1812012453	0.4346822455	0.1811591082	0.02	0.02010796199
18.999287	0.426376593	0.1796334296	0.4263276243	0.1797688951	0.022	0.02142337102
20.001964	0.417750966	0.1783985617	0.4177563723	0.1783305162	0.023	0.02277634164
20.998911	0.4091620987	0.1768223528	0.4090866205	0.1768646611	0.024	0.02415594257
22.001587	0.4000466527	0.1754056362	0.4001981793	0.1753586824	0.025	0.02558872058
22.998534	0.3910140117	0.1738362815	0.3911180946	0.1738338407	0.027	0.02706591252
24.001211	0.3821094588	0.1722683404	0.3817691968	0.172276538	0.029	0.02860287738
24.998158	0.372731078	0.1707194365	0.3726871582	0.1707082884	0.03	0.03017572396
26.000834	0.3640519912	0.1690225363	0.3645262625	0.1691145991	0.032	0.03179715973
26.997781	0.357920012	0.1675061303	0.3577467681	0.1675169585	0.033	0.0334428182
28.000457	0.3520733207	0.1658650679	0.3518190213	0.1659000615	0.036	0.03512689219
28.997404	0.345950346	0.1644015065	0.3460953079	0.1642851685	0.036	0.03682460756
30.000081	0.3401323043	0.1626611958	0.3401867071	0.1626562697	0.039	0.03855515605
31.002757	0.3342338724	0.1609351726	0.3342045328	0.1610249464	0.04	0.04030384218
31.999704	0.3282791642	0.1594305591	0.3283254171	0.1594025963	0.042	0.04205612175
33.002381	0.3226039001	0.1577918749	0.3224998032	0.1577724223	0.044	0.04382529467
33.999328	0.3167210061	0.1561952121	0.3167490784	0.1561546954	0.046	0.04558455772
35.002004	0.310952805	0.1544854714	0.3110213485	0.154532297	0.047	0.04735134335
35.998951	0.305471932	0.1528211929	0.3054284557	0.1529250811	0.049	0.04910695255
37.001628	0.2999612499	0.1513674945	0.2999143759	0.1513157712	0.051	0.05087013898
37.998575	0.2944062807	0.1497980778	0.2945235344	0.1497238458	0.052	0.05261570391
39.001251	0.2893167312	0.1481273583	0.2891773183	0.148132018	0.055	0.05435617618
39.998198	0.2838246016	0.1466521672	0.2839340888	0.1465594178	0.056	0.05606063869
41.000874	0.2788245462	0.1449230483	0.2787667161	0.144988868	0.058	0.05774414
41.997821	0.2737509039	0.143395178	0.2737573069	0.143439167	0.059	0.05938781546
43.000498	0.2687913822	0.1419203891	0.2688437489	0.1418933269	0.061	0.06101528662
43.997445	0.2641386856	0.1403347152	0.2640521184	0.1403698035	0.063	0.06261174163
45.000121	0.2592466337	0.1389612379	0.2593041787	0.1388518469	0.064	0.06420032057
46.002798	0.2546493047	0.1373256667	0.2546481406	0.1373489797	0.066	0.0657797175
46.999745	0.2501611207	0.1358903106	0.2501414961	0.1358703431	0.067	0.06734692755
48.002421	0.24576013	0.1343479322	0.2457495829	0.1343995774	0.069	0.06892271647
48.999368	0.2414667117	0.13285797	0.2415195917	0.1329540666	0.07	0.0704833092
50.002045	0.2374282821	0.1315669255	0.2373758999	0.1315177175	0.072	0.07203326425
50.998992	0.2333265898	0.1301647231	0.2333318314	0.130107402	0.074	0.07353373077
52.001668	0.2293021532	0.1286540804	0.2293421301	0.1287073054	0.075	0.07498116645
52.998615	0.2255423797	0.127341965	0.2254840283	0.1273337605	0.077	0.07634796879
54.001292	0.221683175	0.1259069569	0.2217443168	0.1259712624	0.077	0.07764882204
54.998238	0.2182339063	0.124675721	0.2181796515	0.1246356222	0.079	0.07887805887
56.000915	0.2147001282	0.1233153021	0.2147312345	0.1233116934	0.08	0.08005756464
56.997862	0.2114007835	0.1220034902	0.2114076289	0.1220148023	0.081	0.08118012665
58.000538	0.2081642316	0.1207277413	0.208143309	0.12073024	0.082	0.08226142049
58.997485	0.2049944092	0.1194759664	0.2049786377	0.1194729031	0.084	0.08328725684
60.000162	0.2018812823	0.118258349	0.2019151365	0.1182285973	0.084	0.08426520334
61.002838	0.1989719499	0.1169156537	0.1989983691	0.117004923	0.085	0.08518964643
61.999785	0.1962993309	0.1159073982	0.1962233577	0.1158090753	0.086	0.08605478519
63.002462	0.1935064045	0.1146274608	0.1935303325	0.1146277741	0.087	0.08686698209
63.999409	0.1909131526	0.1135155419	0.1909624202	0.1134750702	0.088	0.08761311366
65.002085	0.1885392948	0.1124230624	0.1885049837	0.1123383604	0.088	0.08830090887
65.999032	0.1861987737	0.1112057543	0.1861729803	0.1112313667	0.089	0.0889255293
67.001709	0.1839028464	0.109998098	0.1839329128	0.1101421901	0.089	0.08949483777
67.998655	0.181799112	0.1091285646	0.1818242746	0.1090841776	0.09	0.08999995674
69.001332	0.1799079377	0.1079609162	0.1798275103	0.1080461369	0.091	0.09043913692
69.998279	0.1778649145	0.1071232965	0.1779539919	0.1070409524	0.091	0.09080169261
71.000955	0.1761989343	0.1061347506	0.1761740323	0.1060581381	0.091	0.09109494791
71.997902	0.1745640366	0.1049988587	0.1745074235	0.1051100103	0.091	0.09132421477
73.000579	0.1729407112	0.1041974336	0.1729678503	0.1041867776	0.091	0.09149949982
73.997526	0.1715216211	0.1034061251	0.1716100795	0.1033000899	0.092	0.09161960574
75.000202	0.1704793822	0.1024583347	0.1703878565	0.1024408524	0.092	0.09168093716
76.002879	0.1692770421	0.1015109384	0.169239391	0.1016153357	0.092	0.09168179038
76.999826	0.1680827484	0.1007322917	0.168175853	0.100829023	0.091	0.09162892193
78.002502	0.1672807115	0.100129199	0.1672506671	0.1000739148	0.092	0.09153218385
78.999449	0.1664916754	0.09936611273	0.1664937771	0.09935965336	0.091	0.09139852454
80.002126	0.1658982692	0.09876372678	0.1658633316	0.09867903915	0.091	0.09123055705
80.999072	0.1653144403	0.09799825936	0.1653456503	0.09804085296	0.091	0.09102684796
82.001749	0.1649448904	0.09739917869	0.164957272	0.09743877624	0.091	0.09077566736
82.998696	0.1647692069	0.09680045303	0.164728111	0.09688072421	0.091	0.09047034057
84.001372	0.1646162859	0.09637350086	0.1646510046	0.09636135853	0.09	0.09010375253
84.998319	0.1646771461	0.09594959496	0.1646987295	0.09588772821	0.089	0.08968460562
86.000996	0.1649378006	0.09552173755	0.1648437802	0.09545556801	0.09	0.08921317322
86.997943	0.1650092229	0.09508280815	0.1650975242	0.09507104918	0.088	0.08869478883
88.000619	0.1655066365	0.09482790491	0.1655143177	0.09473105891	0.088	0.08812520759
88.997566	0.1662106424	0.09438537586	0.1661079894	0.0944408431	0.088	0.08750690317
90.000243	0.1667284943	0.09411941872	0.1668646125	0.09419849534	0.087	0.08682812468
90.99719	0.1678731902	0.09403495441	0.1677488635	0.09400825117	0.086	0.08609887841
91.999866	0.1686195456	0.09375	0.1687455462	0.09386943341	0.085	0.08531839691
93.002543	0.1700233199	0.09385038121	0.1698660914	0.09378481367	0.085	0.0844990054
93.999489	0.1710115149	0.09374633803	0.1711469778	0.09375591902	0.083	0.08365164343
95.002166	0.1726746196	0.09383378016	0.1726409156	0.09378390072	0.083	0.08277319937
95.999113	0.1743323442	0.09391165937	0.1742949035	0.0938698537	0.082	0.08187476075
97.001789	0.1760299625	0.09398722738	0.1760671288	0.09401610713	0.081	0.0809472202
97.998736	0.1779676099	0.09425166207	0.1779308403	0.0942222116	0.08	0.08000407542
99.001413	0.1799272205	0.09450945095	0.1799527279	0.09449163298	0.079	0.07903836139
99.99836	0.1821192053	0.09476422496	0.1821475694	0.09482222521	0.078	0.0780641902
101.00104	0.1845576113	0.09521230051	0.1845202469	0.09521855515	0.077	0.07707103742
101.99798	0.1870347251	0.09566058363	0.1870007015	0.09567665858	0.076	0.0760675996
103.00066	0.1895336352	0.09610081039	0.1896242146	0.09620218678	0.075	0.07503649474
103.99761	0.1925070688	0.09696061644	0.1924039062	0.09678929906	0.074	0.07398216463
105.00028	0.1952716202	0.0973871734	0.1953774464	0.0974447037	0.073	0.07288627415
105.99723	0.1985403563	0.09801786103	0.1984658062	0.09816069013	0.072	0.07175975918
106.99991	0.2016089949	0.09908603568	0.2016417383	0.09894505558	0.071	0.07059587972
108.00258	0.2049300597	0.09970310631	0.2048949199	0.09979325074	0.069	0.06941609066
108.99953	0.2082716415	0.1007596068	0.2082867505	0.1006991292	0.068	0.06824758258
110.00221	0.2118812867	0.101810974	0.2119245959	0.1016721704	0.067	0.06709196456
110.99915	0.2157532526	0.1026246481	0.2157294974	0.1027001892	0.066	0.06596884738
112.00183	0.2196605016	0.1036660717	0.2196334487	0.103793842	0.065	0.06486457074
112.99878	0.223567888	0.1049305844	0.2235433381	0.1049393395	0.064	0.06378698023
114.00145	0.2275069566	0.1061802974	0.2275704469	0.1061484508	0.062	0.06271727874
114.9984	0.2317123857	0.1074287319	0.2317425164	0.1074059164	0.062	0.0616597579
116.00108	0.2361751152	0.1089006223	0.2360772856	0.1087246183	0.061	0.06058880464
116.99802	0.2404074524	0.1101352955	0.2404483783	0.1100878375	0.059	0.05950708461
118.0007	0.2448947033	0.1113553814	0.2449017502	0.1115095385	0.059	0.058399299
118.99765	0.249423994	0.1130459881	0.2494370136	0.1129716463	0.057	0.05727760309
120.00032	0.2541824069	0.1144834931	0.2541223777	0.1144890253	0.056	0.05613572758
120.99727	0.2587097125	0.115916618	0.2588472068	0.1160423418	0.055	0.05499414608
121.99995	0.26374829	0.1175778954	0.2635871255	0.1176472815	0.054	0.05384702166
123.00262	0.2682604385	0.1194698985	0.2683039773	0.119292735	0.053	0.05270933547
123.99957	0.2730195687	0.1208638795	0.273076407	0.120966586	0.051	0.05159816953
125.00225	0.2780566711	0.122734515	0.2780407095	0.122685511	0.051	0.05051229223
125.99919	0.2830929802	0.1243432574	0.2830762231	0.1244271829	0.049	0.04946949299
127.00187	0.2881088098	0.1261877231	0.2881055028	0.1262088415	0.049	0.04846117364
127.99882	0.293082903	0.1280238372	0.2930180828	0.1280071865	0.047	0.04749543377
129.00149	0.2977752424	0.1298371963	0.2979377028	0.1298398128	0.046	0.04655459864
129.99844	0.3030042426	0.1316325491	0.3028866685	0.1316826721	0.046	0.04563371612
131.00112	0.3079271806	0.1336775381	0.3079088339	0.1335536773	0.045	0.044700082
131.99806	0.3128074541	0.1354332324	0.3129009234	0.1354281234	0.044	0.04374922219
133.00074	0.3179677963	0.1374446618	0.3178869157	0.137324212	0.043	0.04276815281
133.99769	0.3227689255	0.1391686032	0.322785684	0.139216857	0.042	0.04178011172
135.00036	0.3275710519	0.1411258998	0.3276517996	0.1411243527	0.04	0.04079632607
135.99731	0.3326079285	0.1430722892	0.3324348763	0.1430215169	0.04	0.03985284884
136.99999	0.3370123355	0.1450067687	0.337195744	0.1449267104	0.039	0.03895434937
138.00266	0.3419992894	0.1466520537	0.341920047	0.1468255999	0.038	0.03811499025
138.99961	0.3465993466	0.1485277967	0.3465636088	0.1487041067	0.037	0.03734055887
140.00229	0.3511436741	0.1506655487	0.3511760973	0.150580542	0.037	0.03661574198
140.99923	0.3556922709	0.1522389627	0.3557176332	0.152430295	0.036	0.0359357872
142.00191	0.3602012097	0.1543355945	0.3602099747	0.154271609	0.035	0.03528043016
142.99886	0.3646020886	0.1561348078	0.3645344328	0.1560805154	0.035	0.03464596662
144.00153	0.3687218045	0.1579308163	0.3687273284	0.1578750085	0.034	0.03401413563
144.99848	0.3727250814	0.1596811655	0.3728179877	0.1596320112	0.033	0.03338592436
146.00116	0.3769996982	0.1614352145	0.376920406	0.161369247	0.033	0.03275038055
146.9981	0.3809638991	0.1631584514	0.3809592663	0.1630645775	0.032	0.03211173403
148.00078	0.3848483013	0.1648671536	0.3849072044	0.1647354135	0.032	0.03146546009
