I,angle,CROSS,CROSS2,FORCE,Energy,CUTOFF
181,0.0,0.005755,6.369e-05,N4LO+,120.0,500
181,0.0,0.05288,0.0003382,LO,40.0,400
181,0.0,0.05802,0.0004696,NLO,30.0,400
181,0.0,0.05336,0.0005404,N4LO,30.0,500
181,0.0,0.005866,6.482e-05,N4LO,120.0,500
181,0.0,0.007856,0.0001043,N4LO,100.0,500
181,0.0,0.006369,6.485e-05,N4LO,120.0,450
181,0.0,0.05442,0.0005322,N4LO,30.0,450
181,0.0,0.006935,6.34e-05,N4LO+,120.0,400
181,0.0,0.02325,0.0001378,LO,100.0,450
181,0.0,0.01835,6.603e-05,LO,120.0,400
181,0.0,0.008296,0.000104,N3LO,100.0,450
181,0.0,0.06061,0.0003854,LO,30.0,450
181,0.0,0.006287,6.408e-05,N4LO+,120.0,450
181,0.0,0.05639,0.0005057,N2LO,30.0,400
181,0.0,0.0389,0.0004518,N4LO+,40.0,450
181,0.0,0.05565,0.0005238,N4LO,30.0,400
181,0.0,0.008453,0.0001033,N4LO+,100.0,450
181,0.0,0.05392,0.0005365,N3LO,30.0,450
181,0.0,0.03912,0.0004553,N2LO,40.0,450
181,0.0,0.009435,0.0001029,N4LO,100.0,400
181,0.0,0.05253,0.0005467,N4LO,30.0,550
181,0.0,0.04043,0.0004457,N4LO,40.0,400
181,0.0,0.05435,0.0005345,N2LO,30.0,450
181,0.0,0.01929,9.359e-05,LO,120.0,450
181,0.0,0.008548,0.0001046,N2LO,100.0,450
181,0.0,0.04034,0.0004449,N4LO+,40.0,400
181,0.0,0.05558,0.0005237,N4LO+,30.0,400
181,0.0,0.04,0.0004523,N4LO,40.0,500
181,0.0,0.05315,0.0005422,N4LO+,30.0,500
181,0.0,0.008571,0.0001042,N4LO,100.0,450
181,0.0,0.007122,0.0001023,N4LO+,100.0,550
181,0.0,0.04021,0.0004499,N4LO,40.0,450
181,0.0,0.05152,0.0003796,LO,40.0,450
181,0.0,0.05519,0.0005302,N3LO,30.0,400
181,0.0,0.03661,0.0004604,N4LO+,40.0,550
181,0.0,0.04244,0.0004195,NLO,40.0,450
181,0.0,0.007678,6.334e-05,N2LO,120.0,400
181,0.0,0.04167,0.0004352,N2LO,40.0,400
181,0.0,0.007344,0.0001041,N4LO,100.0,550
181,0.0,0.02275,0.0001022,LO,100.0,400
181,0.0,0.03763,0.000457,N4LO+,40.0,500
181,0.0,0.009146,0.000103,N3LO,100.0,400
181,0.0,0.006822,6.412e-05,N3LO,120.0,400
181,0.0,0.06273,0.0003578,LO,30.0,400
181,0.0,0.006991,6.403e-05,N4LO,120.0,400
181,0.0,0.01171,9.996e-05,NLO,100.0,400
181,0.0,0.006318,6.48e-05,N2LO,120.0,450
181,0.0,0.00769,0.000103,N4LO+,100.0,500
181,0.0,0.0104,0.0001021,N2LO,100.0,400
181,0.0,0.005513,6.462e-05,N4LO,120.0,550
181,0.0,0.006208,6.494e-05,N3LO,120.0,450
181,0.0,0.05698,0.0004826,NLO,30.0,450
181,0.0,0.008533,6.235e-05,NLO,120.0,400
181,0.0,0.03983,0.0004533,N4LO,40.0,550
181,0.0,0.0385,0.0004531,N3LO,40.0,450
181,0.0,0.05429,0.0005334,N4LO+,30.0,450
181,0.0,0.01063,0.000103,NLO,100.0,450
181,0.0,0.005369,6.301e-05,N4LO+,120.0,550
181,0.0,0.05221,0.000549,N4LO+,30.0,550
181,0.0,0.009363,0.0001021,N4LO+,100.0,400
181,0.0,0.04376,0.0004094,NLO,40.0,400
181,0.0,0.007653,6.471e-05,NLO,120.0,450
181,0.0,0.04034,0.0004449,N4LO+,40.0,400
181,0.0,0.03989,0.0004494,N3LO,40.0,400
180,0.74,0.006291,6.409e-05,N4LO+,120.0,450
180,0.74,0.005373,6.302e-05,N4LO+,120.0,550
180,0.74,0.01834,6.603e-05,LO,120.0,400
180,0.74,0.006938,6.341e-05,N4LO+,120.0,400
180,0.74,0.00587,6.483e-05,N4LO,120.0,500
180,0.74,0.006372,6.486e-05,N4LO,120.0,450
180,0.74,0.008535,6.236e-05,NLO,120.0,400
180,0.74,0.006321,6.481e-05,N2LO,120.0,450
180,0.74,0.006994,6.404e-05,N4LO,120.0,400
180,0.74,0.006825,6.413e-05,N3LO,120.0,400
180,0.74,0.007681,6.335e-05,N2LO,120.0,400
180,0.74,0.005759,6.37e-05,N4LO+,120.0,500
180,0.74,0.007656,6.472e-05,NLO,120.0,450
180,0.74,0.01929,9.359e-05,LO,120.0,450
180,0.74,0.005516,6.463e-05,N4LO,120.0,550
180,0.74,0.006212,6.495e-05,N3LO,120.0,450
180,0.75,0.02325,0.0001378,LO,100.0,450
180,0.75,0.02275,0.0001022,LO,100.0,400
180,0.75,0.009149,0.0001031,N3LO,100.0,400
180,0.75,0.01063,0.000103,NLO,100.0,450
180,0.75,0.009437,0.0001029,N4LO,100.0,400
180,0.75,0.007125,0.0001023,N4LO+,100.0,550
180,0.75,0.007347,0.0001042,N4LO,100.0,550
180,0.75,0.00786,0.0001043,N4LO,100.0,500
180,0.75,0.01171,9.997e-05,NLO,100.0,400
180,0.75,0.01041,0.0001021,N2LO,100.0,400
180,0.75,0.008574,0.0001042,N4LO,100.0,450
180,0.75,0.008551,0.0001046,N2LO,100.0,450
180,0.75,0.008456,0.0001033,N4LO+,100.0,450
180,0.75,0.008299,0.000104,N3LO,100.0,450
180,0.75,0.009366,0.0001021,N4LO+,100.0,400
180,0.75,0.007694,0.000103,N4LO+,100.0,500
180,0.83,0.03989,0.0004495,N3LO,40.0,400
180,0.83,0.04035,0.000445,N4LO+,40.0,400
180,0.83,0.04035,0.000445,N4LO+,40.0,400
180,0.83,0.04044,0.0004458,N4LO,40.0,400
180,0.83,0.03763,0.0004571,N4LO+,40.0,500
180,0.83,0.04377,0.0004095,NLO,40.0,400
180,0.83,0.03912,0.0004554,N2LO,40.0,450
180,0.83,0.04167,0.0004353,N2LO,40.0,400
180,0.83,0.05288,0.0003383,LO,40.0,400
180,0.83,0.03851,0.0004532,N3LO,40.0,450
180,0.83,0.0389,0.0004519,N4LO+,40.0,450
180,0.83,0.03983,0.0004534,N4LO,40.0,550
180,0.83,0.04245,0.0004196,NLO,40.0,450
180,0.83,0.04,0.0004524,N4LO,40.0,500
180,0.83,0.05153,0.0003797,LO,40.0,450
180,0.83,0.03661,0.0004605,N4LO+,40.0,550
180,0.83,0.04022,0.00045,N4LO,40.0,450
180,0.85,0.05444,0.0005324,N4LO,30.0,450
180,0.85,0.05437,0.0005347,N2LO,30.0,450
180,0.85,0.05316,0.0005424,N4LO+,30.0,500
180,0.85,0.05567,0.000524,N4LO,30.0,400
180,0.85,0.05223,0.0005493,N4LO+,30.0,550
180,0.85,0.057,0.0004829,NLO,30.0,450
180,0.85,0.06276,0.000358,LO,30.0,400
180,0.85,0.0556,0.0005239,N4LO+,30.0,400
180,0.85,0.0564,0.000506,N2LO,30.0,400
180,0.85,0.05394,0.0005367,N3LO,30.0,450
180,0.85,0.0543,0.0005336,N4LO+,30.0,450
180,0.85,0.05521,0.0005305,N3LO,30.0,400
180,0.85,0.05804,0.0004699,NLO,30.0,400
180,0.85,0.05338,0.0005406,N4LO,30.0,500
180,0.85,0.06064,0.0003857,LO,30.0,450
180,0.85,0.05255,0.0005469,N4LO,30.0,550
179,1.47,0.005881,6.486e-05,N4LO,120.0,500
179,1.47,0.007663,6.475e-05,NLO,120.0,450
179,1.47,0.005771,6.373e-05,N4LO+,120.0,500
179,1.47,0.008541,6.239e-05,NLO,120.0,400
179,1.47,0.006332,6.484e-05,N2LO,120.0,450
