I,SLANGE,CROSS,E1,E2,E3,Energy,FORCE,CUTOFF
1,0.5,3.562e-08,60.368,0.009,31.905,100.0,N3LO,450
1,0.5,3.416e-08,60.368,0.009,31.905,100.0,N3LO,400
1,0.5,2.725e-08,60.368,0.009,31.905,100.0,NLO,400
1,0.5,3.58e-08,60.368,0.009,31.905,100.0,N4LO+,500
1,0.5,2.912e-07,12.845,0.03,9.407,30.0,N4LO,400
1,0.5,2.633e-07,12.845,0.03,9.407,30.0,NLO,400
1,0.5,1.529e-07,12.845,0.03,9.407,30.0,LO,450
1,0.5,2.93e-07,12.845,0.03,9.407,30.0,N4LO+,400
1,0.5,3.404e-08,60.368,0.009,31.905,100.0,N2LO,450
1,0.5,3.573e-08,60.368,0.009,31.905,100.0,N4LO,500
1,0.5,2.98e-07,12.845,0.03,9.407,30.0,N3LO,400
1,0.5,3.45e-08,60.368,0.009,31.905,100.0,N4LO+,450
1,0.5,3.17e-07,12.845,0.03,9.407,30.0,N4LO,550
1,0.5,2.996e-07,12.845,0.03,9.407,30.0,N2LO,450
1,0.5,3.688e-08,60.368,0.009,31.905,100.0,N4LO+,550
1,0.5,3.674e-08,60.368,0.009,31.905,100.0,N4LO,550
1,0.5,2.723e-07,12.845,0.03,9.407,30.0,NLO,450
1,0.5,3.313e-08,60.368,0.009,31.905,100.0,N4LO+,400
1,0.5,3.442e-08,60.368,0.009,31.905,100.0,N4LO,450
1,0.5,3.031e-07,12.845,0.03,9.407,30.0,N4LO+,450
1,0.5,3.1e-07,12.845,0.03,9.407,30.0,N4LO,500
1,0.5,9.961e-09,60.368,0.009,31.905,100.0,LO,400
1,0.5,3.128e-07,12.845,0.03,9.407,30.0,N4LO+,500
1,0.5,3.072e-08,60.368,0.009,31.905,100.0,N2LO,400
1,0.5,3.01e-07,12.845,0.03,9.407,30.0,N4LO,450
1,0.5,3.211e-07,12.845,0.03,9.407,30.0,N4LO+,550
1,0.5,3.083e-07,12.845,0.03,9.407,30.0,N3LO,450
1,0.5,1.058e-08,60.368,0.009,31.905,100.0,LO,450
1,0.5,1.644e-07,12.845,0.03,9.407,30.0,LO,400
1,0.5,3.302e-08,60.368,0.009,31.905,100.0,N4LO,400
1,0.5,2.803e-07,12.845,0.03,9.407,30.0,N2LO,400
1,0.5,2.928e-08,60.368,0.009,31.905,100.0,NLO,450
1,0.501,1.527e-07,19.169,0.022,13.091,40.0,N2LO,400
1,0.501,1.619e-07,19.169,0.022,13.091,40.0,N4LO+,400
1,0.501,1.688e-07,19.169,0.022,13.091,40.0,N4LO+,450
1,0.501,1.619e-07,19.169,0.022,13.091,40.0,N4LO+,400
1,0.501,1.394e-07,19.169,0.022,13.091,40.0,NLO,400
1,0.501,1.608e-07,19.169,0.022,13.091,40.0,N4LO,450
1,0.501,1.813e-07,19.169,0.022,13.091,40.0,N4LO+,550
1,0.501,1.608e-07,19.169,0.022,13.091,40.0,N4LO,400
1,0.501,1.728e-07,19.169,0.022,13.091,40.0,N3LO,450
1,0.501,1.459e-07,19.169,0.022,13.091,40.0,NLO,450
1,0.501,1.659e-07,19.169,0.022,13.091,40.0,N3LO,400
1,0.501,1.756e-07,19.169,0.022,13.091,40.0,N4LO+,500
1,0.501,1.607e-07,19.169,0.022,13.091,40.0,N4LO,500
1,0.501,1.664e-07,19.169,0.022,13.091,40.0,N2LO,450
1,0.501,6.759e-08,19.169,0.022,13.091,40.0,LO,450
1,0.501,1.606e-07,19.169,0.022,13.091,40.0,N4LO,550
1,0.501,7.095e-08,19.169,0.022,13.091,40.0,LO,400
1,0.507,2.639e-08,75.05,0.008,37.225,120.0,N4LO+,550
1,0.507,7.683e-09,75.05,0.008,37.225,120.0,LO,450
1,0.507,1.914e-08,75.05,0.008,37.225,120.0,NLO,400
1,0.507,2.367e-08,75.05,0.008,37.225,120.0,N4LO,400
1,0.507,2.56e-08,75.05,0.008,37.225,120.0,N3LO,450
1,0.507,2.561e-08,75.05,0.008,37.225,120.0,N4LO+,500
1,0.507,2.374e-08,75.05,0.008,37.225,120.0,N4LO+,400
1,0.507,2.564e-08,75.05,0.008,37.225,120.0,N4LO,500
1,0.507,2.067e-08,75.05,0.008,37.225,120.0,NLO,450
1,0.507,7.027e-09,75.05,0.008,37.225,120.0,LO,400
1,0.507,2.432e-08,75.05,0.008,37.225,120.0,N2LO,450
1,0.507,2.638e-08,75.05,0.008,37.225,120.0,N4LO,550
1,0.507,2.47e-08,75.05,0.008,37.225,120.0,N4LO+,450
1,0.507,2.468e-08,75.05,0.008,37.225,120.0,N4LO,450
1,0.507,2.184e-08,75.05,0.008,37.225,120.0,N2LO,400
1,0.507,2.449e-08,75.05,0.008,37.225,120.0,N3LO,400
2,1.001,2.395e-07,18.672,0.081,13.528,40.0,LO,400
2,1.001,5.996e-07,18.672,0.081,13.528,40.0,N3LO,450
2,1.001,6.091e-07,18.672,0.081,13.528,40.0,N4LO+,500
2,1.001,9.109e-07,12.351,0.111,9.82,30.0,N4LO+,400
2,1.001,5.055e-07,18.672,0.081,13.528,40.0,NLO,450
2,1.001,9.848e-07,12.351,0.111,9.82,30.0,N4LO,550
2,1.001,8.156e-07,12.351,0.111,9.82,30.0,NLO,400
2,1.001,5.569e-07,18.672,0.081,13.528,40.0,N4LO,550
2,1.001,9.973e-07,12.351,0.111,9.82,30.0,N4LO+,550
2,1.001,5.289e-07,18.672,0.081,13.528,40.0,N2LO,400
2,1.001,9.302e-07,12.351,0.111,9.82,30.0,N2LO,450
2,1.001,8.699e-07,12.351,0.111,9.82,30.0,N2LO,400
2,1.001,5.769e-07,18.672,0.081,13.528,40.0,N2LO,450
2,1.001,9.354e-07,12.351,0.111,9.82,30.0,N4LO,450
2,1.001,5.857e-07,18.672,0.081,13.528,40.0,N4LO+,450
2,1.001,9.633e-07,12.351,0.111,9.82,30.0,N4LO,500
2,1.001,5.576e-07,18.672,0.081,13.528,40.0,N4LO,450
2,1.001,5.615e-07,18.672,0.081,13.528,40.0,N4LO+,400
2,1.001,9.42e-07,12.351,0.111,9.82,30.0,N4LO+,450
2,1.001,5.576e-07,18.672,0.081,13.528,40.0,N4LO,400
2,1.001,2.273e-07,18.672,0.081,13.528,40.0,LO,450
2,1.001,6.29e-07,18.672,0.081,13.528,40.0,N4LO+,550
2,1.001,5.615e-07,18.672,0.081,13.528,40.0,N4LO+,400
2,1.001,9.718e-07,12.351,0.111,9.82,30.0,N4LO+,500
2,1.001,8.438e-07,12.351,0.111,9.82,30.0,NLO,450
2,1.001,4.663e-07,12.351,0.111,9.82,30.0,LO,450
2,1.001,9.582e-07,12.351,0.111,9.82,30.0,N3LO,450
2,1.001,9.268e-07,12.351,0.111,9.82,30.0,N3LO,400
2,1.001,5.756e-07,18.672,0.081,13.528,40.0,N3LO,400
2,1.001,5.573e-07,18.672,0.081,13.528,40.0,N4LO,500
2,1.001,5.018e-07,12.351,0.111,9.82,30.0,LO,400
2,1.001,9.057e-07,12.351,0.111,9.82,30.0,N4LO,400
2,1.001,4.824e-07,18.672,0.081,13.528,40.0,NLO,400
2,1.003,1.091e-07,59.866,0.034,32.382,100.0,NLO,450
2,1.003,1.284e-07,59.866,0.034,32.382,100.0,N4LO+,450
2,1.003,1.271e-07,59.866,0.034,32.382,100.0,N3LO,400
2,1.003,3.694e-08,59.866,0.034,32.382,100.0,LO,400
2,1.003,1.014e-07,59.866,0.034,32.382,100.0,NLO,400
2,1.003,1.366e-07,59.866,0.034,32.382,100.0,N4LO,550
2,1.003,3.93e-08,59.866,0.034,32.382,100.0,LO,450
2,1.003,1.229e-07,59.866,0.034,32.382,100.0,N4LO,400
2,1.003,1.267e-07,59.866,0.034,32.382,100.0,N2LO,450
2,1.003,1.281e-07,59.866,0.034,32.382,100.0,N4LO,450
2,1.003,1.329e-07,59.866,0.034,32.382,100.0,N4LO,500
2,1.003,1.233e-07,59.866,0.034,32.382,100.0,N4LO+,400
2,1.003,1.325e-07,59.866,0.034,32.382,100.0,N3LO,450
2,1.003,1.143e-07,59.866,0.034,32.382,100.0,N2LO,400
2,1.003,1.332e-07,59.866,0.034,32.382,100.0,N4LO+,500
