I,E1,CROSS,AX,AY,AZ,FORCE,CUTOFF,Energy,angle
1,0.12,0.00020863,6.0525e-15,1.0841e-16,-1.9125e-16,N4LO,400,30.0,180
1,0.12,0.00011091,-0.027423,6.0368e-17,-5.6889e-18,NLO,400,40.0,120
1,0.12,2.7709e-05,-0.017356,5.3315e-17,-1.2902e-18,NLO,450,100.0,120
1,0.12,3.1456e-05,1.7871e-15,7.3097e-17,-2.9738e-17,N3LO,450,100.0,180
1,0.12,0.00011418,5.1651e-15,1.0676e-16,-1.2007e-16,NLO,450,40.0,0
1,0.12,2.9516e-05,1.9799e-15,7.514e-17,-2.6335e-17,N4LO,400,100.0,180
1,0.12,0.00011107,5.0582e-15,1.099e-16,-1.6086e-16,N4LO+,400,40.0,180
1,0.12,3.3664e-05,-0.022084,4.7249e-17,1.4628e-19,N4LO,550,100.0,120
1,0.12,2.3488e-05,1.4817e-15,7.0524e-17,-1.5482e-17,N4LO,450,120.0,180
1,0.12,3.0446e-05,1.81e-15,7.1311e-17,-2.7053e-17,N4LO,450,100.0,180
1,0.12,0.00021279,6.0142e-15,1.3331e-16,-1.8648e-16,N4LO,500,30.0,180
1,0.12,0.00011496,5.0902e-15,1.1702e-16,-1.6149e-16,N4LO+,500,40.0,180
1,0.12,2.4173e-05,1.332e-15,6.9236e-17,-1.6023e-17,N4LO+,500,120.0,180
1,0.12,2.6274e-05,-0.018193,4.8057e-17,3.8082e-18,N4LO+,500,120.0,60
1,0.12,3.3995e-05,-0.01617,2.6677e-17,-2.8938e-18,N4LO,500,100.0,60
1,0.12,0.00011947,-0.031501,5.6373e-17,-9.3572e-18,N3LO,450,40.0,120
1,0.12,0.00020873,6.0736e-15,1.065e-16,-1.833e-16,NLO,450,30.0,180
1,0.12,0.0001167,-0.018352,4.4774e-17,-3.5647e-18,N4LO,550,40.0,60
1,0.12,2.4326e-05,1.5038e-15,7.1618e-17,-1.1366e-17,N3LO,450,120.0,180
1,0.12,3.2945e-05,1.8949e-15,6.4881e-17,-1.9255e-17,N4LO+,450,100.0,0
1,0.12,2.0123e-05,1.7615e-15,9.668e-17,-1.8985e-17,NLO,400,120.0,0
1,0.12,0.0001168,4.9144e-15,1.4088e-16,-1.2766e-16,N4LO,400,40.0,0
1,0.12,0.00021874,-0.03554,8.3005e-17,-1.1564e-17,N3LO,400,30.0,120
1,0.12,3.3921e-05,1.835e-15,5.6864e-17,-1.9744e-17,N4LO,500,100.0,0
1,0.12,0.00022023,5.918e-15,8.8615e-17,-1.3148e-16,N4LO,500,30.0,0
1,0.12,3.4721e-05,1.6981e-15,5.2438e-17,-2.0363e-17,N4LO+,550,100.0,0
1,0.12,0.00011537,-0.029568,4.748e-17,-3.6074e-18,N4LO,400,40.0,120
1,0.12,0.00017171,6.5856e-15,4.4269e-17,-9.4367e-17,LO,400,30.0,0
1,0.12,0.00020631,6.1391e-15,1.2402e-16,-1.8271e-16,N2LO,400,30.0,180
1,0.12,0.00012454,-0.019614,4.18e-17,-7.3925e-18,N4LO+,550,40.0,60
1,0.12,3.1572e-05,-0.020096,3.9399e-17,4.5597e-18,N2LO,450,100.0,120
1,0.12,2.0891e-05,-0.01568,4.5674e-17,-6.826500000000001e-19,NLO,450,120.0,120
1,0.12,2.4868e-05,1.3753e-15,6.5487e-17,-1.1638e-17,N4LO,550,120.0,180
1,0.12,0.00022359,-0.02923,9.0424e-17,9.375100000000001e-19,N3LO,450,30.0,60
1,0.12,0.00021621,6.0228e-15,1.0786e-16,-1.1465e-16,N3LO,400,30.0,0
1,0.12,3.0194e-05,1.804e-15,7.1168e-17,-2.8299e-17,N2LO,450,100.0,180
1,0.12,2.9579e-05,1.9396e-15,7.2964e-17,-2.8905e-17,N4LO+,400,100.0,180
1,0.12,0.00010672,5.3962e-15,1.0505e-16,-1.6992e-16,NLO,400,40.0,180
1,0.12,0.0001597,6.4019e-15,5.3761e-17,-9.0753e-17,LO,450,30.0,0
1,0.12,2.5429e-05,-0.019043,4.7046e-17,-1.0786e-18,N4LO,500,120.0,120
1,0.12,3.1893e-05,-0.014053,3.2386e-17,-3.487e-18,N4LO,400,100.0,60
1,0.12,3.1977e-05,1.9901e-15,5.8783e-17,-2.6555e-17,N4LO+,400,100.0,0
1,0.12,0.00011488,-0.018159,4.3465e-17,-9.3479e-18,N2LO,400,40.0,60
1,0.12,0.00011018,5.0411e-15,1.0165e-16,-1.6276e-16,N4LO,500,40.0,180
1,0.12,3.1908e-05,1.9089e-15,6.1529e-17,-1.8284e-17,N4LO,400,100.0,0
1,0.12,1.4368e-05,3.4336e-15,6.8828e-17,-7.5177e-17,LO,450,100.0,0
1,0.12,3.2561e-05,1.9113e-15,6.8344e-17,-2.1513e-17,N2LO,450,100.0,0
1,0.12,0.00021422,6.0318e-15,1.3036e-16,-1.8387e-16,N4LO,550,30.0,180
1,0.12,2.5333e-05,2.116e-15,7.2018e-17,-3.5943e-17,NLO,400,100.0,180
1,0.12,0.0001166,4.8612e-15,1.2134e-16,-1.6241e-16,N4LO+,550,40.0,180
1,0.12,2.6107e-05,-0.020112,4.7803e-17,-4.3554e-18,N4LO,550,120.0,120
1,0.12,0.00011196,5.1278e-15,1.0012e-16,-1.5867e-16,N3LO,400,40.0,180
1,0.12,0.0002221,-0.029011,8.316e-17,-3.5841e-18,N2LO,450,30.0,60
1,0.12,1.0826e-05,3.0912e-15,1.1832e-16,-4.2e-17,LO,450,120.0,0
1,0.12,0.00011323,-0.028946,6.296e-17,-1.4908e-19,N2LO,400,40.0,120
1,0.12,0.00022352,-0.037216,8.0086e-17,-1.4436e-17,N4LO+,500,30.0,120
1,0.12,1.8843e-05,1.635e-15,7.4139e-17,-1.4289e-17,NLO,400,120.0,180
1,0.12,2.6373e-05,-0.018192,5.2827e-17,2.2708e-18,N4LO,500,120.0,60
1,0.12,0.00022782,-0.030101,8.2594e-17,-2.9251e-18,N4LO+,550,30.0,60
1,0.12,1.368e-05,3.3683e-15,7.551e-17,-8.1889e-17,LO,450,100.0,180
1,0.12,3.2959e-05,-0.014502,2.2373e-17,-3.6412e-18,N3LO,400,100.0,60
1,0.12,3.1856e-05,-0.019783,5.0033e-17,-4.5956e-18,N4LO,450,100.0,120
