I,E1,CROSS,AX,AY,AZ,FORCE,CUTOFF,Energy,angle
1,0.12,3.279e-05,-0.026604,5.6282e-17,-4.1176000000000002e-19,N4LO+,450,100.0,90
1,0.12,0.00021314,-0.0014377,5.3814e-17,2.8507e-17,N4LO,500,30.0,170
1,0.12,1.4366e-05,-0.0001662,4.2244e-17,-3.1025e-18,LO,450,100.0,10
1,0.12,3.0066e-05,-0.0090188,5.9489e-17,2.9157e-18,N2LO,400,100.0,50
1,0.12,2.7418e-05,-0.013194,3.7992e-17,-8.0954e-18,NLO,450,100.0,130
1,0.12,0.00022196,-0.029259,6.8927e-17,5.3701e-18,N4LO,550,30.0,130
1,0.12,0.00021805,-0.028044,6.6912e-17,8.7126e-18,N4LO,450,30.0,130
1,0.12,0.00020978,-0.0013852,4.3156e-17,2.5012e-17,N3LO,400,30.0,170
1,0.12,1.4336e-05,-0.0048678,6.852e-17,-5.2909e-18,LO,450,100.0,50
1,0.12,1.4256e-05,-0.0080156,5.3181e-17,-1.4922e-17,LO,400,100.0,130
1,0.12,3.0492e-05,-0.00070162,2.3402e-17,-1.2365e-18,N4LO,450,100.0,170
1,0.12,3.2915e-05,-0.0098085,5.3736e-17,-2.8993e-18,N4LO,450,100.0,50
1,0.12,2.9622e-05,-0.00065848,2.7692e-17,-3.4914e-18,N4LO+,400,100.0,170
1,0.12,0.00021555,-0.027287,5.7956e-17,7.6101e-18,N4LO,400,30.0,130
1,0.12,3.121e-05,-0.01528,3.4045e-17,-5.4803e-18,N2LO,450,100.0,130
1,0.12,0.00015988,-0.0011858,6.7961e-17,1.6577e-17,LO,450,30.0,10
1,0.12,2.6085e-05,-0.012798,3.7483e-17,-8.1258e-18,NLO,400,100.0,130
1,0.12,1.3935e-05,-0.0075134,4.6175e-17,-1.1417e-17,LO,450,100.0,130
1,0.12,3.2773e-05,-0.026561,5.204e-17,-5.2948e-18,N4LO,450,100.0,90
1,0.12,0.00021297,-0.026827,8.0886e-17,8.088300000000001e-19,N2LO,400,30.0,130
1,0.12,0.00021539,-0.026565,7.0896e-17,5.1804e-18,NLO,450,30.0,130
1,0.12,0.00022095,-0.021525,6.8119e-17,-2.8608e-17,N2LO,450,30.0,50
1,0.12,3.2152e-05,-0.0007861,2.0755e-17,-3.0778e-18,N4LO+,550,100.0,170
1,0.12,3.19e-05,-0.00020964,4.0425e-17,9.153500000000001e-19,N4LO,400,100.0,10
1,0.12,1.3997e-05,-0.0003803,4.2608e-17,-2.5804e-18,LO,400,100.0,170
1,0.12,0.00021262,-0.0016813,7.2883e-17,2.2451e-17,N2LO,400,30.0,10
1,0.12,0.00015722,-0.001131,5.4027e-17,2.0409e-17,LO,450,30.0,170
1,0.12,0.00021496,-0.0016376,6.1831e-17,2.4027e-17,NLO,450,30.0,10
1,0.12,3.4692e-05,-0.029828,5.5992e-17,-4.984e-18,N4LO+,550,100.0,90
1,0.12,0.00021116,-0.001407,5.0259e-17,2.4536e-17,N4LO,450,30.0,170
1,0.12,3.0548e-05,-0.014131,3.7218e-17,-2.0333e-18,N4LO+,400,100.0,130
1,0.12,0.00022445,-0.04704,5.3317e-17,-1.9072e-17,N2LO,450,30.0,90
1,0.12,0.0002229,-0.04623,8.2092e-17,-1.3632e-17,N3LO,400,30.0,90
1,0.12,2.8829e-05,-0.014005,3.3092e-17,-7.3981e-18,N2LO,400,100.0,130
1,0.12,0.00021545,-0.0017191,5.9364e-17,2.3977e-17,N4LO,400,30.0,10
1,0.12,3.1505e-05,-0.00072394,2.727e-17,-2.7181e-18,N3LO,450,100.0,170
1,0.12,0.00022109,-0.02885,6.1909e-17,3.2432e-18,N4LO+,500,30.0,130
1,0.12,3.2954e-05,-0.00021581,4.038e-17,2.9763e-18,N3LO,400,100.0,10
1,0.12,0.00020896,-0.0013725,4.3242e-17,1.9998e-17,N4LO,400,30.0,170
1,0.12,0.0002191,-0.021175,8.1362e-17,-2.7491e-17,N4LO+,400,30.0,50
1,0.12,3.1869e-05,-0.009081,5.2038e-17,-3.0625e-18,N4LO,400,100.0,50
