 #   q  dGamma/dq   dGamma/dE1 
   2.7679981925370382E-006   6.5384753238634558E-011   6.0621103783693280E-008
   2.4911983732833341E-005   5.8720911397159599E-010   1.8147586849431326E-007
   6.9199954813425955E-005   1.6241826441323204E-009   3.0117034861099957E-007
   1.3563191143431489E-004   3.1630092950336233E-009   4.1893802289089839E-007
   2.2420785359550006E-004   5.1838866928473706E-009   5.3402346647165917E-007
   3.3492778129698159E-004   7.6606918914041551E-009   6.4568791958520990E-007
   4.6779169453875936E-004   1.0561252555788615E-008   7.5321580874177947E-007
   6.2279959332083360E-004   1.3847713754977146E-008   8.5592196052552515E-007
   7.9995147764320388E-004   1.7477030211190124E-008   9.5316056544516328E-007
   9.9924734750587085E-004   2.1401616633868439E-008   1.0443361944718017E-006
   1.2206872029088339E-003   2.5570178130796601E-008   1.1289164707697708E-006
   1.4642710438520930E-003   2.9928743760855554E-008   1.2064463188553617E-006
   1.7299988703356488E-003   3.4421923964825088E-008   1.2765636768500176E-006
   2.0178706823595007E-003   3.8994405153372056E-008   1.3390163691744098E-006
   2.3278864799236489E-003   4.3592693886815401E-008   1.3936799770105754E-006
   2.6600462630280929E-003   4.8167108345572547E-008   1.4405761871063000E-006
   3.0143500316728348E-003   5.2674014902407955E-008   1.4798913544914868E-006
   3.3907977858578715E-003   5.7078127759219196E-008   1.5119903714040275E-006
   3.7893895255832052E-003   6.1349148375985441E-008   1.5372842049518518E-006
   4.2101252508488342E-003   6.5458041993225572E-008   1.5561295650661958E-006
   4.6530049616547598E-003   6.9380717279221059E-008   1.5689253468395777E-006
   5.1180286580009837E-003   7.3098295723867020E-008   1.5761086285576801E-006
   5.6051963398875025E-003   7.6596945615459850E-008   1.5781427659346170E-006
   6.1145080073143170E-003   7.9867545316874696E-008   1.5755051587965511E-006
   6.6459636602814297E-003   8.2905181245101843E-008   1.5686748860500377E-006
   7.1995632987888348E-003   8.5708487419815742E-008   1.5581203699053813E-006
   7.7753069228365399E-003   8.8278835396844044E-008   1.5442872158457745E-006
   8.3731945324245390E-003   9.0619386754731512E-008   1.5275863887282715E-006
   8.9932261275528381E-003   9.2734014717597101E-008   1.5083827495381461E-006
   9.6354017082214312E-003   9.4626104727892333E-008   1.4869840214319706E-006
   1.0299721274430318E-002   9.6297243375290441E-008   1.4636302295102233E-006
   1.0986184826179505E-002   9.7745805615016251E-008   1.4384836552305304E-006
   1.1694792363468985E-002   9.8965452647497487E-008   1.4116193710853833E-006
   1.2425543886298764E-002   9.9943558156466093E-008   1.3830164791874650E-006
   1.3178439394668836E-002   1.0066004555710471E-007   1.3525563962696533E-006
   1.3953478888579209E-002   1.0110437375822457E-007   1.3202584185728357E-006
   1.4750662368029877E-002   1.0128708353363741E-007   1.2864074801714788E-006
   1.5569989833020839E-002   1.0122194695851463E-007   1.2512980672755905E-006
   1.6411461283552097E-002   1.0092423124823873E-007   1.2152120728627344E-006
   1.7275076719623653E-002   1.0041033806889137E-007   1.1784161577044291E-006
   1.8160836141235506E-002   9.9697437745616587E-008   1.1411594439515222E-006
   1.9068739548387656E-002   9.8803086784191899E-008   1.1036713557787310E-006
   1.9998786941080097E-002   9.7744855606722880E-008   1.0661598762907385E-006
   2.0950978319312842E-002   9.6539945779833167E-008   1.0288099328783272E-006
   2.1925313683085874E-002   9.5204816753352962E-008   9.9178209935351994E-007
   2.2921793032399211E-002   9.3754831438042351E-008   9.5521166117133955E-007
   2.3940416367252845E-002   9.2203908738905281E-008   9.1920787061044774E-007
   2.4981183687646766E-002   9.0564160040980699E-008   8.8385313942180766E-007
   2.6044094993580992E-002   8.8845579416769018E-008   8.4920284483740801E-007
   2.7129150285055512E-002   8.7055768698951710E-008   8.1528548560984225E-007
   2.8236349562070325E-002   8.5199621895327375E-008   7.8210244628843354E-007
   2.9365692824625436E-002   8.3279189104857026E-008   7.4962940471986051E-007
   3.0517180072720848E-002   8.1300538627971433E-008   7.1787937236956288E-007
   3.1690811306356551E-002   7.9278410867106684E-008   6.8693953078291369E-007
