 #   q  dGamma/dq   dGamma/dE1 
   2.7679981925370382E-006   5.3399268938871788E-011   4.9508829872037266E-008
   2.4911983732833341E-005   4.7954806853871229E-010   1.4820342558075970E-007
   6.9199954813425955E-005   1.3262798400004880E-009   2.4593056896139698E-007
   1.3563191143431489E-004   2.5825091433072979E-009   3.4205124730223919E-007
   2.2420785359550006E-004   4.2317282786101860E-009   4.3593587946813082E-007
   3.3492778129698159E-004   6.2521650742132847E-009   5.2696904103424779E-007
   4.6779169453875936E-004   8.6170129024655089E-009   6.1455497896520660E-007
   6.2279959332083360E-004   1.1294740329709346E-008   6.9812363670189789E-007
   7.9995147764320388E-004   1.4249506363382769E-008   7.7713818529306542E-007
   9.9924734750587085E-004   1.7441709666079418E-008   8.5110433521782854E-007
   1.2206872029088339E-003   2.0828689739305491E-008   9.1958103658790405E-007
   1.4642710438520930E-003   2.4365599158574804E-008   9.8219249182169996E-007
   1.7299988703356488E-003   2.8006463918559197E-008   1.0386413784417570E-006
   2.0178706823595007E-003   3.1705442144427482E-008   1.0887230067062420E-006
   2.3278864799236489E-003   3.5418291142237435E-008   1.1323402796126988E-006
   2.6600462630280929E-003   3.9104039164353588E-008   1.1695189845254205E-006
   3.0143500316728348E-003   4.2726858991188628E-008   1.2004231942977700E-006
   3.3907977858578715E-003   4.6257988917944017E-008   1.2253666437604670E-006
   3.7893895255832052E-003   4.9672889088389342E-008   1.2447010240780630E-006
   4.2101252508488342E-003   5.2948100266337179E-008   1.2587315741443015E-006
   4.6530049616547598E-003   5.6064328855621878E-008   1.2677981728141949E-006
   5.1180286580009837E-003   5.9006660497832449E-008   1.2722718885857963E-006
   5.6051963398875025E-003   6.1764407407925301E-008   1.2725449031923595E-006
   6.1145080073143170E-003   6.4330812935660971E-008   1.2690201914631203E-006
   6.6459636602814297E-003   6.6702618596637729E-008   1.2621011263093015E-006
   7.1995632987888348E-003   6.8879499971433157E-008   1.2521811457096632E-006
   7.7753069228365399E-003   7.0863379564841250E-008   1.2396336068738315E-006
   8.3731945324245390E-003   7.2657627847065636E-008   1.2248019691069749E-006
   8.9932261275528381E-003   7.4266158182861736E-008   1.2079903174540631E-006
   9.6354017082214312E-003   7.5692424429397321E-008   1.1894542842445051E-006
   1.0299721274430318E-002   7.6938329509602681E-008   1.1693924034711062E-006
   1.0986184826179505E-002   7.8003053620262740E-008   1.1479379292524945E-006
   1.1694792363468985E-002   7.8881812778630759E-008   1.1251511710987097E-006
   1.2425543886298764E-002   7.9564562982446104E-008   1.1010124493646785E-006
   1.3178439394668836E-002   8.0035052494710723E-008   1.0754209535508988E-006
   1.3953478888579209E-002   8.0284971763082421E-008   1.0483909440808876E-006
   1.4750662368029877E-002   8.0323530040207318E-008   1.0201576180558669E-006
   1.5569989833020839E-002   8.0162577595301573E-008   9.9096373293373742E-007
   1.6411461283552097E-002   7.9815156809884663E-008   9.6104117864654816E-007
   1.7275076719623653E-002   7.9295198941250023E-008   9.3060879445147625E-007
   1.8160836141235506E-002   7.8617217994972560E-008   8.9987047612066631E-007
   1.9068739548387656E-002   7.7795991724111405E-008   8.6901341299023489E-007
   1.9998786941080097E-002   7.6846251520233961E-008   8.3820667088472796E-007
   2.0950978319312842E-002   7.5782366997842016E-008   8.0759991394875367E-007
   2.1925313683085874E-002   7.4618036857730734E-008   7.7732236422578042E-007
   2.2921793032399211E-002   7.3365998001189303E-008   7.4748208438219467E-007
   2.3940416367252845E-002   7.2037744704465706E-008   7.1816545327682561E-007
   2.4981183687646766E-002   7.0643227666460170E-008   6.8943651134882416E-007
   2.6044094993580992E-002   6.9190605380541328E-008   6.6133688711233944E-007
   2.7129150285055512E-002   6.7686027224394427E-008   6.3388602960329627E-007
   2.8236349562070325E-002   6.6133374833751081E-008   6.0708103026949358E-007
   2.9365692824625436E-002   6.4534156869583344E-008   5.8089784636750773E-007
   3.0517180072720848E-002   6.2893190747287466E-008   5.5534348310514355E-007
   3.1690811306356551E-002   6.1222438179368840E-008   5.3048632655893745E-007
   3.2886586525532543E-002   5.9533758420853982E-008   5.0638887214961101E-007
   3.4104505730248841E-002   5.7838126287583546E-008   4.8310172371095274E-007
   3.5344568920505443E-002   5.6145522932085436E-008   4.6066374967865311E-007
   3.6606776096302328E-002   5.4464840528923338E-008   4.3910233512110153E-007
   3.7891127257639504E-002   5.2803800440347379E-008   4.1843371474296939E-007
   3.9197622404517005E-002   5.1168854798414493E-008   3.9866314310417877E-007
   4.0526261536934775E-002   4.9565090617763525E-008   3.7978506734841402E-007
   4.1877044654892844E-002   4.7996150499501831E-008   3.6178340813986709E-007
   4.3249971758391223E-002   4.6464187582532326E-008   3.4463206764862074E-007
   4.4645042847429886E-002   4.4969835010067855E-008   3.2829549550334738E-007
   4.6062257922008847E-002   4.3512194897892692E-008   3.1272934225952768E-007
   4.7501616982128098E-002   4.2088815760174719E-008   2.9788097131701907E-007
   4.8963120027787667E-002   4.0695677361176353E-008   2.8368997641558813E-007
   5.0446767058987520E-002   3.9327209624020186E-008   2.7008888702569495E-007
   5.1952558075727663E-002   3.7976385702307358E-008   2.5700431384861829E-007
   5.3480493078008118E-002   3.6639880705416844E-008   2.4439178385707737E-007
   5.5030572065828856E-002   3.5322197784973480E-008   2.3226082054341806E-007
   5.6602795039189878E-002   3.4028227690865001E-008   2.2062292762093902E-007
   5.8197161998091239E-002   3.2762430142773403E-008   2.0948621806555053E-007
   5.9813672942532863E-002   3.1528839994059876E-008   1.9885568365444723E-007
   6.1452327872514777E-002   3.0331041436108980E-008   1.8873324393047658E-007
   6.3113126788036988E-002   2.9172124158923367E-008   1.7911768048615915E-007
   6.4796069689099525E-002   2.8054701046063176E-008   1.7000494928568965E-007
   6.6501156575702339E-002   2.6980920975075076E-008   1.6138843953028267E-007
   6.8228387447845443E-002   2.5952469453844459E-008   1.5325914090416054E-007
   6.9977762305528865E-002   2.4970556701877162E-008   1.4560572498837587E-007
   7.1749281148752564E-002   2.4035927392394555E-008   1.3841474534379290E-007
   7.3542943977516553E-002   2.3148930732994829E-008   1.3167116606992311E-007
   7.5358750791820847E-002   2.2309560981099120E-008   1.2535868579450137E-007
   7.7196701591665459E-002   2.1517474200251435E-008   1.1945990647723635E-007
   7.9056796377050348E-002   2.0772014631151407E-008   1.1395654297450897E-007
