 #     E1  dGamma/dq   dGamma/dE1 
  0.2784088E-05  0.1366451E-08  0.1263231E-05
  0.2505679E-04  0.1226808E-07  0.3780455E-05
  0.6960220E-04  0.3391177E-07  0.6270025E-05
  0.1364203E-03  0.6597996E-07  0.8713703E-05
  0.2255111E-03  0.1080003E-06  0.1109357E-04
  0.3368746E-03  0.1593509E-06  0.1339216E-04
  0.4705109E-03  0.2192679E-06  0.1559267E-04
  0.6264198E-03  0.2868555E-06  0.1767912E-04
  0.8046014E-03  0.3610998E-06  0.1963664E-04
  0.1005056E-02  0.4408863E-06  0.2145170E-04
  0.1227783E-02  0.5250212E-06  0.2311247E-04
  0.1472783E-02  0.6122587E-06  0.2460911E-04
  0.1740055E-02  0.7013324E-06  0.2593419E-04
  0.2029600E-02  0.7909930E-06  0.2708305E-04
  0.2341418E-02  0.8800502E-06  0.2805422E-04
  0.2675509E-02  0.9674214E-06  0.2884980E-04
  0.3031872E-02  0.1052184E-05  0.2947585E-04
  0.3410508E-02  0.1133626E-05  0.2994267E-04
  0.3811416E-02  0.1211167E-05  0.3026154E-04
  0.4234598E-02  0.1284264E-05  0.3044236E-04
  0.4680052E-02  0.1352498E-05  0.3049590E-04
  0.5147779E-02  0.1415578E-05  0.3043365E-04
  0.5637778E-02  0.1473334E-05  0.3026756E-04
  0.6150050E-02  0.1525706E-05  0.3000970E-04
  0.6684595E-02  0.1572727E-05  0.2967194E-04
  0.7241413E-02  0.1614508E-05  0.2926569E-04
  0.7820503E-02  0.1651215E-05  0.2880159E-04
  0.8421866E-02  0.1683042E-05  0.2828922E-04
  0.9045502E-02  0.1710190E-05  0.2773693E-04
  0.9691410E-02  0.1732835E-05  0.2715152E-04
  0.1035959E-01  0.1751098E-05  0.2653807E-04
  0.1105005E-01  0.1765013E-05  0.2589979E-04
  0.1176277E-01  0.1774498E-05  0.2523776E-04
  0.1249777E-01  0.1779317E-05  0.2455089E-04
  0.1325504E-01  0.1779063E-05  0.2383588E-04
  0.1403459E-01  0.1773557E-05  0.2309274E-04
  0.1483640E-01  0.1763101E-05  0.2232766E-04
  0.1566049E-01  0.1748067E-05  0.2154694E-04
  0.1650686E-01  0.1728849E-05  0.2075655E-04
  0.1737549E-01  0.1705856E-05  0.1996200E-04
  0.1826640E-01  0.1679508E-05  0.1916840E-04
  0.1917958E-01  0.1650223E-05  0.1838033E-04
  0.2011504E-01  0.1618412E-05  0.1760187E-04
  0.2107276E-01  0.1584471E-05  0.1683658E-04
  0.2205276E-01  0.1548776E-05  0.1608745E-04
