 #     E1  dGamma/dq   dGamma/dE1 
  0.2784088E-05  0.2473699E-10  0.2286839E-07
  0.2505679E-04  0.2222963E-09  0.6850145E-07
  0.6960220E-04  0.6156251E-09  0.1138243E-06
  0.1364203E-03  0.1201173E-08  0.1586341E-06
  0.2255111E-03  0.1973700E-08  0.2027343E-06
  0.3368746E-03  0.2926380E-08  0.2459387E-06
  0.4705109E-03  0.4050966E-08  0.2880740E-06
  0.6264198E-03  0.5337989E-08  0.3289843E-06
  0.8046014E-03  0.6777024E-08  0.3685351E-06
  0.1005056E-02  0.8356991E-08  0.4066166E-06
  0.1227783E-02  0.1006651E-07  0.4431476E-06
  0.1472783E-02  0.1189428E-07  0.4780782E-06
  0.1740055E-02  0.1382946E-07  0.5113922E-06
  0.2029600E-02  0.1586209E-07  0.5431069E-06
  0.2341418E-02  0.1798334E-07  0.5732724E-06
  0.2675509E-02  0.2018579E-07  0.6019671E-06
  0.3031872E-02  0.2246349E-07  0.6292917E-06
  0.3410508E-02  0.2481180E-07  0.6553586E-06
  0.3811416E-02  0.2722644E-07  0.6802646E-06
  0.4234598E-02  0.2970278E-07  0.7040788E-06
  0.4680052E-02  0.3223624E-07  0.7268576E-06
  0.5147779E-02  0.3482208E-07  0.7486435E-06
  0.5637778E-02  0.3745527E-07  0.7694655E-06
  0.6150050E-02  0.4013036E-07  0.7893398E-06
  0.6684595E-02  0.4284158E-07  0.8082732E-06
  0.7241413E-02  0.4558290E-07  0.8262673E-06
  0.7820503E-02  0.4834831E-07  0.8433235E-06
  0.8421866E-02  0.5113217E-07  0.8594494E-06
  0.9045502E-02  0.5392965E-07  0.8746646E-06
  0.9691410E-02  0.5673724E-07  0.8890066E-06
  0.1035959E-01  0.5955327E-07  0.9025361E-06
  0.1105005E-01  0.6237849E-07  0.9153414E-06
  0.1176277E-01  0.6521660E-07  0.9275420E-06
  0.1249777E-01  0.6807488E-07  0.9392925E-06
  0.1325504E-01  0.7096485E-07  0.9507864E-06
  0.1403459E-01  0.7389794E-07  0.9621942E-06
  0.1483640E-01  0.7688158E-07  0.9736171E-06
  0.1566049E-01  0.7992326E-07  0.9851463E-06
  0.1650686E-01  0.8303086E-07  0.9968678E-06
  0.1737549E-01  0.8621240E-07  0.1008861E-05
  0.1826640E-01  0.8947593E-07  0.1021198E-05
  0.1917958E-01  0.9282931E-07  0.1033941E-05
  0.2011504E-01  0.9627990E-07  0.1047142E-05
  0.2107276E-01  0.9983433E-07  0.1060839E-05
  0.2205276E-01  0.1034981E-06  0.1075056E-05
  0.2305503E-01  0.1072751E-06  0.1089799E-05
  0.2407958E-01  0.1111674E-06  0.1105054E-05
  0.2512639E-01  0.1151744E-06  0.1120782E-05
  0.2619548E-01  0.1192925E-06  0.1136920E-05
  0.2728685E-01  0.1235142E-06  0.1153375E-05
  0.2840048E-01  0.1278278E-06  0.1170018E-05
  0.2953639E-01  0.1322166E-06  0.1186691E-05
  0.3069457E-01  0.1366664E-06  0.1203265E-05
  0.3187502E-01  0.1411719E-06  0.1219701E-05
  0.3307775E-01  0.1457283E-06  0.1235965E-05
  0.3430275E-01  0.1503308E-06  0.1252027E-05
  0.3555002E-01  0.1549748E-06  0.1267860E-05
  0.3681956E-01  0.1596562E-06  0.1283443E-05
  0.3811138E-01  0.1643712E-06  0.1298759E-05
  0.3942547E-01  0.1691170E-06  0.1313800E-05
  0.4076183E-01  0.1738918E-06  0.1328564E-05
  0.4212047E-01  0.1786950E-06  0.1343062E-05
  0.4350137E-01  0.1835273E-06  0.1357311E-05
  0.4490456E-01  0.1883911E-06  0.1371341E-05
  0.4633001E-01  0.1932903E-06  0.1385189E-05
  0.4777773E-01  0.1982307E-06  0.1398906E-05
  0.4924773E-01  0.2032204E-06  0.1412552E-05
  0.5074000E-01  0.2082697E-06  0.1426202E-05
