 #     E1  dGamma/dq   dGamma/dE1 
  0.2784088E-05  0.1250314E-08  0.1155867E-05
  0.2505679E-04  0.1122426E-07  0.3458798E-05
  0.6960220E-04  0.3102011E-07  0.5735378E-05
  0.1364203E-03  0.6033532E-07  0.7968239E-05
  0.2255111E-03  0.9872007E-07  0.1014032E-04
  0.3368746E-03  0.1455824E-06  0.1223503E-04
  0.4705109E-03  0.2001958E-06  0.1423640E-04
  0.6264198E-03  0.2617090E-06  0.1612932E-04
  0.8046014E-03  0.3291599E-06  0.1789974E-04
  0.1005056E-02  0.4014924E-06  0.1953496E-04
  0.1227783E-02  0.4775784E-06  0.2102394E-04
  0.1472783E-02  0.5562437E-06  0.2235764E-04
  0.1740055E-02  0.6362997E-06  0.2352938E-04
  0.2029600E-02  0.7165799E-06  0.2453520E-04
  0.2341418E-02  0.7959818E-06  0.2537429E-04
  0.2675509E-02  0.8735137E-06  0.2604935E-04
  0.3031872E-02  0.9483454E-06  0.2656693E-04
  0.3410508E-02  0.1019859E-05  0.2693773E-04
  0.3811416E-02  0.1087566E-05  0.2717332E-04
  0.4234598E-02  0.1151013E-05  0.2728377E-04
  0.4680052E-02  0.1209868E-05  0.2727991E-04
  0.5147779E-02  0.1263923E-05  0.2717321E-04
  0.5637778E-02  0.1313083E-05  0.2697544E-04
  0.6150050E-02  0.1357357E-05  0.2669839E-04
  0.6684595E-02  0.1396839E-05  0.2635355E-04
  0.7241413E-02  0.1431692E-05  0.2595183E-04
  0.7820503E-02  0.1462122E-05  0.2550330E-04
  0.8421866E-02  0.1488358E-05  0.2501690E-04
  0.9045502E-02  0.1510623E-05  0.2450022E-04
  0.9691410E-02  0.1529107E-05  0.2395932E-04
  0.1035959E-01  0.1543934E-05  0.2339848E-04
  0.1105005E-01  0.1555135E-05  0.2282003E-04
  0.1176277E-01  0.1562614E-05  0.2222425E-04
  0.1249777E-01  0.1566115E-05  0.2160915E-04
  0.1325504E-01  0.1565205E-05  0.2097060E-04
  0.1403459E-01  0.1559670E-05  0.2030781E-04
  0.1483640E-01  0.1549782E-05  0.1962622E-04
  0.1566049E-01  0.1535877E-05  0.1893145E-04
  0.1650686E-01  0.1518309E-05  0.1822880E-04
  0.1737549E-01  0.1497445E-05  0.1752317E-04
  0.1826640E-01  0.1473663E-05  0.1681906E-04
  0.1917958E-01  0.1447335E-05  0.1612055E-04
  0.2011504E-01  0.1418831E-05  0.1543123E-04
  0.2107276E-01  0.1388503E-05  0.1475422E-04
  0.2205276E-01  0.1356684E-05  0.1409215E-04
  0.2305503E-01  0.1323682E-05  0.1344717E-04
  0.2407958E-01  0.1289773E-05  0.1282092E-04
  0.2512639E-01  0.1255200E-05  0.1221457E-04
  0.2619548E-01  0.1220165E-05  0.1162882E-04
  0.2728685E-01  0.1184827E-05  0.1106391E-04
  0.2840048E-01  0.1149302E-05  0.1051966E-04
  0.2953639E-01  0.1113661E-05  0.9995504E-05
  0.3069457E-01  0.1078029E-05  0.9491394E-05
  0.3187502E-01  0.1042647E-05  0.9008288E-05
  0.3307775E-01  0.1007743E-05  0.8546971E-05
  0.3430275E-01  0.9735221E-06  0.8107960E-05
  0.3555002E-01  0.9401605E-06  0.7691522E-05
  0.3681956E-01  0.9078079E-06  0.7297681E-05
  0.3811138E-01  0.8765861E-06  0.6926240E-05
  0.3942547E-01  0.8465890E-06  0.6576797E-05
  0.4076183E-01  0.8178825E-06  0.6248767E-05
  0.4212047E-01  0.7905055E-06  0.5941397E-05
  0.4350137E-01  0.7644704E-06  0.5653787E-05
  0.4490456E-01  0.7397641E-06  0.5384909E-05
  0.4633001E-01  0.7163500E-06  0.5133627E-05
  0.4777773E-01  0.6941697E-06  0.4898726E-05
  0.4924773E-01  0.6731456E-06  0.4678926E-05
  0.5074000E-01  0.6531839E-06  0.4472913E-05
  0.5225455E-01  0.6341788E-06  0.4279371E-05
  0.5379136E-01  0.6160883E-06  0.4097481E-05
  0.5535045E-01  0.5989841E-06  0.3927218E-05
  0.5693182E-01  0.5829392E-06  0.3768565E-05
  0.5853545E-01  0.5680157E-06  0.3621438E-05
  0.6016136E-01  0.5542652E-06  0.3485692E-05
  0.6180954E-01  0.5417288E-06  0.3361123E-05
  0.6347999E-01  0.5304380E-06  0.3247480E-05
  0.6517272E-01  0.5204147E-06  0.3144466E-05
  0.6688771E-01  0.5116718E-06  0.3051747E-05
  0.6862498E-01  0.5042146E-06  0.2968961E-05
  0.7038453E-01  0.4980412E-06  0.2895722E-05
  0.7216634E-01  0.4931443E-06  0.2831633E-05
  0.7397043E-01  0.4895119E-06  0.2776287E-05
  0.7579680E-01  0.4871284E-06  0.2729281E-05
  0.7764543E-01  0.4859762E-06  0.2690217E-05
  0.7951634E-01  0.4860360E-06  0.2658707E-05
  0.8140952E-01  0.4872874E-06  0.2634376E-05
  0.8332497E-01  0.4897145E-06  0.2616891E-05
  0.8526269E-01  0.4933063E-06  0.2605958E-05
  0.8722269E-01  0.4980476E-06  0.2601275E-05
  0.8920496E-01  0.5039173E-06  0.2602526E-05
  0.9120951E-01  0.5108898E-06  0.2609381E-05
  0.9323632E-01  0.5189336E-06  0.2621497E-05
  0.9528541E-01  0.5280083E-06  0.2638504E-05
  0.9735677E-01  0.5380598E-06  0.2659976E-05
  0.9945041E-01  0.5490043E-06  0.2685361E-05
  0.1015663E+00  0.5606970E-06  0.2713836E-05
  0.1037045E+00  0.5728802E-06  0.2744070E-05
  0.1058649E+00  0.5851112E-06  0.2773911E-05
  0.1080477E+00  0.5967104E-06  0.2800181E-05
  0.1102527E+00  0.6068272E-06  0.2819037E-05
  0.1124799E+00  0.6147162E-06  0.2827270E-05
  0.1147295E+00  0.6202141E-06  0.2824453E-05
  0.1170013E+00  0.6237854E-06  0.2813002E-05
  0.1192954E+00  0.6260811E-06  0.2796076E-05
  0.1216117E+00  0.6276418E-06  0.2776223E-05
  0.1239504E+00  0.6288140E-06  0.2755044E-05
  0.1263113E+00  0.6297823E-06  0.2733377E-05
  0.1286945E+00  0.6306257E-06  0.2711577E-05
  0.1310999E+00  0.6313627E-06  0.2689725E-05
  0.1335276E+00  0.6319772E-06  0.2667756E-05
  0.1359776E+00  0.6324409E-06  0.2645553E-05
  0.1384499E+00  0.6327270E-06  0.2623012E-05
  0.1409445E+00  0.6328153E-06  0.2600059E-05
  0.1434613E+00  0.6326932E-06  0.2576654E-05
  0.1460004E+00  0.6323532E-06  0.2552778E-05
  0.1485617E+00  0.6317914E-06  0.2528427E-05
  0.1511454E+00  0.6310061E-06  0.2503608E-05
  0.1537513E+00  0.6299967E-06  0.2478330E-05
  0.1563794E+00  0.6287659E-06  0.2452615E-05
  0.1590299E+00  0.6273231E-06  0.2426511E-05
  0.1617026E+00  0.6256772E-06  0.2400060E-05
  0.1643976E+00  0.6238234E-06  0.2373254E-05
  0.1671149E+00  0.6217570E-06  0.2346083E-05
  0.1698544E+00  0.6194766E-06  0.2318551E-05
  0.1726162E+00  0.6169844E-06  0.2290676E-05
  0.1754003E+00  0.6142855E-06  0.2262483E-05
  0.1782067E+00  0.6113859E-06  0.2234002E-05
  0.1810353E+00  0.6082936E-06  0.2205270E-05
  0.1838862E+00  0.6050167E-06  0.2176321E-05
  0.1867594E+00  0.6015627E-06  0.2147187E-05
  0.1896549E+00  0.5979372E-06  0.2117892E-05
  0.1925726E+00  0.5941401E-06  0.2088439E-05
  0.1955126E+00  0.5901676E-06  0.2058819E-05
  0.1984748E+00  0.5860099E-06  0.2029002E-05
  0.2014594E+00  0.5816512E-06  0.1998937E-05
  0.2044662E+00  0.5770700E-06  0.1968557E-05
  0.2074953E+00  0.5722394E-06  0.1937778E-05
  0.2105467E+00  0.5671321E-06  0.1906516E-05
  0.2136203E+00  0.5617273E-06  0.1874712E-05
  0.2167162E+00  0.5560068E-06  0.1842318E-05
  0.2198344E+00  0.5499558E-06  0.1809299E-05
  0.2229748E+00  0.5435619E-06  0.1775625E-05
  0.2261375E+00  0.5368165E-06  0.1741285E-05
  0.2293225E+00  0.5297162E-06  0.1706279E-05
  0.2325298E+00  0.5222675E-06  0.1670644E-05
  0.2357594E+00  0.5144860E-06  0.1634441E-05
  0.2390112E+00  0.5063943E-06  0.1597754E-05
  0.2422853E+00  0.4980209E-06  0.1560682E-05
  0.2455816E+00  0.4893999E-06  0.1523338E-05
  0.2489003E+00  0.4805704E-06  0.1485849E-05
  0.2522412E+00  0.4715758E-06  0.1448351E-05
  0.2556043E+00  0.4624632E-06  0.1410988E-05
  0.2589898E+00  0.4532839E-06  0.1373913E-05
  0.2623975E+00  0.4440923E-06  0.1337284E-05
  0.2658275E+00  0.4349380E-06  0.1301241E-05
  0.2692798E+00  0.4258331E-06  0.1265808E-05
