 #     E1  dGamma/dq   dGamma/dE1 
  0.2784088E-05  0.2762060E-10  0.2553417E-07
  0.2505679E-04  0.2481493E-09  0.7646814E-07
  0.6960220E-04  0.6869138E-09  0.1270051E-06
  0.1364203E-03  0.1339472E-08  0.1768986E-06
  0.2255111E-03  0.2199501E-08  0.2259282E-06
  0.3368746E-03  0.3259192E-08  0.2739088E-06
  0.4705109E-03  0.4509763E-08  0.3207001E-06
  0.6264198E-03  0.5942092E-08  0.3662156E-06
  0.8046014E-03  0.7547446E-08  0.4104307E-06
  0.1005056E-02  0.9318261E-08  0.4533880E-06
  0.1227783E-02  0.1124891E-07  0.4951992E-06
  0.1472783E-02  0.1333638E-07  0.5360419E-06
  0.1740055E-02  0.1558068E-07  0.5761495E-06
  0.2029600E-02  0.1798491E-07  0.6157910E-06
  0.2341418E-02  0.2055463E-07  0.6552399E-06
  0.2675509E-02  0.2329642E-07  0.6947303E-06
  0.3031872E-02  0.2621541E-07  0.7343979E-06
  0.3410508E-02  0.2931154E-07  0.7742111E-06
  0.3811416E-02  0.3257841E-07  0.8139861E-06
  0.4234598E-02  0.3600455E-07  0.8534567E-06
  0.4680052E-02  0.3957106E-07  0.8922418E-06
  0.5147779E-02  0.4325088E-07  0.9298550E-06
  0.5637778E-02  0.4700874E-07  0.9657281E-06
  0.6150050E-02  0.5080193E-07  0.9992431E-06
  0.6684595E-02  0.5458192E-07  0.1029773E-05
  0.7241413E-02  0.5829680E-07  0.1056728E-05
  0.7820503E-02  0.6189457E-07  0.1079606E-05
  0.8421866E-02  0.6532703E-07  0.1098042E-05
  0.9045502E-02  0.6855409E-07  0.1111853E-05
  0.9691410E-02  0.7154819E-07  0.1121077E-05
  0.1035959E-01  0.7429864E-07  0.1126004E-05
  0.1105005E-01  0.7681542E-07  0.1127189E-05
  0.1176277E-01  0.7913251E-07  0.1125461E-05
  0.1249777E-01  0.8131075E-07  0.1121920E-05
  0.1325504E-01  0.8343980E-07  0.1117926E-05
  0.1403459E-01  0.8559319E-07  0.1114473E-05
  0.1483640E-01  0.8779649E-07  0.1111842E-05
  0.1566049E-01  0.9007244E-07  0.1110247E-05
  0.1650686E-01  0.9244432E-07  0.1109886E-05
  0.1737549E-01  0.9493558E-07  0.1110940E-05
  0.1826640E-01  0.9756943E-07  0.1113570E-05
  0.1917958E-01  0.1003681E-06  0.1117909E-05
  0.2011504E-01  0.1033522E-06  0.1124060E-05
  0.2107276E-01  0.1065393E-06  0.1132085E-05
  0.2205276E-01  0.1099427E-06  0.1141997E-05
  0.2305503E-01  0.1135697E-06  0.1153745E-05
  0.2407958E-01  0.1174195E-06  0.1167203E-05
  0.2512639E-01  0.1214805E-06  0.1182148E-05
  0.2619548E-01  0.1257274E-06  0.1198249E-05
  0.2728685E-01  0.1301182E-06  0.1215043E-05
  0.2840048E-01  0.1345909E-06  0.1231922E-05
  0.2953639E-01  0.1390604E-06  0.1248117E-05
  0.3069457E-01  0.1434557E-06  0.1263041E-05
  0.3187502E-01  0.1477524E-06  0.1276555E-05
  0.3307775E-01  0.1519319E-06  0.1288579E-05
  0.3430275E-01  0.1559776E-06  0.1299057E-05
  0.3555002E-01  0.1598760E-06  0.1307958E-05
  0.3681956E-01  0.1636168E-06  0.1315282E-05
  0.3811138E-01  0.1671938E-06  0.1321062E-05
  0.3942547E-01  0.1706057E-06  0.1325364E-05
  0.4076183E-01  0.1738561E-06  0.1328291E-05
  0.4212047E-01  0.1769549E-06  0.1329983E-05
  0.4350137E-01  0.1799181E-06  0.1330618E-05
  0.4490456E-01  0.1827685E-06  0.1330413E-05
  0.4633001E-01  0.1855364E-06  0.1329622E-05
  0.4777773E-01  0.1882597E-06  0.1328540E-05
  0.4924773E-01  0.1909846E-06  0.1327503E-05
  0.5074000E-01  0.1937661E-06  0.1326884E-05
  0.5225455E-01  0.1966685E-06  0.1327098E-05
  0.5379136E-01  0.1997423E-06  0.1328446E-05
  0.5535045E-01  0.2030025E-06  0.1330979E-05
  0.5693182E-01  0.2064599E-06  0.1334715E-05
  0.5853545E-01  0.2101243E-06  0.1339668E-05
  0.6016136E-01  0.2140049E-06  0.1345845E-05
  0.6180954E-01  0.2181092E-06  0.1353245E-05
  0.6347999E-01  0.2224439E-06  0.1361859E-05
  0.6517272E-01  0.2270138E-06  0.1371670E-05
  0.6688771E-01  0.2318222E-06  0.1382650E-05
  0.6862498E-01  0.2368701E-06  0.1394760E-05
  0.7038453E-01  0.2421561E-06  0.1407950E-05
  0.7216634E-01  0.2476764E-06  0.1422157E-05
  0.7397043E-01  0.2534239E-06  0.1437305E-05
  0.7579680E-01  0.2593886E-06  0.1453301E-05
  0.7764543E-01  0.2655564E-06  0.1470039E-05
  0.7951634E-01  0.2719094E-06  0.1487395E-05
  0.8140952E-01  0.2784254E-06  0.1505225E-05
  0.8332497E-01  0.2850904E-06  0.1523440E-05
  0.8526269E-01  0.2919133E-06  0.1542072E-05
  0.8722269E-01  0.2989068E-06  0.1561174E-05
  0.8920496E-01  0.3060853E-06  0.1580805E-05
  0.9120951E-01  0.3134642E-06  0.1601025E-05
  0.9323632E-01  0.3210604E-06  0.1621901E-05
