 #     E1  dGamma/dq   dGamma/dE1 
  0.2784088E-05  0.2786396E-10  0.2575915E-07
  0.2505679E-04  0.2503502E-09  0.7714635E-07
  0.6960220E-04  0.6930593E-09  0.1281413E-06
  0.1364203E-03  0.1351500E-08  0.1784870E-06
  0.2255111E-03  0.2219028E-08  0.2279339E-06
  0.3368746E-03  0.3286976E-08  0.2762439E-06
  0.4705109E-03  0.4544829E-08  0.3231937E-06
  0.6264198E-03  0.5980459E-08  0.3685803E-06
  0.8046014E-03  0.7580429E-08  0.4122244E-06
  0.1005056E-02  0.9330344E-08  0.4539759E-06
  0.1227783E-02  0.1121527E-07  0.4937182E-06
  0.1472783E-02  0.1322018E-07  0.5313717E-06
  0.1740055E-02  0.1533047E-07  0.5668971E-06
  0.2029600E-02  0.1753240E-07  0.6002972E-06
  0.2341418E-02  0.1981355E-07  0.6316158E-06
  0.2675509E-02  0.2216318E-07  0.6609357E-06
  0.3031872E-02  0.2457245E-07  0.6883723E-06
  0.3410508E-02  0.2703439E-07  0.7140642E-06
  0.3811416E-02  0.2954263E-07  0.7381358E-06
  0.4234598E-02  0.3209054E-07  0.7606785E-06
  0.4680052E-02  0.3467173E-07  0.7817725E-06
  0.5147779E-02  0.3727996E-07  0.8014857E-06
  0.5637778E-02  0.3990895E-07  0.8198730E-06
  0.6150050E-02  0.4255225E-07  0.8369769E-06
  0.6684595E-02  0.4520327E-07  0.8528301E-06
  0.7241413E-02  0.4785534E-07  0.8674591E-06
  0.7820503E-02  0.5050200E-07  0.8808896E-06
  0.8421866E-02  0.5313724E-07  0.8931514E-06
  0.9045502E-02  0.5575595E-07  0.9042847E-06
  0.9691410E-02  0.5835439E-07  0.9143454E-06
  0.1035959E-01  0.6093061E-07  0.9234098E-06
  0.1105005E-01  0.6348504E-07  0.9315788E-06
  0.1176277E-01  0.6602087E-07  0.9389807E-06
  0.1249777E-01  0.6854468E-07  0.9457747E-06
  0.1325504E-01  0.7106693E-07  0.9521541E-06
  0.1403459E-01  0.7359859E-07  0.9582965E-06
  0.1483640E-01  0.7614754E-07  0.9643214E-06
  0.1566049E-01  0.7872198E-07  0.9703391E-06
  0.1650686E-01  0.8133045E-07  0.9764528E-06
  0.1737549E-01  0.8398173E-07  0.9827578E-06
  0.1826640E-01  0.8668457E-07  0.9893400E-06
  0.1917958E-01  0.8944749E-07  0.9962741E-06
  0.2011504E-01  0.9227844E-07  0.1003622E-05
  0.2107276E-01  0.9518449E-07  0.1011430E-05
  0.2205276E-01  0.9817141E-07  0.1019727E-05
  0.2305503E-01  0.1012433E-06  0.1028522E-05
  0.2407958E-01  0.1044018E-06  0.1037800E-05
  0.2512639E-01  0.1076460E-06  0.1047522E-05
  0.2619548E-01  0.1109712E-06  0.1057615E-05
  0.2728685E-01  0.1143689E-06  0.1067976E-05
  0.2840048E-01  0.1178254E-06  0.1078466E-05
  0.2953639E-01  0.1213219E-06  0.1088907E-05
  0.3069457E-01  0.1248423E-06  0.1099161E-05
  0.3187502E-01  0.1283809E-06  0.1109189E-05
  0.3307775E-01  0.1319328E-06  0.1118961E-05
  0.3430275E-01  0.1354930E-06  0.1128451E-05
  0.3555002E-01  0.1390567E-06  0.1137633E-05
  0.3681956E-01  0.1426197E-06  0.1146491E-05
  0.3811138E-01  0.1461782E-06  0.1155009E-05
  0.3942547E-01  0.1497291E-06  0.1163183E-05
  0.4076183E-01  0.1532706E-06  0.1171014E-05
  0.4212047E-01  0.1568021E-06  0.1178516E-05
  0.4350137E-01  0.1603247E-06  0.1185712E-05
  0.4490456E-01  0.1638410E-06  0.1192635E-05
  0.4633001E-01  0.1673555E-06  0.1199331E-05
  0.4777773E-01  0.1708748E-06  0.1205856E-05
  0.4924773E-01  0.1744076E-06  0.1212279E-05
  0.5074000E-01  0.1779656E-06  0.1218684E-05
  0.5225455E-01  0.1815630E-06  0.1225168E-05
  0.5379136E-01  0.1852117E-06  0.1231806E-05
  0.5535045E-01  0.1889164E-06  0.1238624E-05
  0.5693182E-01  0.1926807E-06  0.1245635E-05
  0.5853545E-01  0.1965085E-06  0.1252858E-05
  0.6016136E-01  0.2004038E-06  0.1260310E-05
  0.6180954E-01  0.2043708E-06  0.1268006E-05
  0.6347999E-01  0.2084142E-06  0.1275966E-05
  0.6517272E-01  0.2125388E-06  0.1284209E-05
  0.6688771E-01  0.2167499E-06  0.1292754E-05
  0.6862498E-01  0.2210529E-06  0.1301623E-05
  0.7038453E-01  0.2254543E-06  0.1310842E-05
  0.7216634E-01  0.2299612E-06  0.1320437E-05
  0.7397043E-01  0.2345812E-06  0.1330437E-05
  0.7579680E-01  0.2393221E-06  0.1340873E-05
  0.7764543E-01  0.2441921E-06  0.1351774E-05
  0.7951634E-01  0.2492000E-06  0.1363170E-05
  0.8140952E-01  0.2543548E-06  0.1375095E-05
  0.8332497E-01  0.2596685E-06  0.1387592E-05
  0.8526269E-01  0.2651591E-06  0.1400739E-05
  0.8722269E-01  0.2708473E-06  0.1414621E-05
  0.8920496E-01  0.2767563E-06  0.1429332E-05
  0.9120951E-01  0.2829128E-06  0.1444983E-05
  0.9323632E-01  0.2893442E-06  0.1461680E-05
  0.9528541E-01  0.2960739E-06  0.1479507E-05
  0.9735677E-01  0.3031106E-06  0.1498471E-05
  0.9945041E-01  0.3104294E-06  0.1518413E-05
  0.1015663E+00  0.3179388E-06  0.1538860E-05
  0.1037045E+00  0.3254258E-06  0.1558775E-05
  0.1058649E+00  0.3324796E-06  0.1576229E-05
  0.1080477E+00  0.3384339E-06  0.1588168E-05
  0.1102527E+00  0.3424375E-06  0.1590805E-05
  0.1124799E+00  0.3437615E-06  0.1581066E-05
  0.1147295E+00  0.3423134E-06  0.1558894E-05
  0.1170013E+00  0.3386910E-06  0.1527350E-05
  0.1192954E+00  0.3337138E-06  0.1490365E-05
  0.1216117E+00  0.3280842E-06  0.1451202E-05
  0.1239504E+00  0.3222704E-06  0.1411974E-05
  0.1263113E+00  0.3165406E-06  0.1373848E-05
  0.1286945E+00  0.3110345E-06  0.1337392E-05
  0.1310999E+00  0.3058206E-06  0.1302854E-05
  0.1335276E+00  0.3009316E-06  0.1270318E-05
  0.1359776E+00  0.2963834E-06  0.1239797E-05
  0.1384499E+00  0.2921849E-06  0.1211272E-05
  0.1409445E+00  0.2883427E-06  0.1184718E-05
  0.1434613E+00  0.2848634E-06  0.1160111E-05
  0.1460004E+00  0.2817544E-06  0.1137428E-05
  0.1485617E+00  0.2790239E-06  0.1116653E-05
  0.1511454E+00  0.2766809E-06  0.1097772E-05
  0.1537513E+00  0.2747356E-06  0.1080776E-05
  0.1563794E+00  0.2731997E-06  0.1065665E-05
  0.1590299E+00  0.2720870E-06  0.1052443E-05
  0.1617026E+00  0.2714125E-06  0.1041122E-05
  0.1643976E+00  0.2711914E-06  0.1031712E-05
  0.1671149E+00  0.2714422E-06  0.1024236E-05
  0.1698544E+00  0.2721873E-06  0.1018731E-05
  0.1726162E+00  0.2734532E-06  0.1015249E-05
  0.1754003E+00  0.2752695E-06  0.1013849E-05
  0.1782067E+00  0.2776688E-06  0.1014601E-05
  0.1810353E+00  0.2806875E-06  0.1017587E-05
  0.1838862E+00  0.2843650E-06  0.1022897E-05
  0.1867594E+00  0.2887423E-06  0.1030622E-05
  0.1896549E+00  0.2938630E-06  0.1040862E-05
  0.1925726E+00  0.2997760E-06  0.1053731E-05
  0.1955126E+00  0.3065354E-06  0.1069359E-05
  0.1984748E+00  0.3142013E-06  0.1087891E-05
  0.2014594E+00  0.3228393E-06  0.1109489E-05
  0.2044662E+00  0.3325219E-06  0.1134331E-05
  0.2074953E+00  0.3433270E-06  0.1162610E-05
  0.2105467E+00  0.3553421E-06  0.1194546E-05
  0.2136203E+00  0.3686647E-06  0.1230384E-05
  0.2167162E+00  0.3833974E-06  0.1270380E-05
  0.2198344E+00  0.3996514E-06  0.1314813E-05
  0.2229748E+00  0.4175443E-06  0.1363970E-05
  0.2261375E+00  0.4371958E-06  0.1418143E-05
  0.2293225E+00  0.4587305E-06  0.1477626E-05
  0.2325298E+00  0.4822882E-06  0.1542757E-05
  0.2357594E+00  0.5080225E-06  0.1613908E-05
  0.2390112E+00  0.5360940E-06  0.1691461E-05
  0.2422853E+00  0.5666682E-06  0.1775806E-05
  0.2455816E+00  0.5999067E-06  0.1867308E-05
  0.2489003E+00  0.6359725E-06  0.1966328E-05
  0.2522412E+00  0.6750216E-06  0.2073194E-05
  0.2556043E+00  0.7171872E-06  0.2188158E-05
  0.2589898E+00  0.7625857E-06  0.2311413E-05
  0.2623975E+00  0.8113027E-06  0.2443055E-05
  0.2658275E+00  0.8633784E-06  0.2583042E-05
  0.2692798E+00  0.9188268E-06  0.2731254E-05
  0.2727543E+00  0.9776859E-06  0.2887645E-05
  0.2762511E+00  0.1039993E-05  0.3052169E-05
  0.2797702E+00  0.1105756E-05  0.3224696E-05
  0.2833116E+00  0.1174905E-05  0.3404873E-05
  0.2868752E+00  0.1247289E-05  0.3592120E-05
  0.2904611E+00  0.1322640E-05  0.3785539E-05
  0.2940693E+00  0.1400514E-05  0.3983758E-05
  0.2976997E+00  0.1480305E-05  0.4184970E-05
  0.3013525E+00  0.1561232E-05  0.4386927E-05
  0.3050275E+00  0.1642274E-05  0.4586764E-05
  0.3087247E+00  0.1722151E-05  0.4780967E-05
  0.3124443E+00  0.1799368E-05  0.4965510E-05
  0.3161861E+00  0.1872301E-05  0.5136114E-05
  0.3199502E+00  0.1939267E-05  0.5288429E-05
  0.3237365E+00  0.1998582E-05  0.5418216E-05
  0.3275452E+00  0.2048632E-05  0.5521519E-05
  0.3313761E+00  0.2087963E-05  0.5594902E-05
  0.3352293E+00  0.2115330E-05  0.5635564E-05
  0.3391047E+00  0.2129752E-05  0.5641472E-05
  0.3430024E+00  0.2130580E-05  0.5611507E-05
  0.3469224E+00  0.2117549E-05  0.5545587E-05
  0.3508647E+00  0.2090841E-05  0.5444793E-05
  0.3548292E+00  0.2051142E-05  0.5311489E-05
  0.3588160E+00  0.1999666E-05  0.5149343E-05
  0.3628251E+00  0.1938078E-05  0.4963097E-05
  0.3668565E+00  0.1868318E-05  0.4758092E-05
  0.3709101E+00  0.1792334E-05  0.4539572E-05
  0.3749860E+00  0.1711947E-05  0.4312339E-05
  0.3790842E+00  0.1628676E-05  0.4080347E-05
  0.3832047E+00  0.1543688E-05  0.3846576E-05
  0.3873474E+00  0.1457782E-05  0.3613039E-05
  0.3915124E+00  0.1371502E-05  0.3381069E-05
  0.3956996E+00  0.1285573E-05  0.3152421E-05
  0.3999092E+00  0.1201433E-05  0.2930551E-05
  0.4041410E+00  0.1120553E-05  0.2718918E-05
  0.4083951E+00  0.1044216E-05  0.2520464E-05
  0.4126714E+00  0.9736378E-06  0.2337897E-05
  0.4169701E+00  0.9102969E-06  0.2174507E-05
  0.4212910E+00  0.8564576E-06  0.2035378E-05
  0.4256342E+00  0.8154633E-06  0.1928042E-05
  0.4299996E+00  0.7887017E-06  0.1855278E-05
  0.4343873E+00  0.7721502E-06  0.1807147E-05
  0.4387973E+00  0.7647046E-06  0.1780705E-05
  0.4432296E+00  0.8046057E-06  0.1864228E-05
