 #    q  dGamma/dq   dGamma/dE1 
   2.7679981925370382E-006   4.6380145769069241E-011   4.3001089564535383E-008
   2.4911983732833341E-005   4.1646606180562907E-010   1.2870805044800225E-007
   6.9199954813425955E-005   1.1515521986653766E-009   2.1353102027579605E-007
   1.3563191143431489E-004   2.2415114121516228E-009   2.9688637360902990E-007
   2.2420785359550006E-004   3.6712683162493330E-009   3.7819951491149705E-007
   3.3492778129698159E-004   5.4209501791071565E-009   4.5690938794318218E-007
   4.6779169453875936E-004   7.4661074055035817E-009   5.3247378546090003E-007
   6.2279959332083360E-004   9.7780157197569343E-009   6.0437546103202008E-007
   7.9995147764320388E-004   1.2324080195809699E-008   6.7212948115797725E-007
   9.9924734750587085E-004   1.5068362831886009E-008   7.3529196256459366E-007
   1.2206872029088339E-003   1.7972251404073512E-008   7.9347005418149778E-007
   1.4642710438520930E-003   2.0995286583519362E-008   8.4633309083722846E-007
   1.7299988703356488E-003   2.4096161302278343E-008   8.9362478115519402E-007
   2.0178706823595007E-003   2.7233901874382538E-008   9.3517621984123001E-007
   2.3278864799236489E-003   3.0369235004195842E-008   9.7091945848470736E-007
   2.6600462630280929E-003   3.3466138336652690E-008   1.0009013124953048E-006
   3.0143500316728348E-003   3.6493567491122481E-008   1.0252971056929034E-006
   3.3907977858578715E-003   3.9427210651664163E-008   1.0444204324309817E-006
   3.7893895255832052E-003   4.2246787954630394E-008   1.0586181153579907E-006
   4.2101252508488342E-003   4.4933089306553904E-008   1.0681912655884918E-006
   4.6530049616547598E-003   4.7470818833188680E-008   1.0734707541705524E-006
   5.1180286580009837E-003   4.9848750972960665E-008   1.0748136567793297E-006
   5.6051963398875025E-003   5.2059544875866059E-008   1.0725936064885915E-006
   6.1145080073143170E-003   5.4099426593041413E-008   1.0671910016403565E-006
   6.6459636602814297E-003   5.5967745460668434E-008   1.0589832313789030E-006
   7.1995632987888348E-003   5.7666413054135362E-008   1.0483350662685053E-006
   7.7753069228365399E-003   5.9199233514080817E-008   1.0355893243572627E-006
   8.3731945324245390E-003   6.0571133762795322E-008   1.0210578861708577E-006
   8.9932261275528381E-003   6.1787302264619240E-008   1.0050131136915566E-006
   9.6354017082214312E-003   6.2852244179116629E-008   9.8767970079971296E-007
   1.0299721274430318E-002   6.3768760146148345E-008   9.6922696618165761E-007
   1.0986184826179505E-002   6.4536856573925621E-008   9.4976160621348592E-007
   1.1694792363468985E-002   6.5152597177107133E-008   9.2932094777876940E-007
   1.2425543886298764E-002   6.5606909687831438E-008   9.0786678922101465E-007
   1.3178439394668836E-002   6.5884727925894255E-008   8.8528481861355997E-007
   1.3953478888579209E-002   6.5978360226039774E-008   8.6156990339870542E-007
   1.4750662368029877E-002   6.5896455439943400E-008   8.3692500798068422E-007
   1.5569989833020839E-002   6.5649931675314775E-008   8.1155949959907213E-007
   1.6411461283552097E-002   6.5250624177096185E-008   7.8567203615157670E-007
   1.7275076719623653E-002   6.4711023383563194E-008   7.5944884763220828E-007
   1.8160836141235506E-002   6.4044008488971253E-008   7.3306222073810830E-007
   1.9068739548387656E-002   6.3262579726282839E-008   7.0666918827213949E-007
   1.9998786941080097E-002   6.2379591743210152E-008   6.8041041549641812E-007
