 #   q  dGamma/dq   dGamma/dE1 
   2.7679981925370382E-006   4.3158744780099742E-011   4.0014385875856132E-008
   2.4911983732833341E-005   3.8758544396698850E-010   1.1978255000835277E-007
   6.9199954813425955E-005   1.0719489618381698E-009   1.9877028220706643E-007
   1.3563191143431489E-004   2.0873065427225639E-009   2.7646206337377578E-007
   2.2420785359550006E-004   3.4203406250998109E-009   3.5234993844481034E-007
   3.3492778129698159E-004   5.0534855528439784E-009   4.2593731996075107E-007
   4.6779169453875936E-004   6.9651124146114020E-009   4.9674342627792562E-007
   6.2279959332083360E-004   9.1297773289085594E-009   5.6430809076424348E-007
   7.9995147764320388E-004   1.1518554784255495E-008   6.2819781499504686E-007
   9.9924734750587085E-004   1.4099479744484007E-008   6.8801330629784030E-007
   1.2206872029088339E-003   1.6838113037225872E-008   7.4339815104820731E-007
   1.4642710438520930E-003   1.9698245619805656E-008   7.9404856100261311E-007
   1.7299988703356488E-003   2.2642755753506115E-008   8.3972411211673924E-007
   2.0178706823595007E-003   2.5634627418984524E-008   8.8025924736382716E-007
   2.3278864799236489E-003   2.8638138472493962E-008   9.1557544646357716E-007
   2.6600462630280929E-003   3.1620215452779828E-008   9.4569366891696093E-007
   3.0143500316728348E-003   3.4551953034263335E-008   9.7074689808512570E-007
   3.3907977858578715E-003   3.7410172900874177E-008   9.9098942868786561E-007
   3.7893895255832052E-003   4.0175109934337870E-008   1.0067061005599457E-006
   4.2101252508488342E-003   4.2827856270068109E-008   1.0181437042855022E-006
   4.6530049616547598E-003   4.5352867465781376E-008   1.0255769341870274E-006
   5.1180286580009837E-003   4.7738135261761074E-008   1.0293056240536785E-006
   5.6051963398875025E-003   4.9975063086929257E-008   1.0296465956188903E-006
   6.1145080073143170E-003   5.2058225987916699E-008   1.0269253083508802E-006
   6.6459636602814297E-003   5.3985019167234724E-008   1.0214674465303620E-006
   7.1995632987888348E-003   5.5755200189892369E-008   1.0135905528060763E-006
   7.7753069228365399E-003   5.7370331311374923E-008   1.0035958088337009E-006
   8.3731945324245390E-003   5.8833131078709902E-008   9.9176007983094155E-007
   8.9932261275528381E-003   6.0146739485203827E-008   9.7832822785392253E-007
   9.6354017082214312E-003   6.1313903674650527E-008   9.6350573996469168E-007
   1.0299721274430318E-002   6.2336090779446367E-008   9.4745169909715515E-007
   1.0986184826179505E-002   6.3212534757796427E-008   9.3027212249824405E-007
   1.1694792363468985E-002   6.3939225780304694E-008   9.1201371053358553E-007
   1.2425543886298764E-002   6.4507854474603437E-008   8.9265809043673109E-007
   1.3178439394668836E-002   6.4905038442730136E-008   8.7212085400895412E-007
   1.3953478888579209E-002   6.5123833190103374E-008   8.5041117236506063E-007
   1.4750662368029877E-002   6.5171533843594479E-008   8.2771806340742668E-007
   1.5569989833020839E-002   6.5057579627986555E-008   8.0423688830537395E-007
   1.6411461283552097E-002   6.4792378010283069E-008   7.8015436940923934E-007
   1.7275076719623653E-002   6.4387060377570494E-008   7.5564681640611716E-007
   1.8160836141235506E-002   6.3853235258634048E-008   7.3087858715258007E-007
   1.9068739548387656E-002   6.3202730816634272E-008   7.0600065119092475E-007
   1.9998786941080097E-002   6.2447343796827865E-008   6.8114942647203554E-007
   2.0950978319312842E-002   6.1598584985932739E-008   6.5644573935544762E-007
