 #   q  dGamma/dq   dGamma/dE1 
   2.7679981925370382E-006   5.1941661952316839E-013   4.8157417806822456E-010
   2.4911983732833341E-005   4.6695672744981993E-012   1.4431209537956429E-009
   6.9199954813425955E-005   1.2942286807741517E-011   2.3998735879814642E-009
   1.3563191143431489E-004   2.5282776460925473E-011   3.3486832935848420E-009
   2.2420785359550006E-004   4.1609874434297239E-011   4.2864843893122723E-009
   3.3492778129698159E-004   6.1817434432135093E-011   5.2103349408122866E-009
   4.6779169453875936E-004   8.5776195376374333E-011   6.1174549164433238E-009
   6.2279959332083360E-004   1.1333567429109029E-010   7.0052352506092411E-009
   7.9995147764320388E-004   1.4432604426524549E-010   7.8712396956460556E-009
   9.9924734750587085E-004   1.7856033293688576E-010   8.7132211446037204E-009
   1.2206872029088339E-003   2.1583695255186368E-010   9.5291432656500428E-009
   1.4642710438520930E-003   2.5594261667158583E-010   1.0317206435022675E-008
   1.7299988703356488E-003   2.9865570691756552E-010   1.1075877912127216E-008
   2.0178706823595007E-003   3.4375005226403857E-010   1.1803922769836200E-008
   2.3278864799236489E-003   3.9099920830536634E-010   1.2500438010484812E-008
   2.6600462630280929E-003   4.4018108477753060E-010   1.3164883891216960E-008
   3.0143500316728348E-003   4.9108291826445958E-010   1.3797113556361932E-008
   3.3907977858578715E-003   5.4350618329370867E-010   1.4397390878083026E-008
   3.7893895255832052E-003   5.9725724562662271E-010   1.4966045239419468E-008
   4.2101252508488342E-003   6.5213789745985163E-010   1.5503229730617484E-008
   4.6530049616547598E-003   7.0795481687933612E-010   1.6009178056621444E-008
   5.1180286580009837E-003   7.6452062633646957E-010   1.6484208611799451E-008
   5.6051963398875025E-003   8.2165422622589289E-010   1.6928712532843906E-008
   6.1145080073143170E-003   8.7918110936819970E-010   1.7343144425316566E-008
   6.6459636602814297E-003   9.3693364722870787E-010   1.7728014826453011E-008
   7.1995632987888348E-003   9.9475128094483591E-010   1.8083882710911941E-008
   7.7753069228365399E-003   1.0524805049642033E-009   1.8411346065415242E-008
   8.3731945324245390E-003   1.1099745410945988E-009   1.8711029301050604E-008
   8.9932261275528381E-003   1.1670924430107452E-009   1.8983564051602355E-008
   9.6354017082214312E-003   1.2236974008467902E-009   1.9229561307205036E-008
   1.0299721274430318E-002   1.2796540158158828E-009   1.9449573375252710E-008
   1.0986184826179505E-002   1.3348243704440456E-009   1.9644045362414632E-008
   1.1694792363468985E-002   1.3890628629361118E-009   1.9813257985694861E-008
   1.2425543886298764E-002   1.4422100363027156E-009   1.9957266715815460E-008
   1.3178439394668836E-002   1.4940867480550936E-009   2.0075856080526179E-008
   1.3953478888579209E-002   1.5445207053213937E-009   2.0168924330978739E-008
   1.4750662368029877E-002   1.5933749838743156E-009   2.0236830072151444E-008
   1.5569989833020839E-002   1.6405260162328406E-009   2.0280058772914172E-008
   1.6411461283552097E-002   1.6858633237208618E-009   2.0299203063960319E-008
   1.7275076719623653E-002   1.7292912948835925E-009   2.0294970044521628E-008
   1.8160836141235506E-002   1.7707306214388431E-009   2.0268183586673242E-008
   1.9068739548387656E-002   1.8101200928178757E-009   2.0219790312080248E-008
   1.9998786941080097E-002   1.8474164083615744E-009   2.0150843102384051E-008
   2.0950978319312842E-002   1.8825964651745301E-009   2.0062513266687393E-008
   2.1925313683085874E-002   1.9156563105575072E-009   1.9956066322218210E-008
   2.2921793032399211E-002   1.9466100828051313E-009   1.9832840850212231E-008
   2.3940416367252845E-002   1.9754914852994080E-009   1.9694255335239695E-008
   2.4981183687646766E-002   2.0023493696223574E-009   1.9541756648095264E-008
   2.6044094993580992E-002   2.0272462179281642E-009   1.9376802613609194E-008
   2.7129150285055512E-002   2.0502569737600118E-009   1.9200849954668484E-008
   2.8236349562070325E-002   2.0714633916955604E-009   1.9015302533060709E-008
   2.9365692824625436E-002   2.0909504144849328E-009   1.8821483870784584E-008
   3.0517180072720848E-002   2.1088321670276232E-009   1.8620874326872944E-008
   3.1690811306356551E-002   2.1252722468046455E-009   1.8415272254298823E-008
   3.2886586525532543E-002   2.1404471698895900E-009   1.8206453901229579E-008
   3.4104505730248841E-002   2.1545409765976222E-009   1.7996130345315817E-008
   3.5344568920505443E-002   2.1677433612609821E-009   1.7785937916143650E-008
   3.6606776096302328E-002   2.1802482199070378E-009   1.7577432986265832E-008
   3.7891127257639504E-002   2.1922519979246505E-009   1.7372085711531282E-008
   3.9197622404517005E-002   2.2039513911013676E-009   1.7171269364670704E-008
   4.0526261536934775E-002   2.2155506233134570E-009   1.6976324106373418E-008
   4.1877044654892844E-002   2.2272668076752411E-009   1.6788600088374048E-008
   4.3249971758391223E-002   2.2393250753003415E-009   1.6609420523437451E-008
   4.4645042847429886E-002   2.2519575927887811E-009   1.6440076633850267E-008
   4.6062257922008847E-002   2.2654043048453653E-009   1.6281835468624095E-008
   4.7501616982128098E-002   2.2799108354686031E-009   1.6135926894579007E-008
   4.8963120027787667E-002   2.2957341860494468E-009   1.6003586113500704E-008
   5.0446767058987520E-002   2.3131383095075978E-009   1.5886022871295181E-008
   5.1952558075727663E-002   2.3323999584473598E-009   1.5784462893341879E-008
   5.3480493078008118E-002   2.3538288905566030E-009   1.5700281506986662E-008
   5.5030572065828856E-002   2.3777614047791004E-009   1.5634950528627728E-008
   5.6602795039189878E-002   2.4045498755449858E-009   1.5589963661131656E-008
   5.8197161998091239E-002   2.4345628664827913E-009   1.5566835711507838E-008
   5.9813672942532863E-002   2.4681738661524424E-009   1.5567030110345139E-008
   6.1452327872514777E-002   2.5057620020900981E-009   1.5591966802998719E-008
   6.3113126788036988E-002   2.5477221437176445E-009   1.5643087161561408E-008
   6.4796069689099525E-002   2.5944554716443280E-009   1.5721795436589333E-008
   6.6501156575702339E-002   2.6463644121313602E-009   1.5829430852152951E-008
   6.8228387447845443E-002   2.7038526423484089E-009   1.5967271778692956E-008
   6.9977762305528865E-002   2.7673313648880498E-009   1.6136576147591664E-008
   7.1749281148752564E-002   2.8372222587106053E-009   1.6338599714169198E-008
   7.3542943977516553E-002   2.9139422703608414E-009   1.6574509683593205E-008
   7.5358750791820847E-002   2.9978999169063336E-009   1.6845369303556225E-008
   7.7196701591665459E-002   3.0895003525311067E-009   1.7152172217798782E-008
   7.9056796377050348E-002   3.1891585615503900E-009   1.7495918962372468E-008
   8.0939035147975513E-002   3.2973198380717970E-009   1.7877727601188479E-008
   8.2843417904441011E-002   3.4145254922376594E-009   1.8299179066433719E-008
   8.4769944646446785E-002   3.5414798668308520E-009   1.8762645760764580E-008
   8.6718615373992863E-002   3.6789761611015212E-009   1.9270858298980457E-008
   8.8689430087079246E-002   3.8278617471907418E-009   1.9826705849907133E-008
   9.0682388785705906E-002   3.9890121170005070E-009   2.0433093923400933E-008
   9.2697491469872870E-002   4.1632549099180759E-009   2.1092558574307433E-008
   9.4734738139580110E-002   4.3512156696592646E-009   2.1806513369383794E-008
   9.6794128794827683E-002   4.5530040835385127E-009   2.2573753790488603E-008
   9.8875663435615532E-002   4.7676374417574830E-009   2.3387767522373185E-008
  0.10097934206194367        4.9920455223432979E-009   2.4232181901244343E-008
  0.10310516467381214        5.2195321785450586E-009   2.5073884499997430E-008
  0.10525313127122086        5.4378483669330341E-009   2.5854719623318955E-008
  0.10742324185416992        5.6281381383217899E-009   2.6487799039330328E-008
  0.10961549642265922        5.7676374311598078E-009   2.6871519549323514E-008
  0.11182989497668885        5.8382915412079057E-009   2.6930044519562401E-008
  0.11406643751625881        5.8369233993371140E-009   2.6658475287893554E-008
  0.11632512404136904        5.7764844878837443E-009   2.6125048238383370E-008
  0.11860595455201955        5.6772447418058210E-009   2.5428141643222017E-008
  0.12090892904821036        5.5577349255667100E-009   2.4654652969550992E-008
  0.12323404752994145        5.4308870674577754E-009   2.3863583872752213E-008
  0.12558130999721287        5.3043711703424102E-009   2.3088815490239614E-008
  0.12795071645002457        5.1822239073040643E-009   2.2347300260662615E-008
  0.13034226688837661        5.0663023719514454E-009   2.1646053275761311E-008
  0.13275596131226891        4.9572820552547731E-009   2.0986831011155054E-008
  0.13519179972170148        4.8552578167552106E-009   2.0368890481164021E-008
  0.13764978211667434        4.7600548464006371E-009   1.9790394176560362E-008
  0.14012990849718754        4.6713919708548827E-009   1.9249131636814882E-008
  0.14263217886324100        4.5889539211413881E-009   1.8742831045029608E-008
  0.14515659321483476        4.5124184775530904E-009   1.8269271807908069E-008
  0.14770315155196892        4.4414693609432270E-009   1.7826334078920992E-008
  0.15027185387464329        4.3758151140004037E-009   1.7412069566029955E-008
  0.15286270018285794        4.3151885346820327E-009   1.7024691996224003E-008
  0.15547569047661289        4.2593379329219890E-009   1.6662536075501644E-008
  0.15811082475590812        4.2080201078324931E-009   1.6324025183692574E-008
  0.16076810302074368        4.1609344367925335E-009   1.6007414131026873E-008
  0.16344752527111958        4.1176385010064544E-009   1.5710474172169322E-008
  0.16614909150703572        4.0777250610499297E-009   1.5431182465121994E-008
  0.16887280172849214        4.0408405996110879E-009   1.5167783337475609E-008
  0.17161865593548889        4.0066899037296419E-009   1.4918794618542766E-008
  0.17438665412802593        3.9750166202613329E-009   1.4682924918607864E-008
  0.17717679630610325        3.9455926620226643E-009   1.4459027265912684E-008
  0.17998908246972087        3.9182222486052308E-009   1.4246108135042857E-008
  0.18282351261887883        3.8927251464821834E-009   1.4043261013838994E-008
  0.18568008675357708        3.8689112565273190E-009   1.3849572074553637E-008
  0.18855880487381557        3.8465762935887102E-009   1.3664105106790075E-008
  0.19145966697959438        3.8254987362821836E-009   1.3485891615771485E-008
  0.19438267307091348        3.8054097228310873E-009   1.3313826716461983E-008
  0.19732782314777286        3.7859729035620296E-009   1.3146604280600649E-008
  0.20029511721017257        3.7667617829382866E-009   1.2982646324161755E-008
  0.20328455525811262        3.7472468886725065E-009   1.2820069141941980E-008
  0.20629613729159293        3.7267918418909531E-009   1.2656681159893033E-008
  0.20932986331061351        3.7049802851619327E-009   1.2491096346609182E-008
  0.21238573331517438        3.6822254127868327E-009   1.2324745286005973E-008
  0.21546374730527554        3.6591194690422324E-009   1.2159612542283772E-008
  0.21856390528091704        3.6362678401208422E-009   1.1997669540637736E-008
  0.22168620724209886        3.6142699127156517E-009   1.1840812321797435E-008
  0.22483065318882095        3.5937076456349556E-009   1.1690827008982043E-008
  0.22799724312108330        3.5751316250804337E-009   1.1549348589799738E-008
  0.23118597703888596        3.5590158355121705E-009   1.1417721045727556E-008
  0.23439685494222889        3.5457374534277035E-009   1.1296942974028774E-008
  0.23762987683111214        3.5355801363379851E-009   1.1187689782966489E-008
  0.24088504270553571        3.5287264830849785E-009   1.1090300951180388E-008
  0.24416235256549962        3.5252354717058962E-009   1.1004720906271934E-008
  0.24746180641100377        3.5250432296736687E-009   1.0930514625588562E-008
  0.25078340424204820        3.5279654464190685E-009   1.0866887673628211E-008
  0.25412714605863290        3.5336968591380191E-009   1.0812696490480433E-008
  0.25749303186075795        3.5418229831390753E-009   1.0766495496643896E-008
  0.26088106164842323        3.5518347432136312E-009   1.0726591117742853E-008
  0.26429123542162886        3.5632671563889120E-009   1.0691465923290968E-008
  0.26772355318037488        3.5760869029698063E-009   1.0660928378647160E-008
  0.27117801492466109        3.5905970884528708E-009   1.0635788377249854E-008
  0.27465462065448759        3.6073296059149631E-009   1.0617508637814509E-008
  0.27815337036985438        3.6269736398655414E-009   1.0607975002436689E-008
  0.28167426407076152        3.6502855790861296E-009   1.0609221342439541E-008
  0.28521730175720889        3.6780514651273655E-009   1.0623316486860903E-008
  0.28878248342919660        3.7110349257533383E-009   1.0652213687501453E-008
  0.29236980908672466        3.7499417053767494E-009   1.0697652989282075E-008
  0.29597927872979296        3.7954017258185776E-009   1.0761116887135868E-008
  0.29961089235840155        3.8479412207968817E-009   1.0843759627372678E-008
  0.30326464997255043        3.9079623519588916E-009   1.0946360028240417E-008
  0.30694055157223959        3.9757370838542890E-009   1.1069315700636083E-008
  0.31063859715746905        4.0514198023465195E-009   1.1212689350082234E-008
  0.31435878672823886        4.1350455754404393E-009   1.1376213929812871E-008
  0.31810112028454895        4.2265049626656735E-009   1.1559233473178417E-008
  0.32186559782639929        4.3254710648556182E-009   1.1760516154685148E-008
  0.32565221935378996        4.4313816694865076E-009   1.1978222816935863E-008
  0.32946098486672093        4.5440755324358174E-009   1.2211634502076170E-008
  0.33329189436519219        4.6643134224891452E-009   1.2462512340754690E-008
  0.33714494784920374        4.7936787140811451E-009   1.2734762406671840E-008
  0.34102014531875563        4.9343735832819235E-009   1.3033836271657121E-008
  0.34491748677384776        5.0888666285043484E-009   1.3365761709783894E-008
  0.34883697221448023        5.2594382419587465E-009   1.3735939124681217E-008
  0.35277860164065294        5.4479705537056905E-009   1.4148613598615735E-008
  0.35674237505236595        5.6557897827094837E-009   1.4606499933955204E-008
  0.36072829244961935        5.8834498203919186E-009   1.5110269228005395E-008
  0.36473635383241287        6.1304821321297141E-009   1.5657966392679272E-008
  0.36876655920074691        6.3949972306601950E-009   1.6244069798821137E-008
  0.37281890855462113        6.6733393147893593E-009   1.6858715978234288E-008
  0.37689340189403564        6.9598639504136999E-009   1.7487258693080688E-008
  0.38099003921899044        7.2469710881013065E-009   1.8110480363804944E-008
  0.38510882052948553        7.5253234373905573E-009   1.8705257425466380E-008
  0.38924974582552091        7.7846230935269747E-009   1.9246584607568339E-008
  0.39341281510709664        8.0160891626807680E-009   1.9713717993073328E-008
  0.39759802837421271        8.2158955121096234E-009   2.0098472319367970E-008
  0.40180538562686896        8.3847760592995855E-009   2.0403930845762798E-008
  0.40603488686506556        8.5288142227928064E-009   2.0646062193299452E-008
  0.41028653208880245        8.6618706475976998E-009   2.0859232028521935E-008
  0.41456032129807963        8.8093959810942992E-009   2.1104862037996695E-008
  0.41885625449289710        9.0159465993611773E-009   2.1488647416520420E-008
  0.42317433167325491        9.3616122945286935E-009   2.2198378100471610E-008
  0.42751455283915302        9.9808496337333967E-009   2.3546280484635143E-008
  0.43187691799059130        1.1116518848704581E-008   2.6092702565649180E-008
  0.43626142712757005        1.3407714470833388E-008   3.1312056832955856E-008
  0.44066808025008902        1.9865187795749933E-008   4.6160141344183169E-008
