 #   q  dGamma/dq   dGamma/dE1 
   2.7679981925370382E-006   8.9018721352554612E-011   8.2533203514733965E-008
   2.4911983732833341E-005   7.9944219395119985E-010   2.4706610133662004E-007
   6.9199954813425955E-005   2.2110976440866558E-009   4.1000133247839733E-007
   1.3563191143431489E-004   4.3056780811654661E-009   5.7028357942557445E-007
   2.2420785359550006E-004   7.0559210312464011E-009   7.2687302626724860E-007
   3.3492778129698159E-004   1.0425867613847028E-008   8.7875310283779063E-007
   4.6779169453875936E-004   1.4371241374834778E-008   1.0249396212797239E-006
   6.2279959332083360E-004   1.8839968550858631E-008   1.1644913451864437E-006
   7.9995147764320388E-004   2.3772874176519592E-008   1.2965226882677062E-006
   9.9924734750587085E-004   2.9104591494060177E-008   1.4202188013433798E-006
   1.2206872029088339E-003   3.4764716490190370E-008   1.5348528604949027E-006
   1.4642710438520930E-003   4.0679238524146019E-008   1.6398054647213244E-006
   1.7299988703356488E-003   4.6772273918533144E-008   1.7345859583297190E-006
   2.0178706823595007E-003   5.2968121234618541E-008   1.8188553229266428E-006
   2.3278864799236489E-003   5.9193651157386548E-008   1.8924502945010632E-006
   2.6600462630280929E-003   6.5381030278725189E-008   1.9554081310481025E-006
   3.0143500316728348E-003   7.1470772386500471E-008   2.0079915751547501E-006
   3.3907977858578715E-003   7.7414866898840274E-008   2.0507073015488844E-006
   3.7893895255832052E-003   8.3172195676930935E-008   2.0841251441945027E-006
   4.2101252508488342E-003   8.8703461379407843E-008   2.1087413337308430E-006
   4.6530049616547598E-003   9.3976191965754447E-008   2.1251096177221501E-006
   5.1180286580009837E-003   9.8965095861752091E-008   2.1338355425271173E-006
   5.6051963398875025E-003   1.0365182291425624E-007   2.1355600173573243E-006
   6.1145080073143170E-003   1.0802449170087955E-007   2.1309424657521301E-006
   6.6459636602814297E-003   1.1207699137166168E-007   2.1206438370721216E-006
   7.1995632987888348E-003   1.1580806878968593E-007   2.1053097121732077E-006
   7.7753069228365399E-003   1.1922021387234032E-007   2.0855537040765732E-006
   8.3731945324245390E-003   1.2231835811645739E-007   2.0619413311195742E-006
   8.9932261275528381E-003   1.2510839866004526E-007   2.0349744474650026E-006
   9.6354017082214312E-003   1.2759556145818270E-007   2.0050763120764114E-006
   1.0299721274430318E-002   1.2978261673595895E-007   1.9725773496900581E-006
   1.0986184826179505E-002   1.3166796058635813E-007   1.9377016540944734E-006
   1.1694792363468985E-002   1.3324357965775256E-007   1.9005543155306126E-006
   1.2425543886298764E-002   1.3449292284171540E-007   1.8611097308841061E-006
   1.3178439394668836E-002   1.3538933519611329E-007   1.8192095015724358E-006
   1.3953478888579209E-002   1.3591916708386458E-007   1.7748829048385499E-006
   1.4750662368029877E-002   1.3609739482317682E-007   1.7285195764792933E-006
   1.5569989833020839E-002   1.3594326450461463E-007   1.6805203737434107E-006
   1.6411461283552097E-002   1.3547791977328606E-007   1.6312673545155122E-006
   1.7275076719623653E-002   1.3472391248020204E-007   1.5811204139846828E-006
   1.8160836141235506E-002   1.3370470066098747E-007   1.5304142745303965E-006
   1.9068739548387656E-002   1.3244413946921429E-007   1.4794558321058697E-006
   1.9998786941080097E-002   1.3096597068993362E-007   1.4285218617630485E-006
   2.0950978319312842E-002   1.2929331893685339E-007   1.3778571108833927E-006
   2.1925313683085874E-002   1.2744819436764095E-007   1.3276727174027437E-006
   2.2921793032399211E-002   1.2545100906315481E-007   1.2781449758354880E-006
   2.3940416367252845E-002   1.2332011352256542E-007   1.2294144630626198E-006
   2.4981183687646766E-002   1.2107134477040888E-007   1.1815853878722416E-006
   2.6044094993580992E-002   1.1871760093123988E-007   1.1347252739515905E-006
   2.7129150285055512E-002   1.1626844035330050E-007   1.0888649112081303E-006
   2.8236349562070325E-002   1.1372970152200708E-007   1.0439985037174600E-006
   2.9365692824625436E-002   1.1110333291420168E-007   1.0000856901956561E-006
   3.0517180072720848E-002   1.0839659761162496E-007   9.5713611217892855E-007
   3.1690811306356551E-002   1.0562833216881831E-007   9.1525897332959416E-007
   3.2886586525532543E-002   1.0281724925098182E-007   8.7455440857051921E-007
   3.4104505730248841E-002   9.9980676710921704E-008   8.3510376903760124E-007
   3.5344568920505443E-002   9.7134377386991056E-008   7.9696980583685236E-007
   3.6606776096302328E-002   9.4292387405356745E-008   7.6019698381101944E-007
   3.7891127257639504E-002   9.1466871329315441E-008   7.2481189662625877E-007
   3.9197622404517005E-002   8.8667992979215795E-008   6.9082376209304437E-007
   4.0526261536934775E-002   8.5903805053901279E-008   6.5822501242817314E-007
   4.1877044654892844E-002   8.3180151435134099E-008   6.2699192253148333E-007
   4.3249971758391223E-002   8.0500578720872093E-008   5.9708524639984012E-007
   4.4645042847429886E-002   7.7866261940229982E-008   5.6845089693876260E-007
   4.6062257922008847E-002   7.5275942629895793E-008   5.4102065137958250E-007
   4.7501616982128098E-002   7.2725880155852382E-008   5.1471288582105971E-007
   4.8963120027787667E-002   7.0209821012925224E-008   4.8943336882017369E-007
   5.0446767058987520E-002   6.7718983748575813E-008   4.6507609174470267E-007
   5.1952558075727663E-002   6.5242183304462021E-008   4.4152496990071088E-007
   5.3480493078008118E-002   6.2774235640012532E-008   4.1871062713528690E-007
   5.5030572065828856E-002   6.0322666988186034E-008   3.9665119983003242E-007
   5.6602795039189878E-002   5.7895646392951267E-008   3.7536797742623992E-007
   5.8197161998091239E-002   5.5500626230132990E-008   3.5487649232835687E-007
   5.9813672942532863E-002   5.3144310270670578E-008   3.3518671011078461E-007
   6.1452327872514777E-002   5.0832627957123123E-008   3.1630324306759525E-007
   6.3113126788036988E-002   4.8570713388354941E-008   2.9822557569977286E-007
   6.4796069689099525E-002   4.6362896095348940E-008   2.8094834396866758E-007
   6.6501156575702339E-002   4.4212699954535941E-008   2.6446164160500085E-007
   6.8228387447845443E-002   4.2122848075245428E-008   2.4875133828516162E-007
   6.9977762305528865E-002   4.0095271817506444E-008   2.3379939787866812E-007
   7.1749281148752564E-002   3.8131126763688180E-008   2.1958421302012341E-007
   7.3542943977516553E-002   3.6230813889320298E-008   2.0608094462305185E-007
   7.5358750791820847E-002   3.4394008734503501E-008   1.9326188165758973E-007
   7.7196701591665459E-002   3.2619707225734670E-008   1.8109686751503390E-007
   7.9056796377050348E-002   3.0906279043442247E-008   1.6955373749421276E-007
   8.0939035147975513E-002   2.9251537540728837E-008   1.5859881532599508E-007
   8.2843417904441011E-002   2.7654647208174684E-008   1.4820722306272857E-007
   8.4769944646446785E-002   2.6117885143592852E-008   1.3837171052678866E-007
   8.6718615373992863E-002   2.4643504126222583E-008   1.2908522784898543E-007
   8.8689430087079246E-002   2.3233330676662090E-008   1.2033883239849663E-007
   9.0682388785705906E-002   2.1888793535412909E-008   1.1212193923224583E-007
   9.2697491469872870E-002   2.0610941707617302E-008   1.0442250225992258E-007
   9.4734738139580110E-002   1.9400454541980368E-008   9.7227143736349475E-008
   9.6794128794827683E-002   1.8257682402838399E-008   9.0521427124725781E-008
   9.8875663435615532E-002   1.7182679896798299E-008   8.4290076111478714E-008
  0.10097934206194367        1.6175234089893283E-008   7.8517155544189321E-008
  0.10310516467381214        1.5234902082174728E-008   7.3186286071274166E-008
  0.10525313127122086        1.4361059226998063E-008   6.8280896184188328E-008
  0.10742324185416992        1.3552937928442939E-008   6.3784414564522065E-008
  0.10961549642265922        1.2809664655652931E-008   5.9680442524875974E-008
  0.11182989497668885        1.2130293834693892E-008   5.5952901751818645E-008
  0.11406643751625881        1.1513848906717274E-008   5.2586206045315122E-008
  0.11632512404136904        1.0959389214602394E-008   4.9565539818423249E-008
  0.11860595455201955        1.0466772544126688E-008   4.6880236259602115E-008
  0.12090892904821036        1.0037416719116104E-008   4.4526957336912346E-008
  0.12323404752994145        9.6728817146527009E-009   4.2503116198451611E-008
  0.12558130999721287        9.3746905295695002E-009   4.0806062201215543E-008
  0.12795071645002457        9.1443604781740568E-009   3.9433218817401786E-008
  0.13034226688837661        8.9834206507330220E-009   3.8382154819835727E-008
  0.13275596131226891        8.8934616626287828E-009   3.7650788262073969E-008
  0.13519179972170148        8.8761568312563379E-009   3.7237459515656356E-008
  0.13764978211667434        8.9332858335403108E-009   3.7141010690523723E-008
  0.14012990849718754        9.0667898197809492E-009   3.7360990439934615E-008
  0.14263217886324100        9.2788275091271484E-009   3.7897851947985327E-008
  0.14515659321483476        9.5717863111390451E-009   3.8752958457930505E-008
  0.14770315155196892        9.9483321571551818E-009   3.9928743879448746E-008
  0.15027185387464329        1.0411537251442293E-008   4.1429175179591194E-008
  0.15286270018285794        1.0965011655483205E-008   4.3260206285138168E-008
  0.15547569047661289        1.1612943748855118E-008   4.5429852527649569E-008
  0.15811082475590812        1.2360143828635784E-008   4.7948273525869882E-008
  0.16076810302074368        1.3212058396960033E-008   5.0827739176414076E-008
  0.16344752527111958        1.4174650409022572E-008   5.4082085908232902E-008
  0.16614909150703572        1.5254408045476901E-008   5.7726685939578788E-008
  0.16887280172849214        1.6458289889036584E-008   6.1778179314051309E-008
  0.17161865593548889        1.7793841312482755E-008   6.6254856351315028E-008
  0.17438665412802593        1.9269061976342220E-008   7.1176102461688279E-008
  0.17717679630610325        2.0892339789265110E-008   7.6562112852987010E-008
  0.17998908246972087        2.2672608184177548E-008   8.2434432607856295E-008
  0.18282351261887883        2.4619271407312489E-008   8.8815634634741584E-008
  0.18568008675357708        2.6742109816217072E-008   9.5728940978026663E-008
  0.18855880487381557        2.9051609299860789E-008   1.0319936813845053E-007
  0.19145966697959438        3.1559775494385779E-008   1.1125652916801088E-007
  0.19438267307091348        3.4280269595090511E-008   1.1993493537486660E-007
  0.19732782314777286        3.7228311216495954E-008   1.2927347555441903E-007
  0.20029511721017257        4.0420417139117735E-008   1.3931435281338820E-007
  0.20328455525811262        4.3874807441447184E-008   1.5010435172794444E-007
  0.20629613729159293        4.7610706016404786E-008   1.6169229498508396E-007
  0.20932986331061351        5.1649286858082929E-008   1.7413215961276612E-007
  0.21238573331517438        5.6012664793689709E-008   1.8747951279011621E-007
  0.21546374730527554        6.0722977578060656E-008   2.0178840456287943E-007
  0.21856390528091704        6.5803544517552230E-008   2.1711524465095481E-007
  0.22168620724209886        7.1278194210164796E-008   2.3351651665800474E-007
  0.22483065318882095        7.7169914138632772E-008   2.5104438241896866E-007
  0.22799724312108330        8.3501486343134110E-008   2.6974888610473501E-007
  0.23118597703888596        9.0298136548623924E-008   2.8968652619463133E-007
  0.23439685494222889        9.7586792550852815E-008   3.1091767085000233E-007
  0.23762987683111214        1.0539420987276691E-007   3.3350049482930514E-007
  0.24088504270553571        1.1374666472139095E-007   3.5749008884655449E-007
  0.24416235256549962        1.2266791669436284E-007   3.8293220359604406E-007
  0.24746180641100377        1.3218086878646568E-007   4.0986870950437072E-007
  0.25078340424204820        1.4230558109035564E-007   4.3833160741665454E-007
  0.25412714605863290        1.5305571712799162E-007   4.6833248051772460E-007
  0.25749303186075795        1.6443977346375115E-007   4.9986690156307571E-007
  0.26088106164842323        1.7645792749991967E-007   5.3290543468905572E-007
  0.26429123542162886        1.8909955625090984E-007   5.6738699991693320E-007
  0.26772355318037488        2.0234832032305072E-007   6.0323504686424325E-007
  0.27117801492466109        2.1619054042194102E-007   6.4038286124768177E-007
  0.27465462065448759        2.3060909950320045E-007   6.7875530473263208E-007
  0.27815337036985438        2.4557780052226232E-007   7.1825257852993864E-007
  0.28167426407076152        2.6105217424628766E-007   7.5872428019654745E-007
  0.28521730175720889        2.7696957372867604E-007   7.9997125294406171E-007
  0.28878248342919660        2.9324352093428047E-007   8.4173086752428055E-007
  0.29236980908672466        3.0975431373233606E-007   8.8365217931003202E-007
  0.29597927872979296        3.2635126139075787E-007   9.2530496737673852E-007
  0.29961089235840155        3.4285229573423149E-007   9.6618104833341634E-007
  0.30326464997255043        3.5903387908246511E-007   1.0056683634125606E-006
  0.30694055157223959        3.7462900002506433E-007   1.0430485176526888E-006
  0.31063859715746905        3.8933599493780168E-007   1.0775243684977616E-006
  0.31435878672823886        4.0283444961711640E-007   1.1082661106231256E-006
  0.31810112028454895        4.1479713520317236E-007   1.1344448834611006E-006
  0.32186559782639929        4.2490134554063250E-007   1.1552635686270309E-006
  0.32565221935378996        4.3283745502452662E-007   1.1699789967312860E-006
  0.32946098486672093        4.3831500506499899E-007   1.1779167402528283E-006
  0.33329189436519219        4.4107856612439559E-007   1.1785115140556264E-006
  0.33714494784920374        4.4092127669803681E-007   1.1713400154044749E-006
  0.34102014531875563        4.3769652700245228E-007   1.1561477406071318E-006
  0.34491748677384776        4.3132958840194919E-007   1.1328747475258564E-006
  0.34883697221448023        4.2182946062517666E-007   1.1016811160399946E-006
  0.35277860164065294        4.0930175026974377E-007   1.0629742309940837E-006
  0.35674237505236595        3.9395663641172449E-007   1.0174224652622040E-006
  0.36072829244961935        3.7609980576682429E-007   9.6592466923745886E-007
  0.36473635383241287        3.5610617495952387E-007   9.0953670519952019E-007
  0.36876655920074691        3.3437846847481936E-007   8.4936192858478131E-007
  0.37281890855462113        3.1132373986747404E-007   7.8649057992237084E-007
  0.37689340189403564        2.8732320878826347E-007   7.2192435317758444E-007
  0.38099003921899044        2.6271859071183117E-007   6.5654461987645427E-007
  0.38510882052948553        2.3780689035738446E-007   5.9110271321799604E-007
  0.38924974582552091        2.1285535642110127E-007   5.2626036961755242E-007
  0.39341281510709664        1.8816054614689042E-007   4.6273736093548720E-007
  0.39759802837421271        1.6407039269286155E-007   4.0136394640181883E-007
  0.40180538562686896        1.4089356036735508E-007   3.4285739321092392E-007
  0.40603488686506556        1.1886983614371388E-007   2.8775325218970389E-007
  0.41028653208880245        9.8176131497209059E-008   2.3642453112953457E-007
  0.41456032129807963        7.8962271653810114E-008   1.8917163594835582E-007
  0.41885625449289710        6.1385902511679719E-008   1.4630743437542599E-007
  0.42317433167325491        4.5562851060797594E-008   1.0803923120958285E-007
  0.42751455283915302        3.1551059830057393E-008   7.4433553415647058E-008
  0.43187691799059130        1.9453690593974450E-008   4.5661719228937708E-008
  0.43626142712757005        9.5895743683399815E-009   2.2395263434234985E-008
  0.44066808025008902        2.4496756354330653E-009   5.6922378354351323E-009
