 #     E1  dGamma/dq   dGamma/dE1 
  0.2784088E-05  0.3212882E-08  0.2970185E-05
  0.2505679E-04  0.2885371E-07  0.8891379E-05
  0.6960220E-04  0.7980405E-07  0.1475515E-04
  0.1364203E-03  0.1554041E-06  0.2052358E-04
  0.2255111E-03  0.2546714E-06  0.2615932E-04
  0.3368746E-03  0.3763104E-06  0.3162585E-04
  0.4705109E-03  0.5187263E-06  0.3688788E-04
  0.6264198E-03  0.6800448E-06  0.4191168E-04
  0.8046014E-03  0.8581374E-06  0.4666558E-04
  0.1005056E-02  0.1050656E-05  0.5112055E-04
  0.1227783E-02  0.1255073E-05  0.5525079E-04
  0.1472783E-02  0.1468739E-05  0.5903445E-04
  0.1740055E-02  0.1688941E-05  0.6245441E-04
  0.2029600E-02  0.1912980E-05  0.6549912E-04
  0.2341418E-02  0.2138262E-05  0.6816346E-04
  0.2675509E-02  0.2362391E-05  0.7044966E-04
  0.3031872E-02  0.2583291E-05  0.7236825E-04
  0.3410508E-02  0.2799310E-05  0.7393868E-04
  0.3811416E-02  0.3009057E-05  0.7518262E-04
  0.4234598E-02  0.3211207E-05  0.7611890E-04
  0.4680052E-02  0.3404686E-05  0.7676831E-04
  0.5147779E-02  0.3588681E-05  0.7715342E-04
  0.5637778E-02  0.3762633E-05  0.7729797E-04
  0.6150050E-02  0.3926212E-05  0.7722620E-04
  0.6684595E-02  0.4079295E-05  0.7696227E-04
  0.7241413E-02  0.4221926E-05  0.7652956E-04
  0.7820503E-02  0.4354273E-05  0.7595013E-04
  0.8421866E-02  0.4476576E-05  0.7524402E-04
  0.9045502E-02  0.4589092E-05  0.7442874E-04
  0.9691410E-02  0.4692028E-05  0.7351862E-04
  0.1035959E-01  0.4785471E-05  0.7252432E-04
  0.1105005E-01  0.4869313E-05  0.7145225E-04
  0.1176277E-01  0.4943165E-05  0.7030407E-04
  0.1249777E-01  0.5006273E-05  0.6907621E-04
  0.1325504E-01  0.5057455E-05  0.6775974E-04
  0.1403459E-01  0.5096020E-05  0.6635315E-04
  0.1483640E-01  0.5122411E-05  0.6486947E-04
  0.1566049E-01  0.5137232E-05  0.6332230E-04
  0.1650686E-01  0.5141158E-05  0.6172470E-04
  0.1737549E-01  0.5134916E-05  0.6008901E-04
  0.1826640E-01  0.5119273E-05  0.5842680E-04
  0.1917958E-01  0.5095016E-05  0.5674874E-04
  0.2011504E-01  0.5062935E-05  0.5506457E-04
  0.2107276E-01  0.5023808E-05  0.5338295E-04
  0.2205276E-01  0.4978380E-05  0.5171146E-04
  0.2305503E-01  0.4927351E-05  0.5005655E-04
  0.2407958E-01  0.4871356E-05  0.4842345E-04
  0.2512639E-01  0.4810950E-05  0.4681618E-04
  0.2619548E-01  0.4746591E-05  0.4523753E-04
  0.2728685E-01  0.4678626E-05  0.4368898E-04
  0.2840048E-01  0.4607276E-05  0.4217078E-04
  0.2953639E-01  0.4532625E-05  0.4068191E-04
  0.3069457E-01  0.4454933E-05  0.3922299E-04
  0.3187502E-01  0.4374850E-05  0.3779794E-04
  0.3307775E-01  0.4293026E-05  0.3641043E-04
  0.3430275E-01  0.4210063E-05  0.3506343E-04
  0.3555002E-01  0.4126514E-05  0.3375932E-04
  0.3681956E-01  0.4042872E-05  0.3249982E-04
  0.3811138E-01  0.3959564E-05  0.3128602E-04
  0.3942547E-01  0.3876951E-05  0.3011841E-04
  0.4076183E-01  0.3795313E-05  0.2899686E-04
  0.4212047E-01  0.3714855E-05  0.2792065E-04
  0.4350137E-01  0.3635692E-05  0.2688846E-04
  0.4490456E-01  0.3557851E-05  0.2589840E-04
  0.4633001E-01  0.3481263E-05  0.2494801E-04
  0.4777773E-01  0.3405757E-05  0.2403428E-04
  0.4924773E-01  0.3331060E-05  0.2315366E-04
  0.5074000E-01  0.3256789E-05  0.2230204E-04
  0.5225455E-01  0.3182452E-05  0.2147484E-04
  0.5379136E-01  0.3107781E-05  0.2066924E-04
  0.5535045E-01  0.3033020E-05  0.1988588E-04
  0.5693182E-01  0.2958440E-05  0.1912562E-04
  0.5853545E-01  0.2884297E-05  0.1838911E-04
  0.6016136E-01  0.2810820E-05  0.1767684E-04
  0.6180954E-01  0.2738217E-05  0.1698910E-04
  0.6347999E-01  0.2666671E-05  0.1632605E-04
  0.6517272E-01  0.2596337E-05  0.1568767E-04
  0.6688771E-01  0.2527346E-05  0.1507377E-04
  0.6862498E-01  0.2459802E-05  0.1448402E-04
  0.7038453E-01  0.2393778E-05  0.1391796E-04
  0.7216634E-01  0.2329323E-05  0.1337496E-04
  0.7397043E-01  0.2266453E-05  0.1285428E-04
  0.7579680E-01  0.2205158E-05  0.1235505E-04
  0.7764543E-01  0.2145397E-05  0.1187627E-04
  0.7951634E-01  0.2087099E-05  0.1141682E-04
  0.8140952E-01  0.2030164E-05  0.1097548E-04
  0.8332497E-01  0.1974538E-05  0.1055135E-04
  0.8526269E-01  0.1920297E-05  0.1014423E-04
  0.8722269E-01  0.1867516E-05  0.9753933E-05
  0.8920496E-01  0.1816259E-05  0.9380230E-05
  0.9120951E-01  0.1766577E-05  0.9022830E-05
  0.9323632E-01  0.1718508E-05  0.8681389E-05
  0.9528541E-01  0.1672075E-05  0.8355505E-05
  0.9735677E-01  0.1627283E-05  0.8044705E-05
  0.9945041E-01  0.1584119E-05  0.7748448E-05
  0.1015663E+00  0.1542555E-05  0.7466139E-05
  0.1037045E+00  0.1502551E-05  0.7197153E-05
  0.1058649E+00  0.1464059E-05  0.6940852E-05
  0.1080477E+00  0.1427024E-05  0.6696593E-05
  0.1102527E+00  0.1391384E-05  0.6463722E-05
  0.1124799E+00  0.1357066E-05  0.6241566E-05
  0.1147295E+00  0.1323985E-05  0.6029425E-05
  0.1170013E+00  0.1292040E-05  0.5826540E-05
  0.1192954E+00  0.1261157E-05  0.5632321E-05
  0.1216117E+00  0.1231360E-05  0.5446624E-05
  0.1239504E+00  0.1202674E-05  0.5269315E-05
  0.1263113E+00  0.1175112E-05  0.5100216E-05
  0.1286945E+00  0.1148680E-05  0.4939120E-05
  0.1310999E+00  0.1123379E-05  0.4785809E-05
