 #     E1  dGamma/dq   dGamma/dE1 
  0.2784088E-05  0.3051458E-10  0.2820955E-07
  0.2505679E-04  0.2741017E-09  0.8446549E-07
  0.6960220E-04  0.7584861E-09  0.1402382E-06
  0.1364203E-03  0.1478238E-08  0.1952248E-06
  0.2255111E-03  0.2425571E-08  0.2491496E-06
  0.3368746E-03  0.3590761E-08  0.3017745E-06
  0.4705109E-03  0.4962693E-08  0.3529091E-06
  0.6264198E-03  0.6529543E-08  0.4024207E-06
  0.8046014E-03  0.8279558E-08  0.4502430E-06
  0.1005056E-02  0.1020191E-07  0.4963830E-06
  0.1227783E-02  0.1228758E-07  0.5409233E-06
  0.1472783E-02  0.1453006E-07  0.5840207E-06
  0.1740055E-02  0.1692598E-07  0.6258966E-06
  0.2029600E-02  0.1947520E-07  0.6668174E-06
  0.2341418E-02  0.2218034E-07  0.7070645E-06
  0.2675509E-02  0.2504548E-07  0.7468896E-06
  0.3031872E-02  0.2807369E-07  0.7864559E-06
  0.3410508E-02  0.3126347E-07  0.8257677E-06
  0.3811416E-02  0.3460713E-07  0.8646745E-06
  0.4234598E-02  0.3809186E-07  0.9029346E-06
  0.4680052E-02  0.4169756E-07  0.9401898E-06
  0.5147779E-02  0.4539611E-07  0.9759757E-06
  0.5637778E-02  0.4915131E-07  0.1009744E-05
  0.6150050E-02  0.5291963E-07  0.1040897E-05
  0.6684595E-02  0.5665186E-07  0.1068826E-05
  0.7241413E-02  0.6029560E-07  0.1092960E-05
  0.7820503E-02  0.6379855E-07  0.1112817E-05
  0.8421866E-02  0.6711249E-07  0.1128053E-05
  0.9045502E-02  0.7019759E-07  0.1138508E-05
  0.9691410E-02  0.7302692E-07  0.1144247E-05
  0.1035959E-01  0.7559069E-07  0.1145585E-05
  0.1105005E-01  0.7790006E-07  0.1143105E-05
  0.1176277E-01  0.7999032E-07  0.1137661E-05
  0.1249777E-01  0.8192362E-07  0.1130376E-05
  0.1325504E-01  0.8379067E-07  0.1122627E-05
  0.1403459E-01  0.8566615E-07  0.1115423E-05
  0.1483640E-01  0.8757722E-07  0.1109065E-05
  0.1566049E-01  0.8954827E-07  0.1103786E-05
  0.1650686E-01  0.9160425E-07  0.1099800E-05
  0.1737549E-01  0.9377026E-07  0.1097304E-05
  0.1826640E-01  0.9607110E-07  0.1096469E-05
  0.1917958E-01  0.9853054E-07  0.1097442E-05
  0.2011504E-01  0.1011705E-06  0.1100332E-05
  0.2107276E-01  0.1040098E-06  0.1105207E-05
  0.2205276E-01  0.1070628E-06  0.1112084E-05
  0.2305503E-01  0.1103376E-06  0.1120911E-05
  0.2407958E-01  0.1138338E-06  0.1131558E-05
  0.2512639E-01  0.1175396E-06  0.1143798E-05
  0.2619548E-01  0.1214295E-06  0.1157288E-05
  0.2728685E-01  0.1254606E-06  0.1171551E-05
  0.2840048E-01  0.1295692E-06  0.1185957E-05
  0.2953639E-01  0.1336681E-06  0.1199718E-05
  0.3069457E-01  0.1376846E-06  0.1212230E-05
  0.3187502E-01  0.1415948E-06  0.1223355E-05
  0.3307775E-01  0.1453804E-06  0.1233015E-05
  0.3430275E-01  0.1490254E-06  0.1241155E-05
  0.3555002E-01  0.1525164E-06  0.1247748E-05
  0.3681956E-01  0.1558437E-06  0.1252796E-05
  0.3811138E-01  0.1590017E-06  0.1256333E-05
  0.3942547E-01  0.1619893E-06  0.1258427E-05
  0.4076183E-01  0.1648108E-06  0.1259184E-05
  0.4212047E-01  0.1674763E-06  0.1258743E-05
  0.4350137E-01  0.1700023E-06  0.1257284E-05
  0.4490456E-01  0.1724118E-06  0.1255024E-05
  0.4633001E-01  0.1747351E-06  0.1252216E-05
