 #     E1  dGamma/dq   dGamma/dE1 
  0.2784088E-05  0.1993998E-11  0.1843374E-08
  0.2505679E-04  0.1795921E-10  0.5534199E-08
  0.6960220E-04  0.4996094E-10  0.9237392E-08
  0.1364203E-03  0.9814590E-10  0.1296173E-07
  0.2255111E-03  0.1627450E-09  0.1671683E-07
  0.3368746E-03  0.2440872E-09  0.2051356E-07
  0.4705109E-03  0.3426158E-09  0.2436424E-07
  0.6264198E-03  0.4588948E-09  0.2828203E-07
  0.8046014E-03  0.5936041E-09  0.3228024E-07
  0.1005056E-02  0.7475356E-09  0.3637199E-07
  0.1227783E-02  0.9215863E-09  0.4057004E-07
  0.1472783E-02  0.1116750E-08  0.4488663E-07
  0.1740055E-02  0.1334109E-08  0.4933329E-07
  0.2029600E-02  0.1574820E-08  0.5392075E-07
  0.2341418E-02  0.1840100E-08  0.5865867E-07
  0.2675509E-02  0.2131207E-08  0.6355542E-07
  0.3031872E-02  0.2449408E-08  0.6861766E-07
  0.3410508E-02  0.2795945E-08  0.7384981E-07
  0.3811416E-02  0.3171890E-08  0.7925107E-07
  0.4234598E-02  0.3578021E-08  0.8481390E-07
  0.4680052E-02  0.4014847E-08  0.9052611E-07
  0.5147779E-02  0.4482566E-08  0.9637113E-07
  0.5637778E-02  0.4981033E-08  0.1023283E-06
  0.6150050E-02  0.5509735E-08  0.1083731E-06
  0.6684595E-02  0.6067777E-08  0.1144781E-06
  0.7241413E-02  0.6653876E-08  0.1206128E-06
  0.7820503E-02  0.7266371E-08  0.1267449E-06
  0.8421866E-02  0.7903226E-08  0.1328405E-06
  0.9045502E-02  0.8562050E-08  0.1388646E-06
  0.9691410E-02  0.9240094E-08  0.1447815E-06
  0.1035959E-01  0.9934252E-08  0.1505546E-06
  0.1105005E-01  0.1064104E-07  0.1561465E-06
  0.1176277E-01  0.1135655E-07  0.1615183E-06
  0.1249777E-01  0.1207641E-07  0.1666295E-06
  0.1325504E-01  0.1279573E-07  0.1714370E-06
  0.1403459E-01  0.1350912E-07  0.1758967E-06
  0.1483640E-01  0.1421105E-07  0.1799666E-06
  0.1566049E-01  0.1489588E-07  0.1836088E-06
  0.1650686E-01  0.1555802E-07  0.1867894E-06
  0.1737549E-01  0.1619200E-07  0.1894794E-06
  0.1826640E-01  0.1679255E-07  0.1916551E-06
  0.1917958E-01  0.1735468E-07  0.1932980E-06
  0.2011504E-01  0.1787378E-07  0.1943955E-06
  0.2107276E-01  0.1834567E-07  0.1949409E-06
  0.2205276E-01  0.1876666E-07  0.1949332E-06
  0.2305503E-01  0.1913360E-07  0.1943767E-06
  0.2407958E-01  0.1944396E-07  0.1932817E-06
  0.2512639E-01  0.1969580E-07  0.1916632E-06
  0.2619548E-01  0.1988776E-07  0.1895409E-06
  0.2728685E-01  0.2001916E-07  0.1869388E-06
  0.2840048E-01  0.2008991E-07  0.1838846E-06
  0.2953639E-01  0.2010044E-07  0.1804086E-06
  0.3069457E-01  0.2005181E-07  0.1765440E-06
  0.3187502E-01  0.1994573E-07  0.1723276E-06
  0.3307775E-01  0.1978443E-07  0.1677976E-06
  0.3430275E-01  0.1957061E-07  0.1629934E-06
  0.3555002E-01  0.1930738E-07  0.1579551E-06
  0.3681956E-01  0.1899828E-07  0.1527232E-06
  0.3811138E-01  0.1864720E-07  0.1473386E-06
  0.3942547E-01  0.1825837E-07  0.1418416E-06
  0.4076183E-01  0.1783628E-07  0.1362724E-06
  0.4212047E-01  0.1738575E-07  0.1306704E-06
  0.4350137E-01  0.1691171E-07  0.1250738E-06
  0.4490456E-01  0.1641919E-07  0.1195190E-06
