 #     E1  dGamma/dq   dGamma/dE1 
  0.2784088E-05  0.3436194E-11  0.3176629E-08
  0.2505679E-04  0.3088664E-10  0.9517835E-08
  0.6960220E-04  0.8557619E-10  0.1582238E-07
  0.1364203E-03  0.1670813E-09  0.2206575E-07
  0.2255111E-03  0.2747811E-09  0.2822494E-07
  0.3368746E-03  0.4078902E-09  0.3427989E-07
  0.4705109E-03  0.5655096E-09  0.4021475E-07
  0.6264198E-03  0.7466946E-09  0.4601935E-07
  0.8046014E-03  0.9505368E-09  0.5169027E-07
  0.1005056E-02  0.1176254E-08  0.5723165E-07
  0.1227783E-02  0.1423278E-08  0.6265552E-07
  0.1472783E-02  0.1691335E-08  0.6798147E-07
  0.1740055E-02  0.1980487E-08  0.7323534E-07
  0.2029600E-02  0.2291132E-08  0.7844677E-07
  0.2341418E-02  0.2623920E-08  0.8364527E-07
  0.2675509E-02  0.2979564E-08  0.8885458E-07
  0.3031872E-02  0.3358510E-08  0.9408523E-07
  0.3410508E-02  0.3760462E-08  0.9932577E-07
  0.3811416E-02  0.4184331E-08  0.1045474E-06
  0.4234598E-02  0.4628478E-08  0.1097141E-06
  0.4680052E-02  0.5090357E-08  0.1147766E-06
  0.5147779E-02  0.5566415E-08  0.1196729E-06
  0.5637778E-02  0.6052086E-08  0.1243315E-06
  0.6150050E-02  0.6541890E-08  0.1286750E-06
  0.6684595E-02  0.7029630E-08  0.1326249E-06
  0.7241413E-02  0.7508690E-08  0.1361077E-06
  0.7820503E-02  0.7972440E-08  0.1390606E-06
  0.8421866E-02  0.8414716E-08  0.1414378E-06
  0.9045502E-02  0.8830347E-08  0.1432160E-06
  0.9691410E-02  0.9215715E-08  0.1443995E-06
  0.1035959E-01  0.9569282E-08  0.1450235E-06
  0.1105005E-01  0.9892080E-08  0.1451563E-06
  0.1176277E-01  0.1018812E-07  0.1449004E-06
  0.1249777E-01  0.1046479E-07  0.1443925E-06
  0.1325504E-01  0.1073307E-07  0.1438016E-06
  0.1403459E-01  0.1100195E-07  0.1432518E-06
  0.1483640E-01  0.1127444E-07  0.1427778E-06
  0.1566049E-01  0.1155322E-07  0.1424067E-06
  0.1650686E-01  0.1184109E-07  0.1421640E-06
  0.1737549E-01  0.1214094E-07  0.1420738E-06
  0.1826640E-01  0.1245567E-07  0.1421579E-06
  0.1917958E-01  0.1278811E-07  0.1424352E-06
  0.2011504E-01  0.1314094E-07  0.1429211E-06
  0.2107276E-01  0.1351649E-07  0.1436262E-06
  0.2205276E-01  0.1391664E-07  0.1445550E-06
  0.2305503E-01  0.1434253E-07  0.1457045E-06
  0.2407958E-01  0.1479432E-07  0.1470622E-06
  0.2512639E-01  0.1527092E-07  0.1486040E-06
  0.2619548E-01  0.1576959E-07  0.1502925E-06
  0.2728685E-01  0.1628561E-07  0.1520749E-06
  0.2840048E-01  0.1681190E-07  0.1538807E-06
  0.2953639E-01  0.1733874E-07  0.1556213E-06
  0.3069457E-01  0.1785784E-07  0.1572275E-06
  0.3187502E-01  0.1836604E-07  0.1586794E-06
  0.3307775E-01  0.1886083E-07  0.1599643E-06
  0.3430275E-01  0.1934003E-07  0.1610731E-06
  0.3555002E-01  0.1980189E-07  0.1620007E-06
  0.3681956E-01  0.2024514E-07  0.1627465E-06
  0.3811138E-01  0.2066913E-07  0.1633146E-06
  0.3942547E-01  0.2107390E-07  0.1637143E-06
  0.4076183E-01  0.2146029E-07  0.1639604E-06
  0.4212047E-01  0.2183005E-07  0.1640734E-06
  0.4350137E-01  0.2218584E-07  0.1640796E-06
  0.4490456E-01  0.2253132E-07  0.1640105E-06
  0.4633001E-01  0.2287113E-07  0.1639030E-06
  0.4777773E-01  0.2321093E-07  0.1637985E-06
  0.4924773E-01  0.2355735E-07  0.1637433E-06
  0.5074000E-01  0.2391804E-07  0.1637875E-06
  0.5225455E-01  0.2430164E-07  0.1639849E-06
  0.5379136E-01  0.2471495E-07  0.1643742E-06
  0.5535045E-01  0.2516052E-07  0.1649640E-06
  0.5693182E-01  0.2564056E-07  0.1657602E-06
  0.5853545E-01  0.2615738E-07  0.1667689E-06
  0.6016136E-01  0.2671338E-07  0.1679965E-06
  0.6180954E-01  0.2731102E-07  0.1694496E-06
  0.6347999E-01  0.2795294E-07  0.1711352E-06
  0.6517272E-01  0.2864187E-07  0.1730608E-06
  0.6688771E-01  0.2938064E-07  0.1752340E-06
  0.6862498E-01  0.3017224E-07  0.1776629E-06
  0.7038453E-01  0.3101980E-07  0.1803560E-06
  0.7216634E-01  0.3192667E-07  0.1833228E-06
  0.7397043E-01  0.3289631E-07  0.1865728E-06
  0.7579680E-01  0.3393226E-07  0.1901155E-06
  0.7764543E-01  0.3503823E-07  0.1939610E-06
  0.7951634E-01  0.3621816E-07  0.1981201E-06
  0.8140952E-01  0.3747636E-07  0.2026049E-06
  0.8332497E-01  0.3881830E-07  0.2074336E-06
  0.8526269E-01  0.4025138E-07  0.2126334E-06
  0.8722269E-01  0.4178385E-07  0.2182348E-06
  0.8920496E-01  0.4342463E-07  0.2242704E-06
  0.9120951E-01  0.4518322E-07  0.2307743E-06
  0.9323632E-01  0.4706912E-07  0.2377791E-06
  0.9528541E-01  0.4909045E-07  0.2453093E-06
  0.9735677E-01  0.5125143E-07  0.2533688E-06
  0.9945041E-01  0.5354663E-07  0.2619142E-06
  0.1015663E+00  0.5595012E-07  0.2708049E-06
  0.1037045E+00  0.5839732E-07  0.2797205E-06
  0.1058649E+00  0.6075964E-07  0.2880510E-06
  0.1080477E+00  0.6282498E-07  0.2948186E-06
  0.1102527E+00  0.6431894E-07  0.2987959E-06
  0.1124799E+00  0.6500157E-07  0.2989624E-06
  0.1147295E+00  0.6483675E-07  0.2952664E-06
  0.1170013E+00  0.6400888E-07  0.2886524E-06
  0.1192954E+00  0.6276828E-07  0.2803230E-06
  0.1216117E+00  0.6132708E-07  0.2712656E-06
  0.1239504E+00  0.5982316E-07  0.2621052E-06
  0.1263113E+00  0.5833202E-07  0.2531723E-06
  0.1286945E+00  0.5688957E-07  0.2446149E-06
