 #     E1  dGamma/dq   dGamma/dE1 
  0.2784088E-05  0.2913288E-10  0.2693222E-07
  0.2505679E-04  0.2618457E-09  0.8068874E-07
  0.6960220E-04  0.7254117E-09  0.1341230E-06
  0.1364203E-03  0.1416151E-08  0.1870253E-06
  0.2255111E-03  0.2328644E-08  0.2391935E-06
  0.3368746E-03  0.3455850E-08  0.2904363E-06
  0.4705109E-03  0.4789274E-08  0.3405769E-06
  0.6264198E-03  0.6319188E-08  0.3894564E-06
  0.8046014E-03  0.8034895E-08  0.4369382E-06
  0.1005056E-02  0.9925049E-08  0.4829118E-06
  0.1227783E-02  0.1197801E-07  0.5272957E-06
  0.1472783E-02  0.1418225E-07  0.5700408E-06
  0.1740055E-02  0.1652670E-07  0.6111317E-06
  0.2029600E-02  0.1900119E-07  0.6505875E-06
  0.2341418E-02  0.2159672E-07  0.6884597E-06
  0.2675509E-02  0.2430569E-07  0.7248281E-06
  0.3031872E-02  0.2712194E-07  0.7597936E-06
  0.3410508E-02  0.3004060E-07  0.7934678E-06
  0.3811416E-02  0.3305704E-07  0.8259448E-06
  0.4234598E-02  0.3616628E-07  0.8572906E-06
  0.4680052E-02  0.3936329E-07  0.8875570E-06
  0.5147779E-02  0.4264275E-07  0.9167809E-06
  0.5637778E-02  0.4599897E-07  0.9449838E-06
  0.6150050E-02  0.4942570E-07  0.9721735E-06
  0.6684595E-02  0.5291622E-07  0.9983470E-06
  0.7241413E-02  0.5646342E-07  0.1023495E-05
  0.7820503E-02  0.6006009E-07  0.1047608E-05
  0.8421866E-02  0.6369930E-07  0.1070683E-05
  0.9045502E-02  0.6737487E-07  0.1092728E-05
  0.9691410E-02  0.7108198E-07  0.1113772E-05
  0.1035959E-01  0.7481777E-07  0.1133871E-05
  0.1105005E-01  0.7858202E-07  0.1153112E-05
  0.1176277E-01  0.8237794E-07  0.1171619E-05
  0.1249777E-01  0.8621290E-07  0.1189560E-05
  0.1325504E-01  0.9009938E-07  0.1207151E-05
  0.1403459E-01  0.9404972E-07  0.1224582E-05
  0.1483640E-01  0.9807120E-07  0.1241959E-05
  0.1566049E-01  0.1021711E-06  0.1259377E-05
  0.1650686E-01  0.1063570E-06  0.1276922E-05
  0.1737549E-01  0.1106367E-06  0.1294675E-05
  0.1826640E-01  0.1150176E-06  0.1312708E-05
  0.1917958E-01  0.1195072E-06  0.1331082E-05
  0.2011504E-01  0.1241121E-06  0.1349846E-05
  0.2107276E-01  0.1288380E-06  0.1369032E-05
  0.2205276E-01  0.1336893E-06  0.1388658E-05
  0.2305503E-01  0.1386685E-06  0.1408722E-05
  0.2407958E-01  0.1437759E-06  0.1429196E-05
  0.2512639E-01  0.1490088E-06  0.1450030E-05
  0.2619548E-01  0.1543610E-06  0.1471142E-05
  0.2728685E-01  0.1598222E-06  0.1492418E-05
  0.2840048E-01  0.1653770E-06  0.1513710E-05
  0.2953639E-01  0.1710050E-06  0.1534830E-05
  0.3069457E-01  0.1766880E-06  0.1555630E-05
  0.3187502E-01  0.1824179E-06  0.1576059E-05
  0.3307775E-01  0.1881876E-06  0.1596075E-05
  0.3430275E-01  0.1939896E-06  0.1615639E-05
  0.3555002E-01  0.1998170E-06  0.1634718E-05
  0.3681956E-01  0.2056631E-06  0.1653284E-05
  0.3811138E-01  0.2115220E-06  0.1671315E-05
  0.3942547E-01  0.2173884E-06  0.1688800E-05
  0.4076183E-01  0.2232586E-06  0.1705735E-05
  0.4212047E-01  0.2291301E-06  0.1722130E-05
  0.4350137E-01  0.2350024E-06  0.1738005E-05
  0.4490456E-01  0.2408765E-06  0.1753394E-05
  0.4633001E-01  0.2467557E-06  0.1768342E-05
  0.4777773E-01  0.2526452E-06  0.1782906E-05
  0.4924773E-01  0.2585533E-06  0.1797162E-05
  0.5074000E-01  0.2644911E-06  0.1811198E-05
  0.5225455E-01  0.2704729E-06  0.1825122E-05
  0.5379136E-01  0.2765103E-06  0.1839015E-05
  0.5535045E-01  0.2826051E-06  0.1852890E-05
  0.5693182E-01  0.2887582E-06  0.1866754E-05
  0.5853545E-01  0.2949705E-06  0.1880613E-05
  0.6016136E-01  0.3012432E-06  0.1894474E-05
  0.6180954E-01  0.3075776E-06  0.1908346E-05
  0.6347999E-01  0.3139754E-06  0.1922240E-05
  0.6517272E-01  0.3204389E-06  0.1936166E-05
  0.6688771E-01  0.3269704E-06  0.1950139E-05
  0.6862498E-01  0.3335732E-06  0.1964175E-05
  0.7038453E-01  0.3402513E-06  0.1978297E-05
  0.7216634E-01  0.3470099E-06  0.1992529E-05
  0.7397043E-01  0.3538548E-06  0.2006902E-05
  0.7579680E-01  0.3607922E-06  0.2021445E-05
  0.7764543E-01  0.3678291E-06  0.2036190E-05
  0.7951634E-01  0.3749725E-06  0.2051169E-05
  0.8140952E-01  0.3822298E-06  0.2066413E-05
