 #     E1  dGamma/dq   dGamma/dE1 
  0.2784088E-05  0.2392540E-10  0.2211811E-07
  0.2505679E-04  0.2150274E-09  0.6626150E-07
  0.6960220E-04  0.5956298E-09  0.1101273E-06
  0.1364203E-03  0.1162559E-08  0.1535344E-06
  0.2255111E-03  0.1911131E-08  0.1963075E-06
  0.3368746E-03  0.2835258E-08  0.2382806E-06
  0.4705109E-03  0.3927584E-08  0.2793000E-06
  0.6264198E-03  0.5179679E-08  0.3192276E-06
  0.8046014E-03  0.6582271E-08  0.3579445E-06
  0.1005056E-02  0.8125521E-08  0.3953542E-06
  0.1227783E-02  0.9799335E-08  0.4313860E-06
  0.1472783E-02  0.1159370E-07  0.4659968E-06
  0.1740055E-02  0.1349902E-07  0.4991728E-06
  0.2029600E-02  0.1550644E-07  0.5309299E-06
  0.2341418E-02  0.1760812E-07  0.5613114E-06
  0.2675509E-02  0.1979737E-07  0.5903841E-06
  0.3031872E-02  0.2206869E-07  0.6182318E-06
  0.3410508E-02  0.2441757E-07  0.6449456E-06
  0.3811416E-02  0.2683965E-07  0.6706006E-06
  0.4234598E-02  0.2933024E-07  0.6952481E-06
  0.4680052E-02  0.3188451E-07  0.7189267E-06
  0.5147779E-02  0.3449735E-07  0.7416621E-06
  0.5637778E-02  0.3716325E-07  0.7634665E-06
  0.6150050E-02  0.3987624E-07  0.7843413E-06
  0.6684595E-02  0.4262990E-07  0.8042794E-06
  0.7241413E-02  0.4541755E-07  0.8232701E-06
  0.7820503E-02  0.4823253E-07  0.8413040E-06
  0.8421866E-02  0.5106852E-07  0.8583796E-06
  0.9045502E-02  0.5392006E-07  0.8745090E-06
  0.9691410E-02  0.5678302E-07  0.8897239E-06
  0.1035959E-01  0.5965521E-07  0.9040810E-06
  0.1105005E-01  0.6253694E-07  0.9176664E-06
  0.1176277E-01  0.6543160E-07  0.9305998E-06
  0.1249777E-01  0.6834636E-07  0.9430384E-06
  0.1325504E-01  0.7129279E-07  0.9551802E-06
  0.1403459E-01  0.7428220E-07  0.9671975E-06
  0.1483640E-01  0.7732133E-07  0.9791861E-06
  0.1566049E-01  0.8041697E-07  0.9912317E-06
  0.1650686E-01  0.8357624E-07  0.1003416E-05
  0.1737549E-01  0.8680643E-07  0.1015813E-05
  0.1826640E-01  0.9011484E-07  0.1028490E-05
  0.1917958E-01  0.9350856E-07  0.1041507E-05
  0.2011504E-01  0.9699426E-07  0.1054911E-05
  0.2107276E-01  0.1005778E-06  0.1068739E-05
  0.2205276E-01  0.1042640E-06  0.1083012E-05
  0.2305503E-01  0.1080562E-06  0.1097734E-05
  0.2407958E-01  0.1119557E-06  0.1112890E-05
  0.2512639E-01  0.1159615E-06  0.1128442E-05
  0.2619548E-01  0.1200694E-06  0.1144325E-05
  0.2728685E-01  0.1242716E-06  0.1160448E-05
  0.2840048E-01  0.1285561E-06  0.1176685E-05
  0.2953639E-01  0.1329061E-06  0.1192879E-05
  0.3069457E-01  0.1373070E-06  0.1208905E-05
  0.3187502E-01  0.1417530E-06  0.1224722E-05
  0.3307775E-01  0.1462390E-06  0.1240296E-05
  0.3430275E-01  0.1507597E-06  0.1255600E-05
  0.3555002E-01  0.1553104E-06  0.1270606E-05
  0.3681956E-01  0.1598863E-06  0.1285293E-05
  0.3811138E-01  0.1644835E-06  0.1299646E-05
  0.3942547E-01  0.1690987E-06  0.1313657E-05
  0.4076183E-01  0.1737298E-06  0.1327327E-05
  0.4212047E-01  0.1783760E-06  0.1340664E-05
  0.4350137E-01  0.1830378E-06  0.1353691E-05
  0.4490456E-01  0.1877174E-06  0.1366437E-05
  0.4633001E-01  0.1924186E-06  0.1378942E-05
  0.4777773E-01  0.1971470E-06  0.1391258E-05
