 #     E1  dGamma/dq   dGamma/dE1 
  0.2784088E-05  0.1150542E-08  0.1063632E-05
  0.2505679E-04  0.1032961E-07  0.3183107E-05
  0.6960220E-04  0.2855321E-07  0.5279269E-05
  0.1364203E-03  0.5555363E-07  0.7336741E-05
  0.2255111E-03  0.9093266E-07  0.9340415E-05
  0.3368746E-03  0.1341660E-06  0.1127557E-04
  0.4705109E-03  0.1846097E-06  0.1312804E-04
  0.6264198E-03  0.2415086E-06  0.1488436E-04
  0.8046014E-03  0.3040080E-06  0.1653198E-04
  0.1005056E-02  0.3711681E-06  0.1805951E-04
  0.1227783E-02  0.4419829E-06  0.1945696E-04
  0.1472783E-02  0.5154020E-06  0.2071605E-04
  0.1740055E-02  0.5903582E-06  0.2183053E-04
  0.2029600E-02  0.6657985E-06  0.2279648E-04
  0.2341418E-02  0.7407204E-06  0.2361267E-04
  0.2675509E-02  0.8142123E-06  0.2428090E-04
  0.3031872E-02  0.8854976E-06  0.2480631E-04
  0.3410508E-02  0.9539793E-06  0.2519763E-04
  0.3811416E-02  0.1019170E-05  0.2546441E-04
  0.4234598E-02  0.1080614E-05  0.2561501E-04
  0.4680052E-02  0.1137960E-05  0.2565854E-04
  0.5147779E-02  0.1190966E-05  0.2560471E-04
  0.5637778E-02  0.1239492E-05  0.2546361E-04
  0.6150050E-02  0.1283487E-05  0.2524541E-04
  0.6684595E-02  0.1322983E-05  0.2496015E-04
  0.7241413E-02  0.1358076E-05  0.2461742E-04
  0.7820503E-02  0.1388904E-05  0.2422620E-04
  0.8421866E-02  0.1415636E-05  0.2379456E-04
  0.9045502E-02  0.1438439E-05  0.2332950E-04
  0.9691410E-02  0.1457462E-05  0.2283674E-04
  0.1035959E-01  0.1472807E-05  0.2232054E-04
  0.1105005E-01  0.1484500E-05  0.2178354E-04
  0.1176277E-01  0.1492471E-05  0.2122664E-04
  0.1249777E-01  0.1496517E-05  0.2064883E-04
  0.1325504E-01  0.1496291E-05  0.2004730E-04
  0.1403459E-01  0.1491638E-05  0.1942200E-04
  0.1483640E-01  0.1482811E-05  0.1877811E-04
  0.1566049E-01  0.1470121E-05  0.1812093E-04
  0.1650686E-01  0.1453896E-05  0.1745547E-04
  0.1737549E-01  0.1434481E-05  0.1678635E-04
  0.1826640E-01  0.1412225E-05  0.1611787E-04
  0.1917958E-01  0.1387479E-05  0.1545386E-04
  0.2011504E-01  0.1360587E-05  0.1479777E-04
  0.2107276E-01  0.1331881E-05  0.1415256E-04
  0.2205276E-01  0.1301674E-05  0.1352076E-04
  0.2305503E-01  0.1270257E-05  0.1290443E-04
  0.2407958E-01  0.1237889E-05  0.1230517E-04
  0.2512639E-01  0.1204801E-05  0.1172412E-04
  0.2619548E-01  0.1171183E-05  0.1116199E-04
  0.2728685E-01  0.1137189E-05  0.1061907E-04
  0.2840048E-01  0.1102930E-05  0.1009521E-04
  0.2953639E-01  0.1068475E-05  0.9589945E-05
  0.3069457E-01  0.1033947E-05  0.9103281E-05
  0.3187502E-01  0.9995800E-06  0.8636197E-05
  0.3307775E-01  0.9655965E-06  0.8189511E-05
  0.3430275E-01  0.9321974E-06  0.7763788E-05
  0.3555002E-01  0.8995581E-06  0.7359351E-05
  0.3681956E-01  0.8678288E-06  0.6976298E-05
  0.3811138E-01  0.8371335E-06  0.6614510E-05
  0.3942547E-01  0.8075700E-06  0.6273675E-05
  0.4076183E-01  0.7792101E-06  0.5953302E-05
  0.4212047E-01  0.7520999E-06  0.5652743E-05
  0.4350137E-01  0.7262610E-06  0.5371202E-05
  0.4490456E-01  0.7016905E-06  0.5107762E-05
  0.4633001E-01  0.6783638E-06  0.4861404E-05
  0.4777773E-01  0.6562354E-06  0.4631025E-05
  0.4924773E-01  0.6352422E-06  0.4415466E-05
  0.5074000E-01  0.6153060E-06  0.4213531E-05
  0.5225455E-01  0.5963373E-06  0.4024020E-05
  0.5379136E-01  0.5783040E-06  0.3846185E-05
  0.5535045E-01  0.5612762E-06  0.3679987E-05
  0.5693182E-01  0.5453237E-06  0.3525390E-05
  0.5853545E-01  0.5305056E-06  0.3382289E-05
  0.6016136E-01  0.5168706E-06  0.3250523E-05
  0.6180954E-01  0.5044574E-06  0.3129875E-05
  0.6347999E-01  0.4932948E-06  0.3020079E-05
  0.6517272E-01  0.4834025E-06  0.2920830E-05
  0.6688771E-01  0.4747916E-06  0.2831784E-05
  0.6862498E-01  0.4674659E-06  0.2752575E-05
  0.7038453E-01  0.4614229E-06  0.2682815E-05
  0.7216634E-01  0.4566546E-06  0.2622109E-05
  0.7397043E-01  0.4531494E-06  0.2570056E-05
  0.7579680E-01  0.4508925E-06  0.2526259E-05
  0.7764543E-01  0.4498679E-06  0.2490333E-05
  0.7951634E-01  0.4500590E-06  0.2461907E-05
  0.8140952E-01  0.4514501E-06  0.2440633E-05
  0.8332497E-01  0.4540303E-06  0.2426205E-05
  0.8526269E-01  0.4577939E-06  0.2418359E-05
  0.8722269E-01  0.4627307E-06  0.2416817E-05
  0.8920496E-01  0.4688264E-06  0.2421296E-05
  0.9120951E-01  0.4760627E-06  0.2431501E-05
  0.9323632E-01  0.4844155E-06  0.2447123E-05
  0.9528541E-01  0.4938523E-06  0.2467824E-05
  0.9735677E-01  0.5043263E-06  0.2493209E-05
  0.9945041E-01  0.5157584E-06  0.2522745E-05
  0.1015663E+00  0.5280035E-06  0.2555596E-05
  0.1037045E+00  0.5407915E-06  0.2590367E-05
  0.1058649E+00  0.5536497E-06  0.2624758E-05
  0.1080477E+00  0.5658441E-06  0.2655335E-05
  0.1102527E+00  0.5764524E-06  0.2677930E-05
  0.1124799E+00  0.5846693E-06  0.2689076E-05
  0.1147295E+00  0.5903297E-06  0.2688359E-05
  0.1170013E+00  0.5939568E-06  0.2678488E-05
  0.1192954E+00  0.5962772E-06  0.2662972E-05
  0.1216117E+00  0.5978926E-06  0.2644635E-05
  0.1239504E+00  0.5991869E-06  0.2625238E-05
  0.1263113E+00  0.6003632E-06  0.2605693E-05
  0.1286945E+00  0.6015072E-06  0.2586373E-05
  0.1310999E+00  0.6026362E-06  0.2567345E-05
  0.1335276E+00  0.6037297E-06  0.2548515E-05
  0.1359776E+00  0.6047530E-06  0.2529732E-05
  0.1384499E+00  0.6056718E-06  0.2510853E-05
  0.1409445E+00  0.6064590E-06  0.2491769E-05
  0.1434613E+00  0.6070956E-06  0.2472407E-05
  0.1460004E+00  0.6075664E-06  0.2452715E-05
  0.1485617E+00  0.6078615E-06  0.2432660E-05
  0.1511454E+00  0.6079741E-06  0.2412226E-05
  0.1537513E+00  0.6079002E-06  0.2391405E-05
  0.1563794E+00  0.6076388E-06  0.2370205E-05
  0.1590299E+00  0.6071958E-06  0.2348657E-05
  0.1617026E+00  0.6065763E-06  0.2326790E-05
  0.1643976E+00  0.6057697E-06  0.2304571E-05
  0.1671149E+00  0.6047665E-06  0.2281973E-05
  0.1698544E+00  0.6035608E-06  0.2258982E-05
  0.1726162E+00  0.6021499E-06  0.2235600E-05
  0.1754003E+00  0.6005321E-06  0.2211828E-05
  0.1782067E+00  0.5987074E-06  0.2187676E-05
  0.1810353E+00  0.5966790E-06  0.2163163E-05
  0.1838862E+00  0.5944511E-06  0.2138316E-05
  0.1867594E+00  0.5920258E-06  0.2113147E-05
  0.1896549E+00  0.5894037E-06  0.2087667E-05
  0.1925726E+00  0.5865828E-06  0.2061875E-05
  0.1955126E+00  0.5835554E-06  0.2035753E-05
  0.1984748E+00  0.5803092E-06  0.2009264E-05
  0.2014594E+00  0.5768264E-06  0.1982356E-05
  0.2044662E+00  0.5730829E-06  0.1954956E-05
  0.2074953E+00  0.5690502E-06  0.1926978E-05
  0.2105467E+00  0.5646994E-06  0.1898337E-05
  0.2136203E+00  0.5600086E-06  0.1868976E-05
  0.2167162E+00  0.5549598E-06  0.1838849E-05
  0.2198344E+00  0.5495356E-06  0.1807916E-05
  0.2229748E+00  0.5437210E-06  0.1776145E-05
  0.2261375E+00  0.5375063E-06  0.1743522E-05
  0.2293225E+00  0.5308905E-06  0.1710062E-05
  0.2325298E+00  0.5238807E-06  0.1675804E-05
  0.2357594E+00  0.5164919E-06  0.1640814E-05
  0.2390112E+00  0.5087475E-06  0.1605179E-05
  0.2422853E+00  0.5006789E-06  0.1569011E-05
  0.2455816E+00  0.4923213E-06  0.1532431E-05
  0.2489003E+00  0.4837157E-06  0.1495573E-05
  0.2522412E+00  0.4749064E-06  0.1458580E-05
  0.2556043E+00  0.4659415E-06  0.1421600E-05
  0.2589898E+00  0.4568761E-06  0.1384801E-05
  0.2623975E+00  0.4477697E-06  0.1348358E-05
  0.2658275E+00  0.4386737E-06  0.1312417E-05
  0.2692798E+00  0.4296009E-06  0.1277008E-05
  0.2727543E+00  0.4205480E-06  0.1242110E-05
  0.2762511E+00  0.4115059E-06  0.1207687E-05
  0.2797702E+00  0.4024642E-06  0.1173699E-05
  0.2833116E+00  0.3934178E-06  0.1140124E-05
  0.2868752E+00  0.3843677E-06  0.1106957E-05
  0.2904611E+00  0.3753241E-06  0.1074219E-05
  0.2940693E+00  0.3663097E-06  0.1041967E-05
  0.2976997E+00  0.3573537E-06  0.1010274E-05
  0.3013525E+00  0.3484872E-06  0.9792188E-06
  0.3050275E+00  0.3397409E-06  0.9488742E-06
  0.3087247E+00  0.3311391E-06  0.9192952E-06
  0.3124443E+00  0.3226950E-06  0.8905047E-06
  0.3161861E+00  0.3144079E-06  0.8624865E-06
  0.3199502E+00  0.3062664E-06  0.8351962E-06
  0.3237365E+00  0.2982521E-06  0.8085706E-06
  0.3275452E+00  0.2903512E-06  0.7825611E-06
  0.3313761E+00  0.2825857E-06  0.7572162E-06
  0.3352293E+00  0.2749935E-06  0.7326251E-06
  0.3391047E+00  0.2676232E-06  0.7089034E-06
  0.3430024E+00  0.2605406E-06  0.6862100E-06
  0.3469224E+00  0.2538308E-06  0.6647500E-06
  0.3508647E+00  0.2475928E-06  0.6447604E-06
  0.3548292E+00  0.2419300E-06  0.6264844E-06
  0.3588160E+00  0.2369374E-06  0.6101378E-06
  0.3628251E+00  0.2326853E-06  0.5958687E-06
  0.3668565E+00  0.2292077E-06  0.5837290E-06
  0.3709101E+00  0.2265036E-06  0.5736817E-06
  0.3749860E+00  0.2245542E-06  0.5656449E-06
  0.3790842E+00  0.2233519E-06  0.5595670E-06
  0.3832047E+00  0.2229315E-06  0.5555029E-06
  0.3873474E+00  0.2233868E-06  0.5536528E-06
  0.3915124E+00  0.2248524E-06  0.5543130E-06
  0.3956996E+00  0.2274299E-06  0.5576928E-06
  0.3999092E+00  0.2311456E-06  0.5638132E-06
  0.4041410E+00  0.2360043E-06  0.5726428E-06
  0.4083951E+00  0.2420252E-06  0.5841852E-06
  0.4126714E+00  0.2493095E-06  0.5986416E-06
  0.4169701E+00  0.2582127E-06  0.6168156E-06
  0.4212910E+00  0.2696819E-06  0.6409011E-06
  0.4256342E+00  0.2856552E-06  0.6753892E-06
  0.4299996E+00  0.3100151E-06  0.7292544E-06
  0.4343873E+00  0.3511898E-06  0.8219276E-06
  0.4387973E+00  0.4326221E-06  0.1007412E-05
  0.4432296E+00  0.6755217E-06  0.1565147E-05
