 #     E1  dGamma/dq   dGamma/dE1 
  0.2784088E-05  0.1055385E-08  0.9756622E-06
  0.2505679E-04  0.9475384E-08  0.2919875E-05
  0.6960220E-04  0.2619255E-07  0.4842800E-05
  0.1364203E-03  0.5096241E-07  0.6730397E-05
  0.2255111E-03  0.8342134E-07  0.8568868E-05
  0.3368746E-03  0.1230906E-06  0.1034477E-04
  0.4705109E-03  0.1693820E-06  0.1204516E-04
  0.6264198E-03  0.2216060E-06  0.1365775E-04
  0.8046014E-03  0.2789819E-06  0.1517106E-04
  0.1005056E-02  0.3406514E-06  0.1657469E-04
  0.1227783E-02  0.4056950E-06  0.1785949E-04
  0.1472783E-02  0.4731533E-06  0.1901791E-04
  0.1740055E-02  0.5420507E-06  0.2004420E-04
  0.2029600E-02  0.6114245E-06  0.2093475E-04
  0.2341418E-02  0.6803575E-06  0.2168842E-04
  0.2675509E-02  0.7480152E-06  0.2230681E-04
  0.3031872E-02  0.8136859E-06  0.2279458E-04
  0.3410508E-02  0.8768215E-06  0.2315965E-04
  0.3811416E-02  0.9369729E-06  0.2341068E-04
  0.4234598E-02  0.9937209E-06  0.2355530E-04
  0.4680052E-02  0.1046742E-05  0.2360176E-04
  0.5147779E-02  0.1095809E-05  0.2355891E-04
  0.5637778E-02  0.1140791E-05  0.2343594E-04
  0.6150050E-02  0.1181638E-05  0.2324211E-04
  0.6684595E-02  0.1218376E-05  0.2298656E-04
  0.7241413E-02  0.1251086E-05  0.2267805E-04
  0.7820503E-02  0.1279893E-05  0.2232476E-04
  0.8421866E-02  0.1304947E-05  0.2193406E-04
  0.9045502E-02  0.1326399E-05  0.2151236E-04
  0.9691410E-02  0.1344381E-05  0.2106488E-04
  0.1035959E-01  0.1358983E-05  0.2059553E-04
  0.1105005E-01  0.1370230E-05  0.2010674E-04
  0.1176277E-01  0.1378053E-05  0.1959934E-04
  0.1249777E-01  0.1382269E-05  0.1907246E-04
  0.1325504E-01  0.1382560E-05  0.1852353E-04
  0.1403459E-01  0.1378783E-05  0.1795256E-04
  0.1483640E-01  0.1371168E-05  0.1736427E-04
  0.1566049E-01  0.1359997E-05  0.1676354E-04
  0.1650686E-01  0.1345572E-05  0.1615492E-04
  0.1737549E-01  0.1328204E-05  0.1554270E-04
  0.1826640E-01  0.1308214E-05  0.1493078E-04
  0.1917958E-01  0.1285921E-05  0.1432271E-04
  0.2011504E-01  0.1261641E-05  0.1372163E-04
  0.2107276E-01  0.1235676E-05  0.1313028E-04
  0.2205276E-01  0.1208313E-05  0.1255099E-04
  0.2305503E-01  0.1179817E-05  0.1198566E-04
  0.2407958E-01  0.1150428E-05  0.1143577E-04
  0.2512639E-01  0.1120356E-05  0.1090238E-04
  0.2619548E-01  0.1089778E-05  0.1038616E-04
  0.2728685E-01  0.1058833E-05  0.9887377E-05
  0.2840048E-01  0.1027625E-05  0.9405935E-05
  0.2953639E-01  0.9962177E-06  0.8941406E-05
  0.3069457E-01  0.9647248E-06  0.8493817E-05
  0.3187502E-01  0.9333616E-06  0.8064081E-05
  0.3307775E-01  0.9023338E-06  0.7652961E-05
  0.3430275E-01  0.8718261E-06  0.7260987E-05
  0.3555002E-01  0.8420009E-06  0.6888472E-05
  0.3681956E-01  0.8129970E-06  0.6535516E-05
  0.3811138E-01  0.7849294E-06  0.6202025E-05
