 #     E1  dGamma/dq   dGamma/dE1 
  0.2784088E-05  0.1107342E-08  0.1023695E-05
  0.2505679E-04  0.9941810E-08  0.3063607E-05
  0.6960220E-04  0.2748156E-07  0.5081128E-05
  0.1364203E-03  0.5346948E-07  0.7061496E-05
  0.2255111E-03  0.8752317E-07  0.8990199E-05
  0.3368746E-03  0.1291391E-06  0.1085310E-04
  0.4705109E-03  0.1776988E-06  0.1263659E-04
  0.6264198E-03  0.2324771E-06  0.1432774E-04
  0.8046014E-03  0.2926531E-06  0.1591450E-04
  0.1005056E-02  0.3573242E-06  0.1738592E-04
  0.1227783E-02  0.4255239E-06  0.1873240E-04
  0.1472783E-02  0.4962434E-06  0.1994599E-04
  0.1740055E-02  0.5684572E-06  0.2102067E-04
  0.2029600E-02  0.6411538E-06  0.2195266E-04
  0.2341418E-02  0.7133694E-06  0.2274078E-04
  0.2675509E-02  0.7842277E-06  0.2338672E-04
  0.3031872E-02  0.8529816E-06  0.2389541E-04
  0.3410508E-02  0.9190564E-06  0.2427520E-04
  0.3811416E-02  0.9819819E-06  0.2453525E-04
  0.4234598E-02  0.1041319E-05  0.2468357E-04
  0.4680052E-02  0.1096729E-05  0.2472888E-04
  0.5147779E-02  0.1147978E-05  0.2468049E-04
  0.5637778E-02  0.1194927E-05  0.2454808E-04
  0.6150050E-02  0.1237527E-05  0.2434141E-04
  0.6684595E-02  0.1275807E-05  0.2407009E-04
  0.7241413E-02  0.1309856E-05  0.2374335E-04
  0.7820503E-02  0.1339806E-05  0.2336980E-04
  0.8421866E-02  0.1365817E-05  0.2295718E-04
  0.9045502E-02  0.1388048E-05  0.2251222E-04
  0.9691410E-02  0.1406640E-05  0.2204042E-04
  0.1035959E-01  0.1421690E-05  0.2154587E-04
  0.1105005E-01  0.1433225E-05  0.2103112E-04
  0.1176277E-01  0.1441172E-05  0.2049705E-04
  0.1249777E-01  0.1445341E-05  0.1994271E-04
  0.1325504E-01  0.1445396E-05  0.1936541E-04
  0.1403459E-01  0.1441189E-05  0.1876512E-04
  0.1483640E-01  0.1432963E-05  0.1814684E-04
  0.1566049E-01  0.1421015E-05  0.1751565E-04
  0.1650686E-01  0.1405661E-05  0.1687636E-04
