 #     E1  dGamma/dq   dGamma/dE1 
  0.2784088E-05  0.2337530E-10  0.2160957E-07
  0.2505679E-04  0.2100777E-09  0.6473624E-07
  0.6960220E-04  0.5818866E-09  0.1075863E-06
  0.1364203E-03  0.1135637E-08  0.1499789E-06
  0.2255111E-03  0.1866656E-08  0.1917390E-06
  0.3368746E-03  0.2768861E-08  0.2327005E-06
  0.4705109E-03  0.3834903E-08  0.2727092E-06
  0.6264198E-03  0.5056346E-08  0.3116265E-06
  0.8046014E-03  0.6423907E-08  0.3493326E-06
  0.1005056E-02  0.7927721E-08  0.3857301E-06
  0.1227783E-02  0.9557656E-08  0.4207468E-06
  0.1472783E-02  0.1130364E-07  0.4543382E-06
  0.1740055E-02  0.1315601E-07  0.4864887E-06
  0.2029600E-02  0.1510580E-07  0.5172122E-06
  0.2341418E-02  0.1714506E-07  0.5465498E-06
  0.2675509E-02  0.1926695E-07  0.5745662E-06
  0.3031872E-02  0.2146581E-07  0.6013428E-06
  0.3410508E-02  0.2373696E-07  0.6269686E-06
  0.3811416E-02  0.2607586E-07  0.6515169E-06
  0.4234598E-02  0.2847764E-07  0.6750380E-06
  0.4680052E-02  0.3093732E-07  0.6975696E-06
  0.5147779E-02  0.3344963E-07  0.7191371E-06
  0.5637778E-02  0.3600896E-07  0.7397532E-06
  0.6150050E-02  0.3860922E-07  0.7594198E-06
  0.6684595E-02  0.4124395E-07  0.7781314E-06
  0.7241413E-02  0.4390646E-07  0.7958790E-06
  0.7820503E-02  0.4659011E-07  0.8126558E-06
  0.8421866E-02  0.4928866E-07  0.8284630E-06
  0.9045502E-02  0.5199676E-07  0.8433157E-06
  0.9691410E-02  0.5471042E-07  0.8572487E-06
  0.1035959E-01  0.5742761E-07  0.8703214E-06
  0.1105005E-01  0.6014875E-07  0.8826222E-06
  0.1176277E-01  0.6287736E-07  0.8942722E-06
  0.1249777E-01  0.6562058E-07  0.9054282E-06
  0.1325504E-01  0.6838986E-07  0.9162867E-06
  0.1403459E-01  0.7119635E-07  0.9270179E-06
  0.1483640E-01  0.7404680E-07  0.9377179E-06
  0.1566049E-01  0.7694803E-07  0.9484731E-06
  0.1650686E-01  0.7990718E-07  0.9593650E-06
  0.1737549E-01  0.8293160E-07  0.9704692E-06
  0.1826640E-01  0.8602867E-07  0.9818541E-06
  0.1917958E-01  0.8920556E-07  0.9935794E-06
  0.2011504E-01  0.9246905E-07  0.1005695E-05
  0.2107276E-01  0.9582521E-07  0.1018238E-05
  0.2205276E-01  0.9927903E-07  0.1031232E-05
  0.2305503E-01  0.1028341E-06  0.1044683E-05
  0.2407958E-01  0.1064922E-06  0.1058579E-05
  0.2512639E-01  0.1102524E-06  0.1072886E-05
  0.2619548E-01  0.1141113E-06  0.1087541E-05
  0.2728685E-01  0.1180616E-06  0.1102459E-05
  0.2840048E-01  0.1220919E-06  0.1117517E-05
  0.2953639E-01  0.1261862E-06  0.1132566E-05
  0.3069457E-01  0.1303308E-06  0.1147484E-05
  0.3187502E-01  0.1345205E-06  0.1162234E-05
  0.3307775E-01  0.1387505E-06  0.1176784E-05
  0.3430275E-01  0.1430163E-06  0.1191108E-05
  0.3555002E-01  0.1473135E-06  0.1205183E-05
  0.3681956E-01  0.1516381E-06  0.1218987E-05
  0.3811138E-01  0.1559866E-06  0.1232509E-05
  0.3942547E-01  0.1603562E-06  0.1245741E-05
  0.4076183E-01  0.1647453E-06  0.1258683E-05
  0.4212047E-01  0.1691534E-06  0.1271348E-05
  0.4350137E-01  0.1735815E-06  0.1283755E-05
  0.4490456E-01  0.1780318E-06  0.1295933E-05
  0.4633001E-01  0.1825085E-06  0.1307923E-05
  0.4777773E-01  0.1870173E-06  0.1319773E-05
  0.4924773E-01  0.1915664E-06  0.1331547E-05
  0.5074000E-01  0.1961661E-06  0.1343319E-05
  0.5225455E-01  0.2008294E-06  0.1355176E-05
  0.5379136E-01  0.2055668E-06  0.1367184E-05
  0.5535045E-01  0.2103808E-06  0.1379354E-05
  0.5693182E-01  0.2152730E-06  0.1391690E-05
  0.5853545E-01  0.2202452E-06  0.1404194E-05
  0.6016136E-01  0.2252989E-06  0.1416872E-05
  0.6180954E-01  0.2304360E-06  0.1429726E-05
  0.6347999E-01  0.2356587E-06  0.1442764E-05
  0.6517272E-01  0.2409693E-06  0.1455992E-05
  0.6688771E-01  0.2463704E-06  0.1469419E-05
  0.6862498E-01  0.2518650E-06  0.1483054E-05
  0.7038453E-01  0.2574569E-06  0.1496912E-05
  0.7216634E-01  0.2631508E-06  0.1511011E-05
  0.7397043E-01  0.2689518E-06  0.1525371E-05
  0.7579680E-01  0.2748653E-06  0.1540014E-05
  0.7764543E-01  0.2808974E-06  0.1554963E-05
  0.7951634E-01  0.2870542E-06  0.1570240E-05
  0.8140952E-01  0.2933421E-06  0.1585868E-05
  0.8332497E-01  0.2997699E-06  0.1601883E-05
  0.8526269E-01  0.3063520E-06  0.1618346E-05
  0.8722269E-01  0.3131050E-06  0.1635330E-05
  0.8920496E-01  0.3200482E-06  0.1652918E-05
  0.9120951E-01  0.3272047E-06  0.1671205E-05
  0.9323632E-01  0.3345981E-06  0.1690290E-05
  0.9528541E-01  0.3422483E-06  0.1710245E-05
