,order,cutoff,rate,spec,decay type,particle,type,force
0,N4LO,2,1.5095101545401374e+16,FULL,TOTAL,3HE,CLOSURE,2NF
1,N4LO,1,1.9705042077994692e+16,FULL,TOTAL,3HE,CLOSURE,2NF
2,N4LO+,4,572195590730293.1,1NC,TOTAL,3HE,CLOSURE,2NF
3,N2LO,1,2.9076727560301656e+16,FULL,TOTAL,3HE,CLOSURE,2NF
4,N2LO,2,2.0266850592722644e+16,FULL,TOTAL,3HE,CLOSURE,2NF
5,N3LO,2,748393306058565.0,1NC,TOTAL,3HE,CLOSURE,2NF
6,N4LO+,1,856294812989981.9,1NC,TOTAL,3HE,CLOSURE,2NF
7,N3LO,1,863699542406541.2,1NC,TOTAL,3HE,CLOSURE,2NF
8,N4LO+,2,1.5997979757340818e+16,FULL,TOTAL,3HE,CLOSURE,2NF
9,N4LO+,2,692802199952510.9,1NC,TOTAL,3HE,CLOSURE,2NF
10,NLO,2,2.635819991906281e+16,FULL,TOTAL,3HE,CLOSURE,2NF
11,N4LO+,3,609909692019463.0,1NC,TOTAL,3HE,CLOSURE,2NF
12,N3LO,2,1.544689697588936e+16,FULL,TOTAL,3HE,CLOSURE,2NF
13,N3LO,1,1.9586169691926892e+16,FULL,TOTAL,3HE,CLOSURE,2NF
14,N4LO,2,780691782588466.0,1NC,TOTAL,3HE,CLOSURE,2NF
15,NLO,1,3.196740242783763e+16,FULL,TOTAL,3HE,CLOSURE,2NF
16,NLO,2,386177043760274.0,1NC,TOTAL,3HE,CLOSURE,2NF
17,NLO,1,581118366458724.0,1NC,TOTAL,3HE,CLOSURE,2NF
18,N4LO,1,926397535096702.2,1NC,TOTAL,3HE,CLOSURE,2NF
19,N4LO+,3,1.4023074703185322e+16,FULL,TOTAL,3HE,CLOSURE,2NF
20,N2LO,1,606663041439139.1,1NC,TOTAL,3HE,CLOSURE,2NF
21,N2LO,2,511782342696065.06,1NC,TOTAL,3HE,CLOSURE,2NF
22,N4LO,4,1.2522402919901656e+16,FULL,TOTAL,3HE,CLOSURE,2NF
23,N4LO+,4,1.402475028686869e+16,FULL,TOTAL,3HE,CLOSURE,2NF
24,N4LO,3,1.2836295410861956e+16,FULL,TOTAL,3HE,CLOSURE,2NF
25,N4LO+,1,2.0287668567145188e+16,FULL,TOTAL,3HE,CLOSURE,2NF
26,N4LO,3,702257647184241.0,1NC,TOTAL,3HE,CLOSURE,2NF
27,N4LO,4,648910108334720.0,1NC,TOTAL,3HE,CLOSURE,2NF
28,N4LO+,3,1000988600515903.9,FULL,TOTAL,3H,CLOSURE,3NF
29,N4LO,3,838965790779042.1,FULL,TOTAL,3H,CLOSURE,3NF
30,N2LO,1,2529508480130151.0,FULL,TOTAL,3H,CLOSURE,3NF
31,N4LO+,4,1059262225415252.1,FULL,TOTAL,3H,CLOSURE,3NF
32,N4LO+,2,1108737289038451.0,FULL,TOTAL,3H,CLOSURE,3NF
33,N4LO+,1,1372941978476842.2,FULL,TOTAL,3H,CLOSURE,3NF
34,N2LO,2,1770468688538716.8,FULL,TOTAL,3H,CLOSURE,3NF
35,N3LO,4,1109272766635174.0,FULL,TOTAL,3H,CLOSURE,3NF
36,N3LO,2,1024615626153997.1,FULL,TOTAL,3H,CLOSURE,3NF
37,N4LO,2,980418136043518.9,FULL,TOTAL,3H,CLOSURE,3NF
38,N3LO,3,912240234366260.0,FULL,TOTAL,3H,CLOSURE,3NF
39,N2LO,3,1025638529360149.1,FULL,TOTAL,3H,CLOSURE,3NF
40,N3LO,1,1284951285742879.0,FULL,TOTAL,3H,CLOSURE,3NF
41,N4LO,4,844032268605639.0,FULL,TOTAL,3H,CLOSURE,3NF
42,N2LO,4,560552616435505.0,FULL,TOTAL,3H,CLOSURE,3NF
43,N4LO,1,1272612068035592.2,FULL,TOTAL,3H,CLOSURE,3NF
44,N4LO,3,78493187736691.02,1NC,TOTAL,3H,CLOSURE,2NF
45,N4LO,4,841160403187107.1,FULL,TOTAL,3H,CLOSURE,2NF
46,N4LO,1,1257671739656100.0,FULL,TOTAL,3H,CLOSURE,2NF
47,N4LO+,1,104869189947260.02,1NC,TOTAL,3H,CLOSURE,2NF
48,N4LO,1,111194033822310.0,1NC,TOTAL,3H,CLOSURE,2NF
49,N4LO+,1,1356305221576728.0,FULL,TOTAL,3H,CLOSURE,2NF
50,N4LO+,2,81607166503194.02,1NC,TOTAL,3H,CLOSURE,2NF
51,N4LO,4,66130938928305.984,1NC,TOTAL,3H,CLOSURE,2NF
52,N4LO+,4,1053216338851549.2,FULL,TOTAL,3H,CLOSURE,2NF
53,N4LO+,3,995944893373679.2,FULL,TOTAL,3H,CLOSURE,2NF
54,N4LO+,2,1100399224785271.2,FULL,TOTAL,3H,CLOSURE,2NF
55,N4LO,2,974251937313123.0,FULL,TOTAL,3H,CLOSURE,2NF
56,N4LO+,3,65459508035318.0,1NC,TOTAL,3H,CLOSURE,2NF
57,N4LO+,4,52386997276473.016,1NC,TOTAL,3H,CLOSURE,2NF
58,N4LO,3,836387572930461.0,FULL,TOTAL,3H,CLOSURE,2NF
59,N4LO,2,92165025049606.03,1NC,TOTAL,3H,CLOSURE,2NF
60,N3LO,2,16841886783272.998,1NC,N-D,3HE,DIRECT,3NF
61,N3LO,2,681657430183708.0,1NC,P-N-N,3HE,DIRECT,3NF
62,N4LO+,3,5550776133452504.0,PW,N-D,3HE,DIRECT,3NF
63,N4LO+,3,3.3002604843362404e+16,PW,P-N-N,3HE,DIRECT,3NF
