I,SLANGE,CROSS,E1,E2,E3,Energy,FORCE,CUTOFF,CONFIG
1,0.5,1.813e-07,12.436,0.031,9.072,30.0,N4LO,450,15_0_15_180
1,0.5,1.924e-07,12.436,0.031,9.072,30.0,N4LO+,550,15_0_15_180
1,0.5,1.803e-07,12.436,0.031,9.072,30.0,N2LO,450,15_0_15_180
1,0.5,1.637e-07,12.436,0.031,9.072,30.0,NLO,450,15_0_15_180
1,0.5,6.045e-07,10.629,0.029,10.882,30.0,LO,450,75_75_75_105
1,0.5,8.491e-07,10.629,0.029,10.882,30.0,N2LO,450,75_75_75_105
1,0.5,8.65e-07,10.629,0.029,10.882,30.0,N4LO+,550,75_75_75_105
1,0.5,8.965e-08,12.436,0.031,9.072,30.0,LO,450,15_0_15_180
1,0.5,1.878e-07,12.436,0.031,9.072,30.0,N4LO+,500,15_0_15_180
1,0.5,8.517e-07,10.629,0.029,10.882,30.0,N4LO+,450,75_75_75_105
1,0.5,8.346e-07,10.629,0.029,10.882,30.0,NLO,450,75_75_75_105
1,0.5,1.824e-07,12.436,0.031,9.072,30.0,N4LO+,450,15_0_15_180
1,0.5,1.767e-07,12.436,0.031,9.072,30.0,N4LO+,400,15_0_15_180
1,0.5,8.529e-07,10.629,0.029,10.882,30.0,N3LO,450,75_75_75_105
1,0.5,8.433e-07,10.629,0.029,10.882,30.0,N4LO+,400,75_75_75_105
1,0.5,8.591e-07,10.629,0.029,10.882,30.0,N4LO+,500,75_75_75_105
1,0.5,8.5e-07,10.629,0.029,10.882,30.0,N4LO,450,75_75_75_105
1,0.5,1.85e-07,12.436,0.031,9.072,30.0,N3LO,450,15_0_15_180
1,0.501,1.228e-07,12.435,0.023,9.082,30.0,N4LO+,450,15_105_15_75
1,0.501,1.264e-07,12.435,0.023,9.082,30.0,N4LO+,500,15_105_15_75
1,0.501,5.066e-07,11.743,0.026,9.771,30.0,N2LO,450,45_75_45_105
1,0.501,1.221e-07,12.435,0.023,9.082,30.0,N4LO,450,15_105_15_75
1,0.501,5.144e-07,11.743,0.026,9.771,30.0,N4LO+,500,45_75_45_105
1,0.501,1.245e-07,12.435,0.023,9.082,30.0,N3LO,450,15_105_15_75
1,0.501,1.215e-07,12.435,0.023,9.082,30.0,N2LO,450,15_105_15_75
1,0.501,5.023e-07,11.743,0.026,9.771,30.0,N4LO+,400,45_75_45_105
1,0.501,3.465e-07,11.743,0.026,9.771,30.0,LO,450,45_75_45_105
1,0.501,5.087e-07,11.743,0.026,9.771,30.0,N4LO+,450,45_75_45_105
1,0.501,1.191e-07,12.435,0.023,9.082,30.0,N4LO+,400,15_105_15_75
1,0.501,4.932e-07,11.743,0.026,9.771,30.0,NLO,450,45_75_45_105
