I,SLANGE,CROSS,E1,E2,E3,Energy,FORCE,CUTOFF,CONFIG
1,0.5,1.76e-07,12.436,0.031,9.072,30.0,N4LO+,450,15_0_15_180
1,0.5,1.771e-07,12.436,0.031,9.072,30.0,N4LO+,500,15_0_15_180
1,0.5,8.387e-07,10.629,0.029,10.882,30.0,N4LO+,550,75_75_75_105
1,0.5,8.411e-07,10.629,0.029,10.882,30.0,N2LO,450,75_75_75_105
1,0.5,8.387e-07,10.629,0.029,10.882,30.0,N3LO,450,75_75_75_105
1,0.5,1.75e-07,12.436,0.031,9.072,30.0,N4LO+,400,15_0_15_180
1,0.5,8.424e-07,10.629,0.029,10.882,30.0,N4LO+,450,75_75_75_105
1,0.5,8.414e-07,10.629,0.029,10.882,30.0,N4LO,450,75_75_75_105
1,0.5,1.78e-07,12.436,0.031,9.072,30.0,N4LO+,550,15_0_15_180
1,0.5,1.741e-07,12.436,0.031,9.072,30.0,N2LO,450,15_0_15_180
1,0.5,8.441e-07,10.629,0.029,10.882,30.0,N4LO+,400,75_75_75_105
1,0.5,8.407e-07,10.629,0.029,10.882,30.0,N4LO+,500,75_75_75_105
1,0.5,1.761e-07,12.436,0.031,9.072,30.0,N3LO,450,15_0_15_180
1,0.5,1.754e-07,12.436,0.031,9.072,30.0,N4LO,450,15_0_15_180
1,0.501,1.18e-07,12.435,0.023,9.082,30.0,N4LO+,400,15_105_15_75
1,0.501,1.187e-07,12.435,0.023,9.082,30.0,N4LO+,450,15_105_15_75
1,0.501,1.174e-07,12.435,0.023,9.082,30.0,N2LO,450,15_105_15_75
1,0.501,5.023e-07,11.743,0.026,9.771,30.0,N4LO+,400,45_75_45_105
1,0.501,5.017e-07,11.743,0.026,9.771,30.0,N4LO+,450,45_75_45_105
1,0.501,1.183e-07,12.435,0.023,9.082,30.0,N4LO,450,15_105_15_75
1,0.501,5.005e-07,11.743,0.026,9.771,30.0,N4LO+,550,45_75_45_105
1,0.501,5.004e-07,11.743,0.026,9.771,30.0,N2LO,450,45_75_45_105
1,0.501,4.999e-07,11.743,0.026,9.771,30.0,N3LO,450,45_75_45_105
1,0.501,1.2e-07,12.435,0.023,9.082,30.0,N4LO+,550,15_105_15_75
1,0.501,1.187e-07,12.435,0.023,9.082,30.0,N3LO,450,15_105_15_75
1,0.501,5.01e-07,11.743,0.026,9.771,30.0,N4LO,450,45_75_45_105
1,0.501,5.012e-07,11.743,0.026,9.771,30.0,N4LO+,500,45_75_45_105
1,0.501,1.194e-07,12.435,0.023,9.082,30.0,N4LO+,500,15_105_15_75
1,0.502,8.661e-08,9.073,0.025,12.441,30.0,N2LO,450,165_15_15_165
1,0.502,4.569e-09,31.25,0.006,60.284,100.0,N3LO,450,165_15_15_165
1,0.502,4.726e-09,31.25,0.006,60.284,100.0,N4LO+,550,165_15_15_165
1,0.502,9.008e-09,54.732,0.007,36.801,100.0,N4LO+,450,45_75_45_105
1,0.502,4.467e-09,31.25,0.006,60.284,100.0,N2LO,450,165_15_15_165
1,0.502,1.428e-08,59.933,0.009,31.598,100.0,N4LO+,400,15_0_15_180
1,0.502,4.383e-09,31.25,0.006,60.284,100.0,N4LO+,400,165_15_15_165
1,0.502,8.966e-09,54.732,0.007,36.801,100.0,N2LO,450,45_75_45_105
1,0.502,8.739e-08,9.073,0.025,12.441,30.0,N4LO,450,165_15_15_165
1,0.502,8.894e-08,9.073,0.025,12.441,30.0,N4LO+,550,165_15_15_165
1,0.502,4.629e-09,31.25,0.006,60.284,100.0,N4LO+,500,165_15_15_165
1,0.502,1.506e-08,59.933,0.009,31.598,100.0,N4LO+,500,15_0_15_180
1,0.502,8.847e-09,54.732,0.007,36.801,100.0,N4LO+,400,45_75_45_105
1,0.502,9.23e-09,54.732,0.007,36.801,100.0,N3LO,450,45_75_45_105
1,0.502,9.298e-09,54.732,0.007,36.801,100.0,N4LO+,550,45_75_45_105
1,0.502,1.468e-08,59.933,0.009,31.598,100.0,N4LO+,450,15_0_15_180
1,0.502,4.504e-09,31.25,0.006,60.284,100.0,N4LO,450,165_15_15_165
1,0.502,8.708e-08,9.073,0.025,12.441,30.0,N4LO+,400,165_15_15_165
1,0.502,8.769e-08,9.073,0.025,12.441,30.0,N4LO+,450,165_15_15_165
1,0.502,1.537e-08,59.933,0.009,31.598,100.0,N4LO+,550,15_0_15_180
1,0.502,4.51e-09,31.25,0.006,60.284,100.0,N4LO+,450,165_15_15_165
1,0.502,9.034e-09,54.732,0.007,36.801,100.0,N4LO,450,45_75_45_105
1,0.502,1.489e-08,59.933,0.009,31.598,100.0,N3LO,450,15_0_15_180
1,0.502,1.467e-08,59.933,0.009,31.598,100.0,N4LO,450,15_0_15_180
1,0.502,1.455e-08,59.933,0.009,31.598,100.0,N2LO,450,15_0_15_180
1,0.502,8.839e-08,9.073,0.025,12.441,30.0,N4LO+,500,165_15_15_165
1,0.502,8.785e-08,9.073,0.025,12.441,30.0,N3LO,450,165_15_15_165
1,0.502,9.167e-09,54.732,0.007,36.801,100.0,N4LO+,500,45_75_45_105
1,0.505,8.696e-09,59.93,0.006,31.604,100.0,N4LO+,500,15_105_15_75
1,0.505,8.873e-09,59.93,0.006,31.604,100.0,N4LO+,550,15_105_15_75
1,0.505,8.469e-09,59.93,0.006,31.604,100.0,N4LO,450,15_105_15_75
1,0.505,8.4e-09,59.93,0.006,31.604,100.0,N2LO,450,15_105_15_75
1,0.505,8.595e-09,59.93,0.006,31.604,100.0,N3LO,450,15_105_15_75
1,0.505,8.478e-09,59.93,0.006,31.604,100.0,N4LO+,450,15_105_15_75
1,0.505,8.246e-09,59.93,0.006,31.604,100.0,N4LO+,400,15_105_15_75
1,0.506,8.63e-09,46.706,0.008,44.827,100.0,N4LO+,450,75_75_75_105
