E	nuNC_chiral	nubarNC_chiral	nubarCC_chiral	nuNC_cutoff	nubarNC_cutoff	nubarCC_cutoff
5	0.1851985138	0.1851817915	0.0379389668	0.7377996115	0.7384187281	0.7479112873
6	0.1815457218	0.1815326391	0.04239562974	0.7609073109	0.7617561011	0.7760390199
7	0.1782227853	0.1782014919	0.04438268195	0.7806587314	0.7817311463	0.7989544538
8	0.1751925679	0.1751638941	0.04009116379	0.7979284473	0.7992191933	0.8184373482
9	0.1724487169	0.1723977282	0.04048458587	0.8130158602	0.8145348627	0.8354931989
10	0.1698905272	0.1698168672	0.04081740606	0.8267211994	0.8284686579	0.8505067763
12	0.1653442956	0.1652570995	0.04132989702	0.8498801331	0.8521025287	0.875969159
14	0.1613385942	0.1612016555	0.04176718664	0.8691182422	0.8717991917	0.896984667
16	0.1577278239	0.1575742637	0.04204044229	0.885347536	0.8885176296	0.9144386777
18	0.154445705	0.1542620472	0.0423001056	0.8991115564	0.902762318	0.929174318
20	0.1514419268	0.1512229701	0.04240646347	0.9108411378	0.9150081528	0.9415449787
22	0.1486412253	0.1483762043	0.04245753066	0.9209164824	0.925571852	0.95192398
24	0.1460128109	0.1457107293	0.04247992553	0.9295842613	0.93474993	0.9606236933
26	0.1435636049	0.1432255529	0.04250904867	0.9369337183	0.942576741	0.9678653841
28	0.141246397	0.1408813516	0.04244869682	0.9432003792	0.9493227731	0.9737961811
30	0.1390304223	0.1386255199	0.04234271148	0.9486675595	0.9552590442	0.9786281905
32	0.1368775236	0.1364417882	0.042216717	0.9534584996	0.9605347357	0.9824150145
34	0.1348680937	0.1344045334	0.04205443541	0.9573780406	0.9649307381	0.9853307929
36	0.1329550014	0.1324564198	0.0418836629	0.9606054465	0.9686144739	0.9873674437
38	0.1311457141	0.1306095105	0.04167021412	0.963251675	0.971699801	0.9887858447
40	0.1293525626	0.128805683	0.04143866227	0.9654984127	0.9743904808	0.9895355018
42	0.1276136478	0.1270475109	0.0411846468	0.9674234333	0.9767630583	0.9896353768
44	0.1259692169	0.125379116	0.04090176916	0.9689053143	0.9786723068	0.9892710204
46	0.1243574583	0.1237445708	0.04061735096	0.9701249046	0.9803213609	0.9885101543
48	0.1227836056	0.1221549006	0.04030929974	0.9710327324	0.9816505779	0.9874076149
50	0.1212726632	0.1205987556	0.04001323503	0.9717312769	0.9827690789	0.9859337475
52	0.1198069458	0.1191091141	0.03967276954	0.9722471425	0.9837158061	0.9841021206
54	0.1183906474	0.1176602056	0.03932111878	0.9725453602	0.9843925768	0.9819054241
56	0.1170241365	0.116267639	0.03898704383	0.9726141971	0.9848314883	0.9794813938
58	0.1156947735	0.1149093986	0.03862078511	0.9725050705	0.9851148854	0.976870106
60	0.1143952276	0.1135736584	0.03824316917	0.972298474	0.9852645808	0.974045533
62	0.1131469979	0.112296593	0.03787120198	0.971971801	0.9853018802	0.9711254706
64	0.1119449262	0.1110511289	0.03748817662	0.9716364614	0.9853126891	0.9680966496
66	0.1107620237	0.1098532197	0.03708942812	0.9712140754	0.9852202383	0.9648993951
68	0.1095816847	0.1086222221	0.03666854846	0.9707263348	0.9850360146	0.9616107141
70	0.1084141252	0.107445741	0.03626119532	0.9701322758	0.984766145	0.9581706299
72	0.1073173023	0.1062943164	0.03584640895	0.9694428892	0.9843765849	0.9545950704
74	0.1062061776	0.1051659048	0.03542054723	0.9687717672	0.9840353914	0.9509410253
76	0.105143344	0.1040563796	0.03499895273	0.9680571971	0.9835982647	0.9472566174
78	0.1040924	0.1029917506	0.03458386152	0.9674212311	0.9832420695	0.9435685829
80	0.1030747504	0.1019341322	0.03415285503	0.9667830776	0.9828622427	0.9398453716
82	0.1020863191	0.1009340385	0.03372969418	0.96615416	0.9824981086	0.9360670658
84	0.1011403195	0.0999018857	0.03327990801	0.9654825044	0.9820758507	0.9323405696
86	0.1001293261	0.09889725707	0.03286919654	0.9647873764	0.9816218336	0.9285682317
88	0.09913177073	0.09786811005	0.0324070495	0.9639766717	0.9810817896	0.9248237722
90	0.09813450843	0.09684654015	0.03196679323	0.9630717278	0.9804096494	0.921063609
92	0.09716593273	0.09585219691	0.03153765582	0.962186737	0.9797893422	0.9172944411
94	0.09622150941	0.0949010853	0.03109640012	0.9613746951	0.9791974065	0.9134797804
96	0.0953013127	0.0939719024	0.03065153587	0.960628144	0.9786779917	0.909603997
98	0.09443127442	0.09304948877	0.03020794427	0.9599817243	0.9781995348	0.9058120278
100	0.09356349587	0.0921846285	0.02973656331	0.9593366381	0.9777415365	0.9019692616
102	0.09270333059	0.09128906547	0.02932634771	0.9587242784	0.9773113656	0.8980813313
104	0.09186830271	0.09043550494	0.02888227257	0.9581045116	0.9768666591	0.8942139681
106	0.09102787319	0.08956216693	0.02842728388	0.9575237275	0.9764657204	0.8903150691
108	0.09014158298	0.08869583534	0.02799359849	0.9568855338	0.9759737392	0.8864100292
110	0.0893199114	0.08785464557	0.02753783886	0.9562382295	0.9755111192	0.8825655413
112	0.08846421986	0.0869896501	0.02712240184	0.9554596647	0.9748630101	0.8787823889
114	0.08759894592	0.08613834058	0.02669551577	0.9547108034	0.9742829109	0.8750413387
116	0.08675300133	0.08528453716	0.02625545338	0.9538931661	0.9736264413	0.8713689127
118	0.08591802793	0.08442479585	0.02583058628	0.9531211898	0.9729809006	0.8676882574
120	0.08508029073	0.08360862437	0.02540860608	0.952444437	0.9724027272	0.8641769043
122	0.08427271277	0.08281771722	0.0249995284	0.9518329874	0.9719000389	0.8606773308
124	0.08347520475	0.08202832212	0.02459319006	0.9512137137	0.9713591911	0.8571373708
126	0.08268389954	0.08124006532	0.02417636948	0.9506958069	0.9709439338	0.8536419257
128	0.08192114721	0.08046890707	0.02378775048	0.950165524	0.9705025382	0.8501105342
130	0.08115276322	0.07971774618	0.0233589789	0.9496109476	0.9700410906	0.84657866
132	0.08038098256	0.07898274209	0.02295801611	0.9491056891	0.9695862799	0.8430430962
134	0.07962259819	0.07825321495	0.02256482127	0.9485709317	0.969107712	0.8395128511
136	0.07887985977	0.07752484904	0.02215337015	0.9480608309	0.9686397332	0.8359570714
138	0.07810750373	0.07678984832	0.02178839753	0.9474931204	0.9681041595	0.8324084481
